time,Houston,pts.away,score,pts.home,Denver
5:02.0,J. Harden makes 2-pt shot from 1 ft (assist by T. Ariza),2,45-36,,
4:47.0,,,45-36,,D. Arthur misses 2-pt shot from 18 ft
4:46.0,Defensive rebound by D. Motiejunas,,45-36,,
4:41.0,Shooting foul by T. Lawson (drawn by J. Harden),,45-36,,
4:41.0,J. Harden makes free throw 1 of 2,1,46-36,,
4:41.0,C. Brewer enters the game for T. Ariza,,46-36,,
4:41.0,J. Dorsey enters the game for T. Jones,,46-36,,
4:41.0,J. Smith enters the game for D. Motiejunas,,46-36,,
4:41.0,,,46-36,,K. Faried enters the game for D. Arthur
4:41.0,J. Harden makes free throw 2 of 2,1,47-36,,
4:26.0,,,47-36,,W. Barton misses 3-pt shot from 23 ft
4:25.0,,,47-36,,Offensive rebound by J. Lauvergne
4:20.0,,,47-36,,J. Lauvergne misses 2-pt shot from 4 ft
4:19.0,,,47-36,,Offensive rebound by J. Lauvergne
4:19.0,,,47-36,,Shooting foul by J. Dorsey (drawn by J. Lauvergne)
4:19.0,,,47-37,1,J. Lauvergne makes free throw 1 of 2
4:19.0,,,47-37,,R. Foye enters the game for W. Barton
4:19.0,,,47-38,1,J. Lauvergne makes free throw 2 of 2
4:06.0,C. Brewer misses 3-pt shot from 22 ft,,47-38,,
4:05.0,Offensive rebound by C. Brewer,,47-38,,
4:00.0,J. Smith misses 2-pt shot from 4 ft,,47-38,,
3:59.0,,,47-38,,Defensive rebound by T. Lawson
3:52.0,Personal foul by J. Smith (drawn by K. Faried),,47-38,,
3:52.0,,,47-38,,D. Gallinari enters the game for J. Lauvergne
3:43.0,,,47-40,2,T. Lawson makes 2-pt shot from 1 ft
3:28.0,J. Smith makes 2-pt shot at rim (assist by J. Harden),2,49-40,,
3:15.0,,,49-40,,Turnover by K. Faried (lost ball; steal by J. Harden)
3:07.0,P. Beverley misses 3-pt shot from 24 ft,,49-40,,
3:06.0,Offensive rebound by C. Brewer,,49-40,,
2:59.0,C. Brewer makes 2-pt shot from 5 ft,2,51-40,,
2:59.0,,,51-40,,Denver full timeout
2:59.0,Houston full timeout,,51-40,,
2:50.0,,,51-40,,Shooting foul by J. Dorsey (drawn by T. Lawson)
2:50.0,,,51-41,1,T. Lawson makes free throw 1 of 2
2:50.0,T. Jones enters the game for J. Dorsey,,51-41,,
2:50.0,J. Terry enters the game for P. Beverley,,51-41,,
2:50.0,,,51-41,,T. Lawson misses free throw 2 of 2
2:48.0,Defensive rebound by T. Jones,,51-41,,
2:35.0,T. Jones makes 2-pt shot from 4 ft (assist by J. Harden),2,53-41,,
2:29.0,,,53-41,,Offensive foul by K. Faried
2:29.0,,,53-41,,Turnover by K. Faried (offensive foul)
2:17.0,C. Brewer misses 2-pt shot from 3 ft,,53-41,,
2:16.0,,,53-41,,Defensive rebound by K. Faried
2:05.0,,,53-41,,Shooting foul by J. Harden (drawn by T. Lawson)
2:05.0,,,53-41,,T. Lawson misses free throw 1 of 2
2:05.0,,,53-41,,Offensive rebound by Team
2:05.0,,,53-42,1,T. Lawson makes free throw 2 of 2
1:47.0,J. Smith makes 2-pt shot from 2 ft (assist by J. Harden),2,55-42,,
1:35.0,,,55-44,2,T. Lawson makes 2-pt shot from 18 ft
1:22.0,J. Harden misses 2-pt shot from 1 ft,,55-44,,
1:21.0,,,55-44,,Defensive rebound by K. Faried
1:16.0,,,55-44,,Turnover by W. Chandler (lost ball; steal by J. Terry)
1:12.0,T. Jones misses 2-pt shot from 6 ft,,55-44,,
1:11.0,Offensive rebound by J. Smith,,55-44,,
1:10.0,T. Ariza enters the game for J. Harden,,55-44,,
1:10.0,Jump ball: R. Foye vs. J. Smith (T. Jones gains possession),,,,Jump ball: R. Foye vs. J. Smith (T. Jones gains possession)
0:53.0,C. Brewer misses 3-pt shot from 25 ft,,55-44,,
0:52.0,,,55-44,,Defensive rebound by K. Faried
0:47.0,,,55-46,2,D. Gallinari makes 2-pt shot from 21 ft
0:36.0,T. Jones misses 3-pt shot from 26 ft,,55-46,,
0:35.0,,,55-46,,Defensive rebound by W. Chandler
0:15.0,,,55-48,2,W. Chandler makes 2-pt shot at rim (assist by T. Lawson)
0:03.0,J. Smith misses 3-pt shot from 24 ft,,55-48,,
0:02.0,,,55-48,,Defensive rebound by T. Lawson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,55-48,,T. Lawson misses 2-pt shot from 19 ft
11:42.0,Defensive rebound by D. Motiejunas,,55-48,,
11:31.0,,,55-48,,Personal foul by W. Chandler (drawn by T. Jones)
11:20.0,T. Jones misses 2-pt shot from 2 ft,,55-48,,
11:19.0,,,55-48,,Defensive rebound by W. Chandler
11:10.0,,,55-51,3,D. Gallinari makes 3-pt shot from 25 ft (assist by R. Foye)
10:54.0,Turnover by T. Ariza (bad pass; steal by D. Gallinari),,55-51,,
10:46.0,Personal foul by T. Ariza (drawn by D. Gallinari),,55-51,,
10:39.0,,,55-53,2,R. Foye makes 2-pt shot from 3 ft
10:39.0,,,55-53,,Shooting foul by D. Motiejunas (drawn by R. Foye)
10:39.0,,,55-54,1,R. Foye makes free throw 1 of 1
10:24.0,J. Harden makes 3-pt shot from 25 ft (assist by T. Ariza),3,58-54,,
10:11.0,Personal foul by T. Ariza (drawn by D. Gallinari),,58-54,,
10:00.0,,,58-57,3,R. Foye makes 3-pt shot from 26 ft (assist by T. Lawson)
9:37.0,J. Harden misses 2-pt shot from 19 ft,,58-57,,
9:36.0,,,58-57,,Defensive rebound by T. Lawson
9:33.0,,,58-59,2,W. Chandler makes 2-pt shot from 2 ft (assist by R. Foye)
9:33.0,Houston full timeout,,58-59,,
9:33.0,,,58-59,,G. Harris enters the game for W. Chandler
9:09.0,Turnover by J. Harden (lost ball),,58-59,,
8:56.0,,,58-62,3,R. Foye makes 3-pt shot from 25 ft (assist by T. Lawson)
8:29.0,J. Harden misses 2-pt shot from 18 ft,,58-62,,
8:26.0,,,58-62,,Defensive rebound by G. Harris
8:19.0,,,58-62,,K. Faried misses 2-pt shot from 8 ft
8:17.0,Defensive rebound by P. Beverley,,58-62,,
8:06.0,T. Ariza makes 3-pt shot from 24 ft (assist by D. Motiejunas),3,61-62,,
7:58.0,,,61-64,2,T. Lawson makes 2-pt shot from 1 ft
7:45.0,T. Ariza makes 2-pt shot from 19 ft,2,63-64,,
7:31.0,,,63-64,,D. Gallinari misses 3-pt shot from 26 ft
7:29.0,Defensive rebound by T. Ariza,,63-64,,
7:26.0,,,63-64,,Personal foul by R. Foye (drawn by J. Harden)
7:26.0,,,63-64,,W. Barton enters the game for R. Foye
7:18.0,,,63-64,,Personal foul by G. Harris (drawn by T. Ariza)
7:07.0,D. Motiejunas makes 2-pt shot from 3 ft,2,65-64,,
6:56.0,,,65-64,,T. Lawson misses 3-pt shot from 25 ft
6:55.0,Defensive rebound by T. Ariza,,65-64,,
6:48.0,Shooting foul by W. Barton (drawn by J. Harden),,65-64,,
6:48.0,J. Harden makes free throw 1 of 2,1,66-64,,
6:48.0,J. Harden makes free throw 2 of 2,1,67-64,,
6:36.0,,,67-64,,D. Gallinari misses 3-pt shot from 25 ft
6:34.0,Defensive rebound by Team,,67-64,,
6:19.0,D. Motiejunas makes 2-pt shot at rim (assist by P. Beverley),2,69-64,,
6:03.0,,,69-64,,T. Lawson misses 2-pt shot from 22 ft
6:02.0,Defensive rebound by D. Motiejunas,,69-64,,
6:02.0,,,69-64,,Loose ball foul by K. Faried (drawn by D. Motiejunas)
6:02.0,D. Motiejunas makes free throw 1 of 2,1,70-64,,
6:02.0,D. Motiejunas makes free throw 2 of 2,1,71-64,,
5:50.0,,,71-64,,Turnover by G. Harris (bad pass; steal by P. Beverley)
5:48.0,Turnover by P. Beverley (bad pass),,71-64,,
5:48.0,,,71-64,,W. Chandler enters the game for G. Harris
5:38.0,Personal foul by J. Harden (drawn by D. Gallinari),,71-64,,
5:38.0,J. Smith enters the game for T. Jones,,71-64,,
5:26.0,,,71-64,,D. Gallinari misses 2-pt shot from 2 ft
5:23.0,,,71-64,,Offensive rebound by W. Chandler
5:19.0,,,71-64,,Turnover by W. Chandler (step out of bounds)
5:08.0,Turnover by D. Motiejunas (bad pass; steal by D. Gallinari),,71-64,,
5:03.0,,,71-64,,Shooting foul by J. Harden (drawn by W. Barton)
5:03.0,,,71-65,1,W. Barton makes free throw 1 of 2
5:03.0,C. Brewer enters the game for J. Harden,,71-65,,
5:03.0,,,71-65,,J. Hickson enters the game for K. Faried
5:03.0,,,71-65,,J. Nelson enters the game for T. Lawson
5:03.0,,,71-66,1,W. Barton makes free throw 2 of 2
4:43.0,Shooting foul by J. Hickson (drawn by D. Motiejunas),,71-66,,
4:43.0,D. Motiejunas makes free throw 1 of 2,1,72-66,,
4:43.0,D. Motiejunas makes free throw 2 of 2,1,73-66,,
4:28.0,,,73-69,3,W. Chandler makes 3-pt shot from 25 ft (assist by J. Nelson)
4:11.0,Turnover by D. Motiejunas (bad pass; steal by W. Chandler),,73-69,,
4:02.0,,,73-69,,Turnover by W. Barton (bad pass; steal by J. Smith)
4:01.0,,,73-69,,Personal take foul by W. Chandler (drawn by C. Brewer)
4:01.0,C. Brewer makes free throw 1 of 2,1,74-69,,
4:01.0,C. Brewer makes free throw 2 of 2,1,75-69,,
3:42.0,,,75-69,,J. Nelson misses 2-pt shot from 20 ft
3:41.0,Defensive rebound by D. Motiejunas,,75-69,,
3:32.0,J. Smith misses 2-pt shot from 5 ft,,75-69,,
3:32.0,,,75-69,,Defensive rebound by Team
3:18.0,,,75-69,,W. Chandler misses 2-pt shot from 16 ft
3:17.0,Defensive rebound by C. Brewer,,75-69,,
3:08.0,Shooting foul by W. Chandler (drawn by T. Ariza),,75-69,,
3:08.0,T. Ariza misses free throw 1 of 2,,75-69,,
3:08.0,Offensive rebound by Team,,75-69,,
3:08.0,T. Jones enters the game for D. Motiejunas,,75-69,,
3:08.0,J. Terry enters the game for P. Beverley,,75-69,,
3:08.0,,,75-69,,G. Harris enters the game for W. Chandler
3:08.0,T. Ariza makes free throw 2 of 2,1,76-69,,
2:51.0,,,76-69,,D. Gallinari misses 2-pt shot from 16 ft
2:49.0,Defensive rebound by J. Smith,,76-69,,
2:36.0,Turnover by J. Smith (lost ball; steal by G. Harris),,76-69,,
2:30.0,,,76-71,2,G. Harris makes 2-pt shot from 17 ft (assist by D. Gallinari)
2:12.0,C. Brewer makes 3-pt shot from 23 ft (assist by J. Terry),3,79-71,,
2:02.0,,,79-71,,Turnover by J. Nelson (bad pass)
2:02.0,,,79-71,,Denver full timeout
1:51.0,C. Brewer misses 3-pt shot from 23 ft,,79-71,,
1:50.0,Offensive rebound by T. Jones,,79-71,,
1:50.0,T. Jones misses 2-pt shot from 1 ft,,79-71,,
1:47.0,Offensive rebound by T. Jones,,79-71,,
1:45.0,T. Jones makes 2-pt shot from 1 ft,2,81-71,,
1:29.0,,,81-71,,G. Harris misses 2-pt shot from 18 ft
1:28.0,Defensive rebound by T. Jones,,81-71,,
1:23.0,,,81-71,,Personal block foul by J. Nelson (drawn by T. Jones)
1:23.0,T. Jones makes free throw 1 of 2,1,82-71,,
1:23.0,,,82-71,,E. Green enters the game for W. Barton
1:23.0,T. Jones misses free throw 2 of 2,,82-71,,
1:21.0,,,82-71,,Defensive rebound by J. Hickson
1:12.0,,,82-71,,D. Gallinari misses 3-pt shot from 27 ft
1:10.0,,,82-71,,Offensive rebound by J. Hickson
1:06.0,,,82-71,,Turnover by J. Hickson (bad pass; steal by T. Jones)
1:00.0,J. Terry misses 3-pt shot from 25 ft,,82-71,,
0:59.0,,,82-71,,Defensive rebound by J. Hickson
0:48.0,,,82-71,,G. Harris misses 2-pt shot from 18 ft
0:47.0,Defensive rebound by T. Jones,,82-71,,
0:32.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Smith),3,85-71,,
0:21.0,,,85-71,,G. Harris misses 3-pt shot from 25 ft
0:20.0,,,85-71,,Offensive rebound by D. Gallinari
0:19.0,Personal foul by T. Jones (drawn by D. Gallinari),,85-71,,
0:19.0,,,85-72,1,D. Gallinari makes free throw 1 of 2
0:19.0,J. Harden enters the game for J. Smith,,85-72,,
0:19.0,,,85-72,,R. Foye enters the game for G. Harris
0:19.0,,,85-73,1,D. Gallinari makes free throw 2 of 2
0:02.0,J. Harden makes 2-pt shot at rim,2,87-73,,
0:02.0,Shooting foul by R. Foye (drawn by J. Harden),,87-73,,
0:02.0,J. Harden makes free throw 1 of 1,1,88-73,,
0:02.0,,,88-73,,Denver full timeout
0:02.0,J. Smith enters the game for J. Harden,,88-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,C. Brewer makes 2-pt shot from 5 ft (assist by J. Terry),2,90-73,,
11:20.0,,,90-73,,D. Gallinari misses 3-pt shot from 25 ft
11:19.0,Defensive rebound by C. Brewer,,90-73,,
11:09.0,Turnover by J. Harden (bad pass; steal by D. Gallinari),,90-73,,
11:05.0,,,90-73,,Turnover by J. Hickson (offensive foul)
11:05.0,,,90-73,,Offensive charge foul by J. Hickson
11:05.0,,,90-73,,K. Faried enters the game for J. Hickson
10:51.0,Offensive charge foul by C. Brewer,,90-73,,
10:51.0,Turnover by C. Brewer (offensive foul),,90-73,,
10:35.0,,,90-73,,D. Gallinari misses 2-pt shot from 3 ft
10:34.0,,,90-73,,Offensive rebound by D. Gallinari
10:33.0,,,90-73,,D. Gallinari misses 2-pt shot from 1 ft (block by T. Jones)
10:32.0,Defensive rebound by Team,,90-73,,
10:10.0,Shooting foul by R. Foye (drawn by C. Brewer),,90-73,,
10:10.0,C. Brewer makes free throw 1 of 2,1,91-73,,
10:10.0,,,91-73,,T. Lawson enters the game for E. Green
10:10.0,C. Brewer makes free throw 2 of 2,1,92-73,,
9:52.0,,,92-73,,R. Foye misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by J. Harden,,92-73,,
9:40.0,J. Harden makes 2-pt shot from 15 ft,2,94-73,,
9:28.0,,,94-73,,T. Lawson misses 2-pt shot from 20 ft
9:26.0,Defensive rebound by T. Jones,,94-73,,
9:17.0,J. Harden misses 3-pt shot from 27 ft,,94-73,,
9:15.0,,,94-73,,Defensive rebound by K. Faried
