time,Phoenix,pts.away,score,pts.home,Brooklyn
6:07.0,Defensive rebound by P. Tucker,,76-88,,
6:01.0,Turnover by M. Morris (bad pass),,76-88,,
6:01.0,B. Knight enters the game for M. Thornton,,76-88,,
6:01.0,,,76-88,,Brooklyn full timeout
5:45.0,,,76-90,2,C. Jefferson makes 2-pt shot from 12 ft (assist by D. Williams)
5:45.0,,,76-90,,Shooting foul by M. Morris (drawn by C. Jefferson)
5:45.0,,,76-91,1,C. Jefferson makes free throw 1 of 1
5:36.0,P. Tucker makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,79-91,,
5:16.0,,,79-91,,B. Bogdanovic misses 3-pt shot from 24 ft
5:15.0,Defensive rebound by B. Knight,,79-91,,
5:03.0,,,79-91,,Personal foul by J. Jack (drawn by B. Knight)
5:03.0,B. Knight makes free throw 1 of 2,1,80-91,,
5:03.0,B. Knight makes free throw 2 of 2,1,81-91,,
4:49.0,,,81-91,,J. Jack misses 2-pt shot from 13 ft
4:47.0,Defensive rebound by E. Bledsoe,,81-91,,
4:29.0,P. Tucker makes 2-pt shot from 7 ft,2,83-91,,
4:14.0,,,83-91,,Turnover by D. Williams (lost ball; steal by M. Morris)
4:07.0,Turnover by E. Bledsoe (bad pass; steal by D. Williams),,83-91,,
4:03.0,,,83-91,,Shooting foul by M. Morris (drawn by D. Williams)
4:03.0,,,83-91,,D. Williams misses free throw 1 of 2
4:03.0,,,83-91,,Offensive rebound by Team
4:03.0,,,83-92,1,D. Williams makes free throw 2 of 2
3:59.0,P. Tucker makes 2-pt shot from 19 ft (assist by B. Knight),2,85-92,,
3:57.0,,,85-92,,Brooklyn full timeout
3:57.0,,,85-92,,T. Young enters the game for B. Lopez
3:41.0,,,85-92,,Offensive foul by J. Jack
3:41.0,,,85-92,,Turnover by J. Jack (offensive foul)
3:22.0,,,85-92,,Personal foul by C. Jefferson (drawn by E. Bledsoe)
3:22.0,E. Bledsoe makes free throw 1 of 2,1,86-92,,
3:22.0,E. Bledsoe makes free throw 2 of 2,1,87-92,,
3:00.0,,,87-92,,T. Young misses 2-pt shot from 8 ft
2:59.0,Defensive rebound by M. Morris,,87-92,,
2:51.0,M. Morris misses 3-pt shot from 24 ft,,87-92,,
2:50.0,,,87-92,,Defensive rebound by T. Young
2:33.0,,,87-92,,J. Jack misses 2-pt shot from 10 ft
2:32.0,,,87-92,,Offensive rebound by Team
2:32.0,Loose ball foul by M. Morris (drawn by C. Jefferson),,87-92,,
2:16.0,,,87-92,,J. Jack misses 2-pt shot from 20 ft
2:15.0,Defensive rebound by M. Morris,,87-92,,
2:15.0,Phoenix full timeout,,87-92,,
2:15.0,,,87-92,,A. Anderson enters the game for J. Jack
2:04.0,B. Knight misses 2-pt shot from 1 ft,,87-92,,
2:03.0,,,87-92,,Defensive rebound by B. Bogdanovic
1:46.0,,,87-92,,Turnover by C. Jefferson (lost ball; steal by P. Tucker)
1:37.0,Shooting foul by T. Young (drawn by B. Knight),,87-92,,
1:37.0,B. Knight makes free throw 1 of 2,1,88-92,,
1:37.0,,,88-92,,J. Johnson enters the game for T. Young
1:37.0,,,88-92,,B. Lopez enters the game for C. Jefferson
1:37.0,,,88-92,,J. Jack enters the game for B. Bogdanovic
1:37.0,B. Knight makes free throw 2 of 2,1,89-92,,
1:14.0,,,89-92,,A. Anderson misses 2-pt shot from 17 ft
1:13.0,Defensive rebound by P. Tucker,,89-92,,
1:02.0,M. Morris makes 3-pt shot from 23 ft (assist by M. Morris),3,92-92,,
0:41.0,,,92-92,,Offensive charge foul by D. Williams
0:41.0,,,92-92,,Turnover by D. Williams (offensive foul)
0:41.0,Phoenix full timeout,,92-92,,
0:41.0,,,92-92,,T. Young enters the game for J. Johnson
0:41.0,,,92-92,,C. Jefferson enters the game for B. Lopez
0:36.0,B. Knight misses 3-pt shot from 24 ft,,92-92,,
0:35.0,Offensive rebound by M. Morris,,92-92,,
0:15.0,M. Morris misses 2-pt shot from 10 ft,,92-92,,
0:14.0,,,92-92,,Defensive rebound by T. Young
0:11.0,,,92-92,,Brooklyn full timeout
0:11.0,,,92-92,,B. Bogdanovic enters the game for C. Jefferson
0:03.0,,,92-92,,J. Jack misses 2-pt shot from 21 ft
0:00.0,,,92-92,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: B. Lopez vs. M. Morris (D. Williams gains possession),,,,Jump ball: B. Lopez vs. M. Morris (D. Williams gains possession)
4:37.0,,,92-92,,B. Bogdanovic misses 3-pt shot from 25 ft
4:36.0,Defensive rebound by M. Morris,,92-92,,
4:23.0,M. Morris misses 2-pt shot from 10 ft,,92-92,,
4:22.0,,,92-92,,Defensive rebound by J. Johnson
4:05.0,,,92-94,2,J. Johnson makes 2-pt shot from 16 ft
3:53.0,B. Knight makes 2-pt shot from 1 ft,2,94-94,,
3:39.0,,,94-96,2,B. Lopez makes 2-pt shot from 6 ft (assist by J. Jack)
3:23.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by B. Knight),3,97-96,,
3:05.0,,,97-96,,J. Johnson misses 2-pt shot from 12 ft
3:04.0,Defensive rebound by E. Bledsoe,,97-96,,
3:01.0,Shooting foul by J. Jack (drawn by E. Bledsoe),,97-96,,
3:01.0,E. Bledsoe misses free throw 1 of 2,,97-96,,
3:01.0,Offensive rebound by Team,,97-96,,
3:01.0,E. Bledsoe makes free throw 2 of 2,1,98-96,,
2:50.0,,,98-96,,B. Lopez misses 2-pt shot from 18 ft
2:49.0,Defensive rebound by M. Morris,,98-96,,
2:34.0,B. Knight misses 2-pt shot from 20 ft,,98-96,,
2:32.0,,,98-96,,Defensive rebound by B. Bogdanovic
2:26.0,,,98-98,2,J. Johnson makes 2-pt shot from 6 ft (assist by D. Williams)
2:01.0,M. Morris makes 2-pt shot from 9 ft,2,100-98,,
1:42.0,Shooting block foul by M. Morris (drawn by J. Jack),,100-98,,
1:42.0,B. Wright enters the game for M. Morris,,100-98,,
1:42.0,,,100-99,1,J. Jack makes free throw 1 of 2
1:42.0,,,100-100,1,J. Jack makes free throw 2 of 2
1:42.0,Phoenix full timeout,,100-100,,
1:30.0,M. Morris makes 2-pt shot from 8 ft,2,102-100,,
1:17.0,,,102-100,,D. Williams misses 2-pt shot from 8 ft
1:16.0,,,102-100,,Offensive rebound by B. Lopez
1:15.0,,,102-100,,B. Lopez misses 2-pt shot from 2 ft
1:14.0,Defensive rebound by E. Bledsoe,,102-100,,
0:54.0,E. Bledsoe misses 2-pt shot from 6 ft,,102-100,,
0:53.0,,,102-100,,Defensive rebound by B. Lopez
0:42.0,,,102-100,,D. Williams misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by B. Knight,,102-100,,
0:18.0,B. Knight makes 2-pt shot from 9 ft,2,104-100,,
0:18.0,,,104-100,,Brooklyn full timeout
0:18.0,,,104-100,,Brooklyn full timeout
0:14.0,,,104-100,,Turnover by J. Johnson (lost ball)
0:14.0,,,104-100,,Personal foul by D. Williams (drawn by E. Bledsoe)
0:14.0,,,104-100,,A. Anderson enters the game for J. Jack
0:14.0,,,104-100,,C. Jefferson enters the game for B. Lopez
0:13.0,,,104-100,,Personal foul by D. Williams (drawn by E. Bledsoe)
0:13.0,E. Bledsoe makes free throw 1 of 2,1,105-100,,
0:13.0,,,105-100,,J. Jack enters the game for A. Anderson
0:13.0,,,105-100,,B. Lopez enters the game for C. Jefferson
0:13.0,E. Bledsoe makes free throw 2 of 2,1,106-100,,
0:08.0,,,106-100,,J. Johnson misses 3-pt shot from 25 ft
0:06.0,Defensive rebound by B. Wright,,106-100,,
0:05.0,,,106-100,,Personal foul by J. Jack (drawn by B. Wright)
0:05.0,,,106-100,,A. Anderson enters the game for J. Jack
0:05.0,B. Wright makes free throw 1 of 2,1,107-100,,
0:05.0,B. Wright makes free throw 2 of 2,1,108-100,,
0:00.0,,,108-100,,D. Williams misses 3-pt shot from 28 ft
0:00.0,,,108-100,,Offensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
