time,Indiana,pts.away,score,pts.home,Portland
2:09.0,,,73-82,2,W. Matthews makes 2-pt shot from 6 ft (assist by L. Aldridge)
1:46.0,D. West makes 3-pt shot from 24 ft (assist by R. Stuckey),3,76-82,,
1:25.0,,,76-82,,L. Aldridge misses 2-pt shot from 12 ft
1:24.0,Defensive rebound by R. Stuckey,,76-82,,
1:21.0,Shooting foul by D. Lillard (drawn by R. Stuckey),,76-82,,
1:21.0,R. Stuckey makes free throw 1 of 2,1,77-82,,
1:21.0,R. Stuckey makes free throw 2 of 2,1,78-82,,
1:04.0,,,78-82,,D. Lillard misses 2-pt shot at rim
1:04.0,,,78-82,,Offensive rebound by R. Lopez
1:04.0,,,78-82,,Shooting foul by S. Hill (drawn by R. Lopez)
1:04.0,,,78-82,,R. Lopez misses free throw 1 of 2
1:04.0,,,78-82,,Offensive rebound by Team
1:04.0,,,78-83,1,R. Lopez makes free throw 2 of 2
1:04.0,Indiana full timeout,,78-83,,
0:54.0,R. Stuckey makes 2-pt shot from 4 ft (assist by S. Hill),2,80-83,,
0:37.0,,,80-83,,Shooting foul by R. Hibbert (drawn by L. Aldridge)
0:37.0,,,80-84,1,L. Aldridge makes free throw 1 of 2
0:37.0,,,80-85,1,L. Aldridge makes free throw 2 of 2
0:37.0,Indiana full timeout,,80-85,,
0:37.0,C. Watson enters the game for R. Stuckey,,80-85,,
0:27.0,D. Rudez misses 3-pt shot from 26 ft,,80-85,,
0:26.0,,,80-85,,Defensive rebound by D. Lillard
0:23.0,Personal take foul by C. Watson (drawn by D. Lillard),,80-85,,
0:23.0,,,80-85,,Portland full timeout
0:23.0,,,80-85,,D. Lillard misses free throw 1 of 2
0:23.0,,,80-85,,Offensive rebound by Team
0:23.0,,,80-86,1,D. Lillard makes free throw 2 of 2
0:23.0,Indiana full timeout,,80-86,,
0:23.0,C. Miles enters the game for S. Hill,,80-86,,
0:23.0,C. Copeland enters the game for R. Hibbert,,80-86,,
0:23.0,,,80-86,,S. Blake enters the game for R. Lopez
0:14.0,C. Copeland misses 3-pt shot from 25 ft,,80-86,,
0:13.0,,,80-86,,Defensive rebound by L. Aldridge
0:10.0,Personal take foul by C. Copeland (drawn by N. Batum),,80-86,,
0:10.0,,,80-87,1,N. Batum makes free throw 1 of 2
0:10.0,R. Stuckey enters the game for C. Watson,,80-87,,
0:10.0,,,80-88,1,N. Batum makes free throw 2 of 2
0:04.0,R. Stuckey makes 2-pt shot from 4 ft,2,82-88,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
