time,Sacramento,pts.away,score,pts.home,Houston
4:50.0,,,79-88,,Personal foul by J. Harden (drawn by J. Thompson)
4:43.0,R. Sessions misses 2-pt shot from 3 ft,,79-88,,
4:41.0,Offensive rebound by J. Thompson,,79-88,,
4:36.0,R. Sessions misses 3-pt shot from 22 ft,,79-88,,
4:35.0,,,79-88,,Defensive rebound by J. Harden
4:30.0,,,79-88,,J. Harden misses 2-pt shot from 2 ft
4:28.0,Defensive rebound by Team,,79-88,,
4:16.0,,,79-88,,Personal foul by K. Papanikolaou (drawn by D. Cousins)
4:16.0,D. Cousins makes free throw 1 of 2,1,80-88,,
4:16.0,D. Cousins makes free throw 2 of 2,1,81-88,,
4:00.0,,,81-90,2,D. Motiejunas makes 2-pt shot from 6 ft (assist by I. Canaan)
3:47.0,B. McLemore makes 2-pt shot at rim (assist by D. Cousins),2,83-90,,
3:32.0,,,83-90,,J. Harden misses 2-pt shot from 12 ft
3:31.0,,,83-90,,Offensive rebound by K. Papanikolaou
3:18.0,Personal foul by D. Cousins (drawn by K. Papanikolaou),,83-90,,
3:18.0,,,83-90,,K. Papanikolaou misses free throw 1 of 2
3:18.0,,,83-90,,Offensive rebound by Team
3:18.0,,,83-91,1,K. Papanikolaou makes free throw 2 of 2
3:06.0,J. Thompson makes 2-pt shot from 2 ft (assist by D. Cousins),2,85-91,,
2:47.0,,,85-91,,D. Motiejunas misses 2-pt shot from 4 ft (block by D. Cousins)
2:45.0,Defensive rebound by D. Cousins,,85-91,,
2:33.0,O. Casspi misses 2-pt shot from 4 ft,,85-91,,
2:32.0,Offensive rebound by O. Casspi,,85-91,,
2:29.0,B. McLemore misses 3-pt shot from 24 ft,,85-91,,
2:28.0,,,85-91,,Defensive rebound by I. Canaan
2:23.0,Violation by J. Thompson (def goaltending),,85-91,,
2:23.0,,,85-93,2,J. Harden makes 2-pt shot from 3 ft
2:11.0,Turnover by R. Sessions (bad pass; steal by J. Harden),,85-93,,
2:07.0,,,85-95,2,J. Harden makes 2-pt shot at rim
2:07.0,Sacramento full timeout,,85-95,,
1:43.0,D. Cousins makes 2-pt shot from 1 ft,2,87-95,,
1:19.0,,,87-98,3,I. Canaan makes 3-pt shot from 24 ft
1:10.0,Turnover by B. McLemore (lost ball; steal by T. Ariza),,87-98,,
0:49.0,,,87-100,2,J. Harden makes 2-pt shot from 19 ft
0:34.0,,,87-100,,Personal foul by D. Motiejunas (drawn by O. Casspi)
0:34.0,O. Casspi makes free throw 1 of 2,1,88-100,,
0:34.0,,,88-100,,N. Johnson enters the game for T. Ariza
0:34.0,,,88-100,,T. Daniels enters the game for J. Harden
0:34.0,E. Moreland enters the game for D. Cousins,,88-100,,
0:34.0,O. Casspi makes free throw 2 of 2,1,89-100,,
0:12.0,,,89-102,2,N. Johnson makes 2-pt shot from 3 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
