time,Toronto,pts.away,score,pts.home,Oklahoma City
6:10.0,,,68-71,,Turnover by A. Roberson (bad pass; steal by P. Patterson)
6:07.0,Turnover by P. Patterson (bad pass; steal by R. Westbrook),,68-71,,
6:02.0,,,68-73,2,S. Ibaka makes 2-pt shot from 14 ft (assist by R. Westbrook)
5:46.0,T. Ross makes 3-pt shot from 24 ft (assist by D. DeRozan),3,71-73,,
5:31.0,Personal foul by K. Lowry (drawn by K. Singler),,71-73,,
5:31.0,,,71-73,,D. Waiters enters the game for K. Singler
5:20.0,,,71-73,,E. Kanter misses 2-pt shot from 11 ft
5:19.0,Defensive rebound by P. Patterson,,71-73,,
5:08.0,K. Lowry misses 2-pt shot from 1 ft,,71-73,,
5:07.0,Offensive rebound by Team,,71-73,,
5:03.0,Shooting foul by E. Kanter (drawn by J. Valanciunas),,71-73,,
5:03.0,J. Valanciunas makes free throw 1 of 2,1,72-73,,
5:03.0,J. Valanciunas makes free throw 2 of 2,1,73-73,,
4:48.0,,,73-73,,R. Westbrook misses 2-pt shot from 15 ft
4:47.0,Defensive rebound by J. Valanciunas,,73-73,,
4:33.0,Shooting foul by E. Kanter (drawn by K. Lowry),,73-73,,
4:33.0,K. Lowry makes free throw 1 of 2,1,74-73,,
4:33.0,L. Williams enters the game for T. Ross,,74-73,,
4:33.0,,,74-73,,S. Adams enters the game for E. Kanter
4:33.0,K. Lowry makes free throw 2 of 2,1,75-73,,
4:23.0,,,75-73,,Shooting foul by L. Williams (drawn by R. Westbrook)
4:23.0,,,75-74,1,R. Westbrook makes free throw 1 of 2
4:23.0,,,75-74,,D. Augustin enters the game for A. Roberson
4:23.0,,,75-75,1,R. Westbrook makes free throw 2 of 2
4:11.0,L. Williams misses 2-pt shot from 16 ft,,75-75,,
4:10.0,,,75-75,,Defensive rebound by R. Westbrook
3:55.0,,,75-75,,D. Waiters misses 3-pt shot from 22 ft
3:54.0,Defensive rebound by D. DeRozan,,75-75,,
3:38.0,K. Lowry makes 2-pt shot from 17 ft,2,77-75,,
3:24.0,,,77-77,2,R. Westbrook makes 2-pt shot from 2 ft
3:16.0,L. Williams misses 2-pt shot from 5 ft,,77-77,,
3:15.0,,,77-77,,Defensive rebound by S. Ibaka
3:06.0,,,77-79,2,S. Ibaka makes 2-pt shot from 18 ft (assist by R. Westbrook)
2:43.0,J. Valanciunas misses 2-pt shot from 5 ft,,77-79,,
2:42.0,,,77-79,,Defensive rebound by R. Westbrook
2:37.0,Shooting block foul by K. Lowry (drawn by R. Westbrook),,77-79,,
2:37.0,,,77-79,,Oklahoma City full timeout
2:37.0,G. Vasquez enters the game for J. Valanciunas,,77-79,,
2:37.0,J. Johnson enters the game for K. Lowry,,77-79,,
2:37.0,,,77-80,1,R. Westbrook makes free throw 1 of 2
2:37.0,,,77-80,,R. Westbrook misses free throw 2 of 2
2:36.0,Defensive rebound by Team,,77-80,,
2:19.0,D. DeRozan misses 2-pt shot from 11 ft,,77-80,,
2:19.0,,,77-80,,Defensive rebound by S. Adams
2:14.0,,,77-82,2,R. Westbrook makes 2-pt shot from 18 ft
1:49.0,L. Williams misses 3-pt shot from 28 ft,,77-82,,
1:48.0,,,77-82,,Defensive rebound by S. Adams
1:30.0,,,77-84,2,S. Ibaka makes 2-pt shot at rim (assist by D. Augustin)
1:10.0,P. Patterson misses 3-pt shot from 23 ft,,77-84,,
1:09.0,,,77-84,,Defensive rebound by R. Westbrook
1:03.0,,,77-84,,R. Westbrook misses 3-pt shot from 24 ft
1:02.0,Defensive rebound by J. Johnson,,77-84,,
0:53.0,L. Williams makes 2-pt shot from 21 ft (assist by D. DeRozan),2,79-84,,
0:29.0,,,79-84,,D. Augustin misses 3-pt shot from 27 ft
0:27.0,Defensive rebound by J. Johnson,,79-84,,
0:13.0,J. Johnson misses 2-pt shot from 2 ft (block by S. Adams),,79-84,,
0:11.0,,,79-84,,Defensive rebound by S. Adams
0:00.0,,,79-86,2,S. Adams makes 2-pt shot from 8 ft (assist by R. Westbrook)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,J. Johnson misses 2-pt shot from 4 ft,,79-86,,
11:44.0,Offensive rebound by Team,,79-86,,
11:37.0,K. Lowry misses 2-pt shot from 1 ft,,79-86,,
11:35.0,Offensive rebound by P. Patterson,,79-86,,
11:35.0,P. Patterson makes 2-pt shot from 1 ft,2,81-86,,
11:22.0,,,81-88,2,S. Adams makes 2-pt shot at rim (assist by S. Ibaka)
11:03.0,J. Johnson misses 2-pt shot from 15 ft,,81-88,,
11:02.0,,,81-88,,Defensive rebound by S. Adams
10:51.0,,,81-90,2,S. Ibaka makes 2-pt shot from 16 ft (assist by D. Augustin)
10:26.0,L. Williams makes 2-pt shot from 1 ft,2,83-90,,
10:05.0,,,83-93,3,D. Waiters makes 3-pt shot from 23 ft (assist by D. Augustin)
9:42.0,J. Johnson misses 2-pt shot at rim (block by S. Ibaka),,83-93,,
9:41.0,,,83-93,,Defensive rebound by D. Augustin
9:31.0,,,83-95,2,A. Morrow makes 2-pt shot from 12 ft (assist by D. Waiters)
9:30.0,Toronto full timeout,,83-95,,
9:30.0,J. Valanciunas enters the game for J. Johnson,,83-95,,
9:10.0,G. Vasquez makes 2-pt shot from 5 ft (assist by P. Patterson),2,85-95,,
8:54.0,,,85-95,,Turnover by D. Augustin (bad pass; steal by K. Lowry)
8:48.0,L. Williams makes 2-pt shot from 7 ft,2,87-95,,
8:30.0,,,87-95,,Turnover by S. Adams (bad pass; steal by J. Valanciunas)
8:24.0,K. Lowry misses 3-pt shot from 24 ft,,87-95,,
8:23.0,,,87-95,,Defensive rebound by D. Waiters
8:13.0,,,87-95,,S. Ibaka misses 2-pt shot from 17 ft
8:12.0,Defensive rebound by Team,,87-95,,
8:12.0,,,87-95,,R. Westbrook enters the game for A. Morrow
8:03.0,,,87-95,,Personal foul by D. Waiters (drawn by J. Valanciunas)
7:47.0,K. Lowry misses 2-pt shot from 14 ft,,87-95,,
7:47.0,Offensive rebound by Team,,87-95,,
7:47.0,,,87-95,,Loose ball foul by S. Ibaka (drawn by J. Valanciunas)
7:32.0,G. Vasquez makes 3-pt shot from 24 ft,3,90-95,,
7:16.0,,,90-95,,R. Westbrook misses 2-pt shot from 16 ft
7:16.0,Defensive rebound by P. Patterson,,90-95,,
7:03.0,J. Valanciunas misses 2-pt shot at rim (block by S. Ibaka),,90-95,,
7:01.0,Offensive rebound by J. Valanciunas,,90-95,,
7:01.0,J. Valanciunas makes 2-pt shot from 3 ft,2,92-95,,
7:01.0,,,92-95,,Oklahoma City full timeout
6:51.0,,,92-95,,Offensive foul by S. Adams
6:51.0,,,92-95,,Turnover by S. Adams (offensive foul)
6:41.0,J. Valanciunas misses 2-pt shot from 1 ft (block by S. Ibaka),,92-95,,
6:39.0,,,92-95,,Defensive rebound by S. Ibaka
6:33.0,Personal foul by K. Lowry (drawn by D. Waiters),,92-95,,
6:19.0,,,92-95,,E. Kanter enters the game for S. Adams
6:19.0,,,92-95,,Turnover by R. Westbrook (bad pass; steal by L. Williams)
6:11.0,G. Vasquez misses 3-pt shot from 22 ft,,92-95,,
6:10.0,,,92-95,,Defensive rebound by E. Kanter
5:52.0,,,92-95,,S. Ibaka misses 2-pt shot from 14 ft
5:50.0,,,92-95,,Offensive rebound by E. Kanter
5:45.0,,,92-98,3,D. Augustin makes 3-pt shot from 23 ft (assist by E. Kanter)
5:25.0,J. Valanciunas misses 2-pt shot at rim (block by R. Westbrook),,92-98,,
5:24.0,,,92-98,,Defensive rebound by D. Augustin
5:11.0,,,92-98,,E. Kanter misses 2-pt shot at rim (block by J. Valanciunas)
5:10.0,Defensive rebound by P. Patterson,,92-98,,
5:07.0,,,92-98,,Personal foul by R. Westbrook (drawn by L. Williams)
5:07.0,D. DeRozan enters the game for G. Vasquez,,92-98,,
4:55.0,Turnover by J. Valanciunas (lost ball; steal by D. Waiters),,92-98,,
4:45.0,,,92-98,,Turnover by E. Kanter (lost ball)
4:31.0,D. DeRozan misses 2-pt shot from 6 ft,,92-98,,
4:30.0,Offensive rebound by P. Patterson,,92-98,,
4:30.0,P. Patterson makes 2-pt shot from 1 ft,2,94-98,,
4:05.0,,,94-98,,D. Waiters misses 3-pt shot from 22 ft
4:04.0,,,94-98,,Offensive rebound by E. Kanter
4:00.0,,,94-98,,D. Augustin misses 3-pt shot from 24 ft
3:59.0,Defensive rebound by Team,,94-98,,
3:58.0,Toronto full timeout,,94-98,,
3:58.0,T. Ross enters the game for L. Williams,,94-98,,
3:47.0,K. Lowry misses 3-pt shot from 24 ft,,94-98,,
3:46.0,,,94-98,,Defensive rebound by R. Westbrook
3:38.0,,,94-100,2,S. Ibaka makes 2-pt shot from 18 ft (assist by R. Westbrook)
