time,Dallas,pts.away,score,pts.home,Memphis
2:01.0,,,100-108,,Personal foul by M. Gasol (drawn by D. Harris)
1:50.0,J. Barea makes 2-pt shot from 6 ft,2,102-108,,
1:29.0,,,102-108,,Z. Randolph misses 2-pt shot from 3 ft
1:28.0,,,102-108,,Offensive rebound by M. Gasol
1:28.0,,,102-110,2,M. Gasol makes 2-pt shot from 2 ft
1:28.0,Dallas full timeout,,102-110,,
1:21.0,C. Parsons misses 2-pt shot from 10 ft,,102-110,,
1:21.0,,,102-110,,Defensive rebound by Z. Randolph
1:04.0,,,102-110,,T. Allen misses 2-pt shot from 10 ft
1:04.0,Defensive rebound by C. Parsons,,102-110,,
0:58.0,D. Nowitzki misses 3-pt shot from 24 ft,,102-110,,
0:57.0,,,102-110,,Defensive rebound by T. Prince
0:52.0,Personal take foul by J. Barea (drawn by M. Conley),,102-110,,
0:52.0,J. Crowder enters the game for D. Nowitzki,,102-110,,
0:52.0,B. Wright enters the game for T. Chandler,,102-110,,
0:49.0,Personal take foul by J. Crowder (drawn by T. Allen),,102-110,,
0:49.0,,,102-111,1,T. Allen makes free throw 1 of 2
0:49.0,C. Villanueva enters the game for D. Harris,,102-111,,
0:49.0,,,102-112,1,T. Allen makes free throw 2 of 2
0:34.0,J. Barea misses 2-pt shot from 9 ft,,102-112,,
0:33.0,,,102-112,,Defensive rebound by M. Gasol
0:33.0,Personal take foul by B. Wright (drawn by M. Gasol),,102-112,,
0:33.0,,,102-113,1,M. Gasol makes free throw 1 of 2
0:33.0,,,102-113,,N. Calathes enters the game for Z. Randolph
0:33.0,G. Smith enters the game for C. Parsons,,102-113,,
0:33.0,,,102-114,1,M. Gasol makes free throw 2 of 2
0:21.0,C. Villanueva makes 3-pt shot from 24 ft (assist by J. Crowder),3,105-114,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
