time,San Antonio,pts.away,score,pts.home,Orlando
2:35.0,,,103-87,3,V. Oladipo makes 3-pt shot from 26 ft (assist by N. Vucevic)
2:14.0,M. Belinelli misses 2-pt shot from 22 ft,,103-87,,
2:13.0,,,103-87,,Defensive rebound by V. Oladipo
2:04.0,,,103-87,,V. Oladipo misses 2-pt shot from 12 ft
2:04.0,Defensive rebound by J. Ayres,,103-87,,
1:52.0,P. Mills misses 3-pt shot from 24 ft,,103-87,,
1:51.0,,,103-87,,Defensive rebound by N. Vucevic
1:44.0,,,103-89,2,E. Payton makes 2-pt shot from 1 ft
1:30.0,J. Ayres misses 2-pt shot at rim,,103-89,,
1:30.0,Offensive rebound by M. Bonner,,103-89,,
1:17.0,M. Belinelli misses 3-pt shot from 23 ft,,103-89,,
1:17.0,Offensive rebound by J. Ayres,,103-89,,
1:08.0,Turnover by C. Joseph (lost ball),,103-89,,
0:57.0,,,103-89,,N. Vucevic misses 2-pt shot from 20 ft
0:55.0,,,103-89,,Offensive rebound by E. Payton
0:55.0,Personal foul by J. Ayres (drawn by E. Payton),,103-89,,
0:45.0,,,103-91,2,E. Payton makes 2-pt shot from 2 ft
0:28.0,C. Joseph misses 2-pt shot from 2 ft (block by N. Vucevic),,103-91,,
0:28.0,Offensive rebound by Team,,103-91,,
0:24.0,J. Ayres misses 2-pt shot from 17 ft,,103-91,,
0:24.0,,,103-91,,Defensive rebound by A. Gordon
0:17.0,,,103-91,,E. Payton misses 2-pt shot from 9 ft
0:15.0,Defensive rebound by J. Ayres,,103-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
