time,Cleveland,pts.away,score,pts.home,Oklahoma City
5:59.0,Defensive rebound by K. Love,,79-91,,
5:55.0,J. Harris misses 2-pt shot from 1 ft (block by K. Durant),,79-91,,
5:55.0,Offensive rebound by Team,,79-91,,
5:55.0,Official timeout,,79-91,,
5:55.0,,,79-91,,A. Morrow enters the game for R. Jackson
5:47.0,M. Dellavedova makes 2-pt shot from 21 ft (assist by K. Irving),2,81-91,,
5:23.0,,,81-91,,R. Westbrook misses 2-pt shot from 2 ft
5:21.0,Defensive rebound by M. Dellavedova,,81-91,,
5:10.0,A. Varejao misses 2-pt shot from 1 ft (block by K. Durant),,81-91,,
5:08.0,,,81-91,,Defensive rebound by R. Westbrook
5:04.0,,,81-91,,A. Morrow misses 3-pt shot from 25 ft
5:03.0,Defensive rebound by K. Love,,81-91,,
4:44.0,K. Love misses 3-pt shot from 23 ft,,81-91,,
4:43.0,,,81-91,,Defensive rebound by K. Durant
4:31.0,Personal foul by M. Dellavedova (drawn by K. Durant),,81-91,,
4:31.0,T. Thompson enters the game for A. Varejao,,81-91,,
4:27.0,,,81-91,,N. Collison misses 2-pt shot from 1 ft (block by K. Love)
4:27.0,,,81-91,,Offensive rebound by Team
4:23.0,,,81-93,2,S. Adams makes 2-pt shot from 4 ft (assist by K. Durant)
4:06.0,,,81-93,,Personal foul by N. Collison (drawn by K. Love)
4:06.0,K. Love makes free throw 1 of 2,1,82-93,,
4:06.0,K. Love makes free throw 2 of 2,1,83-93,,
3:51.0,,,83-93,,S. Adams misses 2-pt shot from 5 ft
3:50.0,,,83-93,,Offensive rebound by N. Collison
3:47.0,,,83-93,,K. Durant misses 3-pt shot from 24 ft
3:46.0,Defensive rebound by K. Love,,83-93,,
3:38.0,K. Irving makes 2-pt shot at rim (assist by M. Dellavedova),2,85-93,,
3:19.0,,,85-93,,K. Durant misses 2-pt shot from 9 ft
3:19.0,Defensive rebound by Team,,85-93,,
3:19.0,,,85-93,,Loose ball foul by S. Adams (drawn by T. Thompson)
3:19.0,T. Thompson makes free throw 1 of 2,1,86-93,,
3:19.0,T. Thompson makes free throw 2 of 2,1,87-93,,
2:58.0,,,87-95,2,R. Westbrook makes 2-pt shot from 14 ft
2:41.0,K. Irving makes 2-pt shot from 1 ft,2,89-95,,
2:21.0,,,89-95,,R. Westbrook misses 2-pt shot from 19 ft
2:20.0,Defensive rebound by K. Love,,89-95,,
2:00.0,K. Irving misses 2-pt shot from 1 ft,,89-95,,
2:00.0,Offensive rebound by T. Thompson,,89-95,,
2:00.0,T. Thompson makes 2-pt shot from 2 ft,2,91-95,,
2:00.0,,,91-95,,Oklahoma City full timeout
2:00.0,,,91-95,,R. Jackson enters the game for N. Collison
1:45.0,,,91-97,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
1:32.0,Turnover by K. Irving (lost ball; steal by K. Durant),,91-97,,
1:17.0,,,91-99,2,K. Durant makes 2-pt shot from 14 ft
1:14.0,Cleveland full timeout,,91-99,,
1:14.0,,,91-99,,A. Roberson enters the game for S. Adams
1:03.0,Shooting foul by A. Roberson (drawn by K. Love),,91-99,,
1:03.0,K. Love makes free throw 1 of 2,1,92-99,,
1:03.0,,,92-99,,S. Adams enters the game for A. Roberson
1:03.0,K. Love makes free throw 2 of 2,1,93-99,,
0:53.0,Personal foul by J. Harris (drawn by K. Durant),,93-99,,
0:53.0,,,93-100,1,K. Durant makes free throw 1 of 2
0:53.0,,,93-100,,A. Roberson enters the game for S. Adams
0:53.0,,,93-101,1,K. Durant makes free throw 2 of 2
0:53.0,Cleveland full timeout,,93-101,,
0:49.0,Shooting foul by A. Roberson (drawn by K. Irving),,93-101,,
0:49.0,K. Irving misses free throw 1 of 2,,93-101,,
0:49.0,Offensive rebound by Team,,93-101,,
0:49.0,,,93-101,,S. Adams enters the game for A. Roberson
0:49.0,K. Irving makes free throw 2 of 2,1,94-101,,
0:29.0,,,94-103,2,K. Durant makes 2-pt shot at rim
0:24.0,K. Irving misses 3-pt shot from 25 ft,,94-103,,
0:23.0,,,94-103,,Defensive rebound by S. Adams
0:00.0,End of 4th quarter,,,,End of 4th quarter
