time,LA Clippers,pts.away,score,pts.home,Boston
6:01.0,H. Turkoglu misses 3-pt shot from 25 ft,,109-90,,
6:00.0,,,109-90,,Defensive rebound by P. Pressey
5:54.0,,,109-90,,P. Pressey misses 2-pt shot from 1 ft (block by A. Rivers)
5:52.0,Defensive rebound by C. Wilcox,,109-90,,
5:48.0,Turnover by C. Wilcox (bad pass; steal by P. Pressey),,109-90,,
5:42.0,,,109-90,,M. Smart misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by S. Hawes,,109-90,,
5:40.0,,,109-90,,Personal foul by L. Datome (drawn by S. Hawes)
5:40.0,,,109-90,,J. Crowder enters the game for M. Smart
5:29.0,A. Rivers makes 2-pt shot from 2 ft,2,111-90,,
5:10.0,,,111-90,,Shooting foul by G. Davis (drawn by K. Olynyk)
5:10.0,,,111-90,,K. Olynyk misses free throw 1 of 2
5:10.0,,,111-90,,Offensive rebound by Team
5:10.0,,,111-91,1,K. Olynyk makes free throw 2 of 2
4:55.0,C. Wilcox misses 3-pt shot from 23 ft,,111-91,,
4:54.0,,,111-91,,Defensive rebound by J. Jerebko
4:47.0,,,111-93,2,J. Jerebko makes 2-pt shot from 2 ft (assist by P. Pressey)
4:47.0,,,111-93,,Shooting foul by G. Davis (drawn by J. Jerebko)
4:47.0,L. Hudson enters the game for C. Wilcox,,111-93,,
4:47.0,,,111-94,1,J. Jerebko makes free throw 1 of 1
4:25.0,H. Turkoglu misses 2-pt shot from 19 ft,,111-94,,
4:24.0,,,111-94,,Defensive rebound by L. Datome
4:18.0,,,111-97,3,L. Datome makes 3-pt shot from 24 ft (assist by P. Pressey)
4:16.0,LA Clippers full timeout,,111-97,,
4:16.0,C. Paul enters the game for A. Rivers,,111-97,,
4:16.0,J. Redick enters the game for S. Hawes,,111-97,,
4:16.0,D. Jordan enters the game for H. Turkoglu,,111-97,,
4:16.0,M. Barnes enters the game for G. Davis,,111-97,,
4:16.0,B. Griffin enters the game for L. Hudson,,111-97,,
4:15.0,,,111-97,,Personal take foul by J. Jerebko (drawn by D. Jordan)
4:15.0,D. Jordan misses free throw 1 of 2,,111-97,,
4:15.0,Offensive rebound by Team,,111-97,,
4:15.0,D. Jordan misses free throw 2 of 2,,111-97,,
4:15.0,,,111-97,,Defensive rebound by J. Jerebko
4:02.0,,,111-100,3,L. Datome makes 3-pt shot from 27 ft (assist by P. Pressey)
3:59.0,,,111-100,,Personal take foul by J. Jerebko (drawn by D. Jordan)
3:59.0,D. Jordan misses free throw 1 of 2,,111-100,,
3:59.0,Offensive rebound by Team,,111-100,,
3:59.0,D. Jordan misses free throw 2 of 2,,111-100,,
3:58.0,Offensive rebound by M. Barnes,,111-100,,
3:57.0,M. Barnes makes 2-pt shot from 1 ft,2,113-100,,
3:47.0,,,113-100,,Turnover by P. Pressey (lost ball)
3:46.0,,,113-100,,Personal take foul by J. Jerebko (drawn by D. Jordan)
3:46.0,D. Jordan misses free throw 1 of 2,,113-100,,
3:46.0,Offensive rebound by Team,,113-100,,
3:46.0,,,113-100,,I. Thomas enters the game for P. Pressey
3:46.0,D. Jordan misses free throw 2 of 2,,113-100,,
3:45.0,,,113-100,,Defensive rebound by J. Crowder
3:21.0,,,113-100,,J. Crowder misses 2-pt shot from 18 ft
3:20.0,Defensive rebound by C. Paul,,113-100,,
3:13.0,M. Barnes misses 3-pt shot from 22 ft,,113-100,,
3:12.0,,,113-100,,Defensive rebound by J. Jerebko
3:03.0,,,113-100,,I. Thomas misses 2-pt shot from 2 ft
3:02.0,Defensive rebound by D. Jordan,,113-100,,
2:55.0,,,113-100,,Personal take foul by K. Olynyk (drawn by D. Jordan)
2:55.0,D. Jordan makes free throw 1 of 2,1,114-100,,
2:55.0,,,114-100,,Boston full timeout
2:55.0,D. Jordan misses free throw 2 of 2,,114-100,,
2:53.0,Offensive rebound by M. Barnes,,114-100,,
2:50.0,,,114-100,,Personal block foul by J. Crowder (drawn by C. Paul)
2:50.0,C. Paul makes free throw 1 of 2,1,115-100,,
2:50.0,C. Paul makes free throw 2 of 2,1,116-100,,
2:39.0,,,116-102,2,J. Crowder makes 2-pt shot from 22 ft (assist by I. Thomas)
2:34.0,,,116-102,,Personal take foul by K. Olynyk (drawn by D. Jordan)
2:34.0,D. Jordan misses free throw 1 of 2,,116-102,,
2:34.0,Offensive rebound by Team,,116-102,,
2:34.0,D. Jordan makes free throw 2 of 2,1,117-102,,
2:28.0,,,117-102,,J. Jerebko misses 2-pt shot from 3 ft (block by B. Griffin)
2:27.0,Defensive rebound by B. Griffin,,117-102,,
2:24.0,,,117-102,,Personal foul by I. Thomas (drawn by B. Griffin)
2:24.0,B. Griffin makes free throw 1 of 2,1,118-102,,
2:24.0,,,118-102,,P. Pressey enters the game for I. Thomas
2:24.0,B. Griffin makes free throw 2 of 2,1,119-102,,
2:12.0,,,119-102,,J. Jerebko misses 3-pt shot from 23 ft
2:11.0,,,119-102,,Offensive rebound by Team
2:11.0,Personal foul by M. Barnes (drawn by K. Olynyk),,119-102,,
2:01.0,,,119-102,,K. Olynyk misses 2-pt shot from 8 ft
1:59.0,Defensive rebound by M. Barnes,,119-102,,
1:35.0,M. Barnes misses 3-pt shot from 25 ft,,119-102,,
1:34.0,Offensive rebound by D. Jordan,,119-102,,
1:20.0,Turnover by M. Barnes (bad pass; steal by J. Jerebko),,119-102,,
1:13.0,,,119-102,,Turnover by P. Pressey (bad pass)
0:57.0,J. Redick misses 2-pt shot from 20 ft,,119-102,,
0:56.0,,,119-102,,Defensive rebound by P. Pressey
0:50.0,,,119-104,2,L. Datome makes 2-pt shot from 20 ft
0:29.0,M. Barnes misses 3-pt shot from 23 ft,,119-104,,
0:28.0,,,119-104,,Defensive rebound by P. Pressey
0:23.0,,,119-104,,K. Olynyk misses 2-pt shot from 2 ft
0:22.0,,,119-104,,Offensive rebound by J. Jerebko
0:22.0,,,119-106,2,J. Jerebko makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
