time,LA Clippers,pts.away,score,pts.home,Washington
3:16.0,,,85-98,,Personal foul by J. Wall (drawn by C. Paul)
3:16.0,C. Paul makes free throw 1 of 2,1,86-98,,
3:16.0,C. Paul makes free throw 2 of 2,1,87-98,,
2:59.0,,,87-100,2,N. Hilario makes 2-pt shot from 1 ft (assist by P. Pierce)
2:51.0,Turnover by M. Barnes (lost ball; steal by N. Hilario),,87-100,,
2:32.0,,,87-100,,Turnover by J. Wall (bad pass; steal by J. Crawford)
2:22.0,C. Paul makes 2-pt shot from 19 ft,2,89-100,,
2:09.0,Personal foul by B. Griffin (drawn by N. Hilario),,89-100,,
2:09.0,J. Farmar enters the game for M. Barnes,,89-100,,
2:09.0,E. Udoh enters the game for B. Griffin,,89-100,,
2:09.0,G. Davis enters the game for J. Redick,,89-100,,
2:09.0,C. Wilcox enters the game for C. Paul,,89-100,,
2:09.0,J. Cunningham enters the game for J. Crawford,,89-100,,
1:59.0,,,89-102,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
1:49.0,C. Wilcox makes 3-pt shot from 24 ft,3,92-102,,
1:30.0,,,92-102,,Shooting foul by J. Cunningham (drawn by P. Pierce)
1:30.0,,,92-103,1,P. Pierce makes free throw 1 of 2
1:30.0,,,92-103,,O. Porter enters the game for B. Beal
1:30.0,,,92-103,,K. Seraphin enters the game for N. Hilario
1:30.0,,,92-104,1,P. Pierce makes free throw 2 of 2
1:23.0,,,92-104,,Personal take foul by P. Pierce (drawn by E. Udoh)
1:23.0,E. Udoh makes free throw 1 of 2,1,93-104,,
1:23.0,,,93-104,,G. Temple enters the game for P. Pierce
1:23.0,E. Udoh makes free throw 2 of 2,1,94-104,,
1:00.0,,,94-104,,R. Butler misses 3-pt shot from 26 ft
1:00.0,Defensive rebound by J. Cunningham,,94-104,,
0:54.0,J. Cunningham misses 2-pt shot from 11 ft,,94-104,,
0:53.0,Offensive rebound by G. Davis,,94-104,,
0:52.0,G. Davis makes 2-pt shot at rim,2,96-104,,
0:31.0,,,96-104,,J. Wall misses 2-pt shot from 21 ft
0:29.0,Defensive rebound by C. Wilcox,,96-104,,
0:24.0,Turnover by J. Cunningham (lost ball),,96-104,,
0:24.0,,,96-104,,A. Miller enters the game for J. Wall
0:00.0,,,96-104,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
