time,New York,pts.away,score,pts.home,Portland
1:37.0,,,72-99,,Personal foul by M. Leonard (drawn by J. Smith)
1:25.0,Shooting foul by M. Leonard (drawn by J. Smith),,72-99,,
1:25.0,J. Smith makes free throw 1 of 2,1,73-99,,
1:25.0,J. Smith makes free throw 2 of 2,1,74-99,,
1:12.0,,,74-99,,Turnover by V. Claver (bad pass)
0:54.0,Turnover by Q. Acy (lost ball; steal by C. McCollum),,74-99,,
0:46.0,,,74-99,,M. Leonard misses 2-pt shot from 4 ft
0:45.0,Defensive rebound by J. Smith,,74-99,,
0:38.0,Shooting foul by V. Claver (drawn by T. Hardaway),,74-99,,
0:38.0,T. Hardaway makes free throw 1 of 2,1,75-99,,
0:38.0,T. Hardaway makes free throw 2 of 2,1,76-99,,
0:30.0,,,76-101,2,M. Leonard makes 2-pt shot at rim (assist by W. Barton)
0:16.0,T. Hardaway makes 3-pt shot from 24 ft,3,79-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
