time,Orlando,pts.away,score,pts.home,LA Lakers
5:15.0,,,78-91,2,C. Boozer makes 2-pt shot from 15 ft
5:02.0,C. Frye misses 2-pt shot from 16 ft,,78-91,,
5:00.0,,,78-91,,Defensive rebound by C. Boozer
4:45.0,,,78-93,2,C. Boozer makes 2-pt shot at rim (assist by J. Lin)
4:22.0,N. Vucevic misses 2-pt shot from 9 ft,,78-93,,
4:21.0,,,78-93,,Defensive rebound by C. Boozer
4:13.0,,,78-95,2,C. Boozer makes 2-pt shot from 14 ft (assist by J. Lin)
4:07.0,Orlando full timeout,,78-95,,
4:07.0,K. O'Quinn enters the game for T. Harris,,78-95,,
4:07.0,D. Marble enters the game for N. Vucevic,,78-95,,
4:07.0,L. Ridnour enters the game for V. Oladipo,,78-95,,
4:07.0,E. Fournier enters the game for E. Payton,,78-95,,
4:07.0,A. Nicholson enters the game for C. Frye,,78-95,,
3:46.0,Turnover by Team (shot clock),,78-95,,
3:34.0,,,78-95,,C. Boozer misses 2-pt shot from 1 ft
3:33.0,,,78-95,,Offensive rebound by C. Boozer
3:32.0,,,78-95,,C. Boozer misses 2-pt shot from 1 ft
3:32.0,,,78-95,,Offensive rebound by T. Black
3:32.0,,,78-95,,Shooting foul by L. Ridnour (drawn by T. Black)
3:32.0,,,78-96,1,T. Black makes free throw 1 of 2
3:32.0,,,78-96,,T. Black misses free throw 2 of 2
3:32.0,Defensive rebound by Team,,78-96,,
3:32.0,,,78-96,,Loose ball foul by C. Boozer (drawn by A. Nicholson)
3:32.0,A. Nicholson misses free throw 1 of 2,,78-96,,
3:32.0,Offensive rebound by Team,,78-96,,
3:32.0,A. Nicholson misses free throw 2 of 2,,78-96,,
3:31.0,,,78-96,,Defensive rebound by R. Price
3:19.0,,,78-96,,Turnover by J. Lin (bad pass; steal by K. O'Quinn)
3:04.0,A. Nicholson misses 2-pt shot from 3 ft (block by T. Black),,78-96,,
3:02.0,,,78-96,,Defensive rebound by R. Kelly
2:42.0,,,78-96,,C. Boozer misses 2-pt shot from 13 ft
2:39.0,Defensive rebound by D. Marble,,78-96,,
2:31.0,L. Ridnour misses 2-pt shot from 14 ft,,78-96,,
2:30.0,,,78-96,,Defensive rebound by T. Black
2:07.0,,,78-96,,J. Lin misses 2-pt shot from 16 ft
2:07.0,,,78-96,,Offensive rebound by Team
2:07.0,,,78-96,,Turnover by Team (shot clock)
2:07.0,D. Dedmon enters the game for K. O'Quinn,,78-96,,
1:58.0,Shooting foul by R. Price (drawn by E. Fournier),,78-96,,
1:58.0,E. Fournier makes free throw 1 of 2,1,79-96,,
1:58.0,E. Fournier makes free throw 2 of 2,1,80-96,,
1:40.0,,,80-96,,Shooting foul by E. Fournier (drawn by R. Kelly)
1:40.0,,,80-97,1,R. Kelly makes free throw 1 of 2
1:40.0,,,80-98,1,R. Kelly makes free throw 2 of 2
1:17.0,L. Ridnour makes 2-pt shot from 20 ft (assist by D. Marble),2,82-98,,
0:57.0,,,82-98,,C. Boozer misses 2-pt shot from 3 ft
0:55.0,Defensive rebound by D. Marble,,82-98,,
0:47.0,D. Marble misses 2-pt shot from 16 ft,,82-98,,
0:46.0,,,82-98,,Defensive rebound by J. Lin
0:24.0,,,82-101,3,J. Lin makes 3-pt shot from 25 ft
0:16.0,,,82-101,,Personal foul by J. Lin (drawn by E. Fournier)
0:16.0,E. Fournier makes free throw 1 of 2,1,83-101,,
0:16.0,E. Fournier makes free throw 2 of 2,1,84-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
