time,Portland,pts.away,score,pts.home,Miami
0:52.0,,,104-102,,Miami full timeout
0:42.0,,,104-104,2,D. Wade makes 2-pt shot from 11 ft
0:42.0,Portland full timeout,,104-104,,
0:35.0,L. Aldridge misses 2-pt shot from 11 ft,,104-104,,
0:34.0,,,104-104,,Defensive rebound by H. Whiteside
0:14.0,,,104-106,2,D. Wade makes 2-pt shot from 15 ft
0:14.0,Portland full timeout,,104-106,,
0:14.0,C. McCollum enters the game for R. Lopez,,104-106,,
0:14.0,,,104-106,,M. Chalmers enters the game for H. Whiteside
0:14.0,Portland full timeout,,104-106,,
0:12.0,Turnover by Team (back court),,104-106,,
0:10.0,Personal foul by C. McCollum (drawn by D. Wade),,104-106,,
0:10.0,,,104-107,1,D. Wade makes free throw 1 of 2
0:10.0,,,104-108,1,D. Wade makes free throw 2 of 2
0:02.0,D. Lillard misses 3-pt shot from 24 ft,,104-108,,
0:01.0,,,104-108,,Defensive rebound by D. Wade
0:00.0,End of 4th quarter,,,,End of 4th quarter
