time,Washington,pts.away,score,pts.home,Milwaukee
1:06.0,,,84-84,,Defensive rebound by E. Ilyasova
1:06.0,,,84-84,,Milwaukee full timeout
0:46.0,,,84-84,,K. Middleton misses 3-pt shot from 26 ft
0:45.0,,,84-84,,Offensive rebound by Z. Pachulia
0:41.0,,,84-87,3,K. Middleton makes 3-pt shot from 23 ft (assist by Z. Pachulia)
0:41.0,Washington full timeout,,84-87,,
0:41.0,R. Butler enters the game for N. Hilario,,84-87,,
0:41.0,,,84-87,,J. Bayless enters the game for E. Ilyasova
0:25.0,P. Pierce misses 3-pt shot from 26 ft,,84-87,,
0:23.0,,,84-87,,Defensive rebound by J. Bayless
0:22.0,Personal take foul by M. Gortat (drawn by J. Bayless),,84-87,,
0:22.0,,,84-88,1,J. Bayless makes free throw 1 of 2
0:22.0,,,84-89,1,J. Bayless makes free throw 2 of 2
0:22.0,Washington full timeout,,84-89,,
0:18.0,,,84-89,,Personal foul by G. Antetokounmpo (drawn by P. Pierce)
0:18.0,P. Pierce misses free throw 1 of 2,,84-89,,
0:18.0,Offensive rebound by Team,,84-89,,
0:18.0,R. Sessions enters the game for M. Gortat,,84-89,,
0:18.0,P. Pierce makes free throw 2 of 2,1,85-89,,
0:16.0,Personal take foul by G. Temple (drawn by J. Bayless),,85-89,,
0:16.0,,,85-90,1,J. Bayless makes free throw 1 of 2
0:16.0,M. Gortat enters the game for R. Sessions,,85-90,,
0:16.0,N. Hilario enters the game for P. Pierce,,85-90,,
0:16.0,,,85-91,1,J. Bayless makes free throw 2 of 2
0:16.0,Washington full timeout,,85-91,,
0:16.0,P. Pierce enters the game for N. Hilario,,85-91,,
0:16.0,M. Webster enters the game for G. Temple,,85-91,,
0:08.0,J. Wall misses 3-pt shot from 23 ft,,85-91,,
0:06.0,,,85-91,,Defensive rebound by Z. Pachulia
0:00.0,End of 4th quarter,,,,End of 4th quarter
