time,LA Clippers,pts.away,score,pts.home,Cleveland
5:51.0,Defensive rebound by G. Davis,,75-102,,
5:48.0,C. Wilcox misses 3-pt shot from 25 ft,,75-102,,
5:46.0,,,75-102,,Defensive rebound by S. Marion
5:40.0,,,75-102,,M. Miller misses 3-pt shot from 26 ft
5:39.0,,,75-102,,Offensive rebound by T. Thompson
5:34.0,,,75-102,,M. Miller misses 3-pt shot from 24 ft
5:32.0,,,75-102,,Offensive rebound by I. Shumpert
5:23.0,,,75-102,,Cleveland full timeout
5:23.0,,,75-102,,B. Haywood enters the game for I. Shumpert
5:23.0,,,75-102,,J. Jones enters the game for T. Thompson
5:11.0,,,75-102,,M. Dellavedova misses 2-pt shot from 11 ft
5:09.0,Defensive rebound by C. Wilcox,,75-102,,
4:58.0,G. Davis misses 2-pt shot from 9 ft,,75-102,,
4:57.0,,,75-102,,Defensive rebound by B. Haywood
4:41.0,,,75-102,,Turnover by M. Dellavedova (lost ball; steal by E. Udoh)
4:35.0,A. Rivers makes 2-pt shot at rim,2,77-102,,
4:15.0,,,77-102,,Turnover by B. Haywood (lost ball; steal by E. Udoh)
4:14.0,,,77-102,,Personal foul by M. Dellavedova (drawn by E. Udoh)
4:14.0,E. Udoh makes free throw 1 of 2,1,78-102,,
4:14.0,E. Udoh makes free throw 2 of 2,1,79-102,,
4:03.0,,,79-102,,Turnover by J. Jones (step out of bounds)
3:52.0,A. Rivers makes 3-pt shot from 26 ft,3,82-102,,
3:28.0,,,82-102,,J. Jones misses 3-pt shot from 23 ft
3:27.0,Defensive rebound by A. Rivers,,82-102,,
3:21.0,G. Davis misses 3-pt shot from 26 ft,,82-102,,
3:19.0,,,82-102,,Defensive rebound by Team
3:03.0,,,82-102,,B. Haywood misses 2-pt shot from 8 ft
3:02.0,Defensive rebound by G. Davis,,82-102,,
2:52.0,A. Rivers misses 2-pt shot from 21 ft,,82-102,,
2:49.0,,,82-102,,Defensive rebound by S. Marion
2:47.0,Personal foul by A. Rivers (drawn by M. Dellavedova),,82-102,,
2:47.0,LA Clippers full timeout,,82-102,,
2:26.0,,,82-102,,J. Jones misses 3-pt shot from 23 ft
2:25.0,Defensive rebound by E. Udoh,,82-102,,
2:07.0,E. Udoh makes 2-pt shot from 5 ft (assist by A. Rivers),2,84-102,,
1:51.0,,,84-102,,M. Miller misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by Team,,84-102,,
1:36.0,C. Wilcox makes 3-pt shot from 23 ft (assist by A. Rivers),3,87-102,,
1:15.0,,,87-102,,S. Marion misses 3-pt shot from 22 ft
1:14.0,Defensive rebound by A. Rivers,,87-102,,
1:09.0,Shooting foul by M. Dellavedova (drawn by A. Rivers),,87-102,,
1:09.0,A. Rivers makes free throw 1 of 2,1,88-102,,
1:09.0,A. Rivers misses free throw 2 of 2,,88-102,,
1:08.0,Offensive rebound by A. Rivers,,88-102,,
1:06.0,A. Rivers makes 2-pt shot from 9 ft,2,90-102,,
1:02.0,Personal foul by A. Rivers (drawn by M. Miller),,90-102,,
1:02.0,,,90-102,,M. Miller misses free throw 1 of 2
1:02.0,,,90-102,,Offensive rebound by Team
1:02.0,,,90-103,1,M. Miller makes free throw 2 of 2
0:47.0,G. Davis misses 2-pt shot from 14 ft,,90-103,,
0:44.0,,,90-103,,Defensive rebound by S. Marion
0:30.0,,,90-103,,M. Miller misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by E. Udoh,,90-103,,
0:25.0,D. Jones makes 2-pt shot at rim (assist by E. Udoh),2,92-103,,
0:14.0,Personal foul by D. Jones (drawn by M. Dellavedova),,92-103,,
0:14.0,,,92-104,1,M. Dellavedova makes free throw 1 of 2
0:14.0,,,92-105,1,M. Dellavedova makes free throw 2 of 2
0:05.0,G. Davis misses 2-pt shot from 1 ft,,92-105,,
0:04.0,Offensive rebound by A. Rivers,,92-105,,
0:01.0,G. Davis makes 2-pt shot at rim (assist by A. Rivers),2,94-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
