time,Brooklyn,pts.away,score,pts.home,Portland
2:07.0,,,84-91,,W. Matthews misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by K. Garnett,,84-91,,
2:05.0,Brooklyn full timeout,,84-91,,
1:54.0,M. Teletovic misses 3-pt shot from 24 ft,,84-91,,
1:53.0,,,84-91,,Defensive rebound by W. Matthews
1:50.0,,,84-91,,Turnover by W. Matthews (bad pass)
1:30.0,J. Johnson misses 3-pt shot from 24 ft,,84-91,,
1:28.0,Offensive rebound by M. Teletovic,,84-91,,
1:28.0,M. Teletovic misses 2-pt shot from 1 ft,,84-91,,
1:24.0,,,84-91,,Defensive rebound by D. Lillard
1:04.0,,,84-91,,A. Crabbe misses 3-pt shot from 24 ft
1:01.0,Defensive rebound by K. Garnett,,84-91,,
1:01.0,Brooklyn full timeout,,84-91,,
0:58.0,J. Johnson misses 2-pt shot from 4 ft,,84-91,,
0:57.0,Offensive rebound by J. Johnson,,84-91,,
0:51.0,J. Johnson misses 3-pt shot from 23 ft,,84-91,,
0:49.0,,,84-91,,Defensive rebound by A. Crabbe
0:49.0,Personal foul by M. Teletovic (drawn by M. Leonard),,84-91,,
0:42.0,Personal take foul by J. Jack (drawn by D. Lillard),,84-91,,
0:42.0,,,84-92,1,D. Lillard makes free throw 1 of 2
0:42.0,,,84-93,1,D. Lillard makes free throw 2 of 2
0:42.0,Brooklyn full timeout,,84-93,,
0:37.0,J. Johnson misses 2-pt shot from 1 ft,,84-93,,
0:36.0,Offensive rebound by J. Johnson,,84-93,,
0:32.0,J. Jack misses 3-pt shot from 25 ft,,84-93,,
0:30.0,,,84-93,,Defensive rebound by D. Lillard
0:22.0,,,84-93,,Turnover by D. Lillard (lost ball)
0:19.0,D. Williams makes 3-pt shot from 24 ft (assist by M. Teletovic),3,87-93,,
0:18.0,,,87-93,,Portland full timeout
0:18.0,,,87-93,,Portland full timeout
0:18.0,,,87-93,,S. Blake enters the game for M. Leonard
0:17.0,Personal foul by M. Teletovic (drawn by D. Lillard),,87-93,,
0:17.0,,,87-94,1,D. Lillard makes free throw 1 of 2
0:17.0,,,87-95,1,D. Lillard makes free throw 2 of 2
0:09.0,K. Garnett misses 3-pt shot from 24 ft,,87-95,,
0:08.0,,,87-95,,Defensive rebound by A. Crabbe
0:07.0,Personal take foul by K. Garnett (drawn by A. Crabbe),,87-95,,
0:07.0,,,87-96,1,S. Blake makes free throw 1 of 2
0:07.0,M. Plumlee enters the game for J. Johnson,,87-96,,
0:07.0,J. Gutierrez enters the game for K. Garnett,,87-96,,
0:07.0,C. Jefferson enters the game for D. Williams,,87-96,,
0:07.0,,,87-97,1,S. Blake makes free throw 2 of 2
0:02.0,J. Jack misses 2-pt shot from 7 ft,,87-97,,
0:01.0,,,87-97,,Defensive rebound by R. Lopez
0:00.0,End of 4th quarter,,,,End of 4th quarter
