time,LA Clippers,pts.away,score,pts.home,Atlanta
5:15.0,J. Crawford misses 2-pt shot from 2 ft,,94-100,,
5:13.0,Offensive rebound by D. Jordan,,94-100,,
5:13.0,D. Jordan makes 2-pt shot at rim,2,96-100,,
4:48.0,,,96-100,,A. Horford misses 2-pt shot from 18 ft
4:47.0,Defensive rebound by B. Griffin,,96-100,,
4:28.0,B. Griffin misses 2-pt shot from 20 ft,,96-100,,
4:27.0,,,96-100,,Defensive rebound by D. Carroll
4:15.0,,,96-102,2,D. Carroll makes 2-pt shot from 2 ft (assist by P. Millsap)
3:46.0,B. Griffin misses 2-pt shot from 1 ft,,96-102,,
3:45.0,,,96-102,,Defensive rebound by D. Carroll
3:38.0,,,96-102,,K. Korver misses 3-pt shot from 24 ft
3:37.0,Defensive rebound by D. Jordan,,96-102,,
3:18.0,C. Paul misses 2-pt shot from 9 ft,,96-102,,
3:18.0,,,96-102,,Defensive rebound by K. Korver
3:18.0,Personal foul by C. Paul (drawn by K. Korver),,96-102,,
3:08.0,,,96-102,,K. Korver misses 2-pt shot from 22 ft
3:08.0,Defensive rebound by Team,,96-102,,
3:08.0,,,96-102,,Loose ball foul by P. Millsap (drawn by B. Griffin)
3:08.0,LA Clippers full timeout,,96-102,,
3:08.0,,,96-102,,T. Sefolosha enters the game for K. Korver
2:48.0,C. Paul misses 3-pt shot from 24 ft,,96-102,,
2:47.0,Offensive rebound by C. Paul,,96-102,,
2:42.0,B. Griffin makes 2-pt shot from 2 ft (assist by J. Crawford),2,98-102,,
2:24.0,,,98-102,,Shooting foul by D. Jordan (drawn by A. Horford)
2:24.0,,,98-103,1,A. Horford makes free throw 1 of 2
2:24.0,,,98-103,,K. Korver enters the game for T. Sefolosha
2:24.0,,,98-104,1,A. Horford makes free throw 2 of 2
2:24.0,,,98-104,,Away from play foul by K. Korver (drawn by D. Jordan)
2:24.0,D. Jordan misses free throw 1 of 2,,98-104,,
2:24.0,Offensive rebound by Team,,98-104,,
2:24.0,D. Jordan misses free throw 2 of 2,,98-104,,
2:23.0,Offensive rebound by J. Crawford,,98-104,,
2:14.0,J. Crawford misses 2-pt shot from 12 ft,,98-104,,
2:13.0,Offensive rebound by D. Jordan,,98-104,,
2:10.0,J. Crawford misses 3-pt shot from 24 ft,,98-104,,
2:09.0,,,98-104,,Defensive rebound by J. Teague
2:04.0,,,98-104,,P. Millsap misses 2-pt shot at rim (block by B. Griffin)
2:02.0,Defensive rebound by J. Crawford,,98-104,,
1:51.0,Jump ball: B. Griffin vs. K. Korver (C. Paul gains possession),,,,Jump ball: B. Griffin vs. K. Korver (C. Paul gains possession)
1:45.0,C. Paul misses 2-pt shot from 21 ft,,98-104,,
1:44.0,Offensive rebound by D. Jordan,,98-104,,
1:41.0,J. Crawford makes 2-pt shot from 13 ft (assist by B. Griffin),2,100-104,,
1:16.0,,,100-104,,A. Horford misses 2-pt shot from 21 ft
1:14.0,,,100-104,,Offensive rebound by K. Korver
0:54.0,,,100-104,,A. Horford misses 2-pt shot from 19 ft
0:52.0,Defensive rebound by C. Paul,,100-104,,
0:44.0,Turnover by C. Paul (step out of bounds),,100-104,,
0:22.0,,,100-104,,A. Horford misses 3-pt shot from 22 ft
0:21.0,Defensive rebound by J. Crawford,,100-104,,
0:21.0,LA Clippers full timeout,,100-104,,
0:21.0,,,100-104,,K. Bazemore enters the game for K. Korver
0:21.0,,,100-104,,T. Sefolosha enters the game for J. Teague
0:19.0,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul),2,102-104,,
0:19.0,,,102-104,,Atlanta full timeout
0:19.0,,,102-104,,J. Teague enters the game for T. Sefolosha
0:19.0,,,102-104,,K. Korver enters the game for K. Bazemore
0:19.0,M. Barnes enters the game for J. Crawford,,102-104,,
0:19.0,Personal foul by M. Barnes (drawn by K. Korver),,102-104,,
0:19.0,,,102-105,1,K. Korver makes free throw 1 of 2
0:19.0,,,102-105,,T. Sefolosha enters the game for J. Teague
0:19.0,,,102-106,1,K. Korver makes free throw 2 of 2
0:19.0,LA Clippers full timeout,,102-106,,
0:19.0,J. Crawford enters the game for D. Jordan,,102-106,,
0:15.0,Shooting foul by A. Horford (drawn by J. Redick),,102-106,,
0:15.0,J. Redick misses free throw 1 of 3,,102-106,,
0:15.0,Offensive rebound by Team,,102-106,,
0:15.0,J. Redick makes free throw 2 of 3,1,103-106,,
0:15.0,,,103-106,,J. Teague enters the game for T. Sefolosha
0:15.0,D. Jordan enters the game for J. Crawford,,103-106,,
0:15.0,J. Redick makes free throw 3 of 3,1,104-106,,
0:10.0,J. Crawford enters the game for D. Jordan,,104-106,,
0:10.0,Jump ball: M. Barnes vs. K. Korver (P. Millsap gains possession),,,,Jump ball: M. Barnes vs. K. Korver (P. Millsap gains possession)
0:06.0,Personal take foul by B. Griffin (drawn by A. Horford),,104-106,,
0:06.0,,,104-106,,A. Horford misses free throw 1 of 2
0:06.0,,,104-106,,Offensive rebound by Team
0:06.0,,,104-106,,T. Sefolosha enters the game for J. Teague
0:06.0,D. Jordan enters the game for J. Crawford,,104-106,,
0:06.0,,,104-107,1,A. Horford makes free throw 2 of 2
0:06.0,LA Clippers full timeout,,104-107,,
0:06.0,,,104-107,,K. Bazemore enters the game for K. Korver
0:06.0,J. Crawford enters the game for M. Barnes,,104-107,,
0:00.0,B. Griffin misses 3-pt shot from 23 ft,,104-107,,
0:00.0,Offensive rebound by Team,,104-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
