time,Atlanta,pts.away,score,pts.home,Golden State
6:59.0,E. Brand enters the game for D. Carroll,,75-97,,
6:51.0,,,75-99,2,L. Barbosa makes 2-pt shot from 22 ft (assist by A. Iguodala)
6:33.0,D. Schroder misses 3-pt shot from 24 ft,,75-99,,
6:33.0,Offensive rebound by Team,,75-99,,
6:33.0,,,75-99,,Loose ball foul by H. Barnes (drawn by P. Antic)
6:25.0,S. Mack misses 2-pt shot from 14 ft,,75-99,,
6:24.0,,,75-99,,Defensive rebound by S. Livingston
6:15.0,,,75-101,2,H. Barnes makes 2-pt shot from 13 ft (assist by S. Livingston)
6:15.0,,,75-101,,Shooting foul by P. Antic (drawn by H. Barnes)
6:15.0,,,75-101,,A. Bogut enters the game for F. Ezeli
6:15.0,,,75-102,1,H. Barnes makes free throw 1 of 1
6:00.0,Shooting foul by A. Bogut (drawn by D. Schroder),,75-102,,
6:00.0,D. Schroder misses free throw 1 of 2,,75-102,,
6:00.0,Offensive rebound by Team,,75-102,,
6:00.0,D. Schroder makes free throw 2 of 2,1,76-102,,
5:45.0,,,76-105,3,H. Barnes makes 3-pt shot from 25 ft (assist by S. Livingston)
5:32.0,Shooting foul by L. Barbosa (drawn by J. Jenkins),,76-105,,
5:32.0,Official timeout,,76-105,,
5:32.0,M. Muscala enters the game for D. Schroder,,76-105,,
5:32.0,A. Daye enters the game for E. Brand,,76-105,,
5:32.0,,,76-105,,M. Speights enters the game for A. Bogut
5:32.0,J. Jenkins makes free throw 1 of 2,1,77-105,,
5:32.0,J. Jenkins makes free throw 2 of 2,1,78-105,,
5:18.0,,,78-105,,Turnover by S. Livingston (traveling)
5:04.0,M. Muscala misses 2-pt shot from 17 ft,,78-105,,
5:02.0,Offensive rebound by A. Daye,,78-105,,
4:49.0,M. Muscala makes 2-pt shot from 3 ft (assist by S. Mack),2,80-105,,
4:30.0,,,80-105,,J. Holiday enters the game for A. Iguodala
4:24.0,,,80-105,,M. Speights misses 2-pt shot from 16 ft
4:23.0,Defensive rebound by A. Daye,,80-105,,
4:09.0,J. Jenkins makes 2-pt shot from 2 ft (assist by A. Daye),2,82-105,,
3:53.0,,,82-105,,L. Barbosa misses 3-pt shot from 25 ft
3:52.0,Defensive rebound by M. Muscala,,82-105,,
3:45.0,Turnover by S. Mack (bad pass; steal by J. Holiday),,82-105,,
3:39.0,,,82-105,,L. Barbosa misses 2-pt shot from 2 ft
3:38.0,Defensive rebound by P. Antic,,82-105,,
3:27.0,A. Daye makes 3-pt shot from 23 ft (assist by J. Jenkins),3,85-105,,
3:17.0,,,85-105,,Golden State full timeout
3:09.0,,,85-107,2,M. Speights makes 2-pt shot from 2 ft (assist by J. Holiday)
2:45.0,S. Mack misses 3-pt shot from 25 ft,,85-107,,
2:43.0,,,85-107,,Defensive rebound by J. Holiday
2:33.0,,,85-107,,M. Speights misses 2-pt shot from 15 ft
2:32.0,Defensive rebound by M. Muscala,,85-107,,
2:23.0,S. Mack makes 2-pt shot from 13 ft,2,87-107,,
2:04.0,Personal foul by P. Antic (drawn by H. Barnes),,87-107,,
2:04.0,,,87-107,,J. McAdoo enters the game for H. Barnes
1:56.0,,,87-107,,L. Barbosa misses 2-pt shot from 12 ft
1:55.0,Defensive rebound by P. Antic,,87-107,,
1:50.0,M. Muscala makes 2-pt shot from 1 ft (assist by S. Mack),2,89-107,,
1:50.0,Shooting foul by J. McAdoo (drawn by M. Muscala),,89-107,,
1:50.0,M. Muscala makes free throw 1 of 1,1,90-107,,
1:39.0,,,90-109,2,S. Livingston makes 2-pt shot from 10 ft (assist by M. Speights)
1:25.0,A. Daye misses 2-pt shot from 15 ft,,90-109,,
1:24.0,,,90-109,,Defensive rebound by L. Barbosa
1:14.0,,,90-109,,Shooting foul by A. Daye (drawn by J. Holiday)
1:14.0,,,90-110,1,J. Holiday makes free throw 1 of 2
1:14.0,,,90-111,1,J. Holiday makes free throw 2 of 2
0:59.0,J. Jenkins makes 3-pt shot from 25 ft (assist by M. Muscala),3,93-111,,
0:48.0,,,93-114,3,L. Barbosa makes 3-pt shot from 25 ft (assist by J. Holiday)
0:36.0,P. Antic misses 2-pt shot from 3 ft,,93-114,,
0:35.0,,,93-114,,Defensive rebound by M. Speights
0:27.0,,,93-114,,J. McAdoo misses 2-pt shot from 3 ft
0:24.0,,,93-114,,Offensive rebound by J. McAdoo
0:07.0,,,93-114,,J. McAdoo misses 2-pt shot from 2 ft
0:06.0,,,93-114,,Offensive rebound by J. McAdoo
0:04.0,,,93-114,,Turnover by J. McAdoo (lost ball; steal by S. Mack)
0:01.0,S. Mack makes 2-pt shot at rim,2,95-114,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
