time,Utah,pts.away,score,pts.home,New York
0:54.0,,,94-91,,C. Anthony misses 2-pt shot from 2 ft (block by D. Favors)
0:53.0,,,94-91,,Offensive rebound by J. Smith
0:45.0,,,94-93,2,C. Anthony makes 2-pt shot at rim
0:33.0,G. Hayward makes 2-pt shot from 17 ft,2,96-93,,
0:31.0,,,96-93,,New York full timeout
0:24.0,,,96-93,,Shooting foul by G. Hayward (drawn by C. Anthony)
0:24.0,,,96-94,1,C. Anthony makes free throw 1 of 2
0:24.0,R. Gobert enters the game for T. Burke,,96-94,,
0:24.0,,,96-95,1,C. Anthony makes free throw 2 of 2
0:24.0,Utah full timeout,,96-95,,
0:24.0,T. Burke enters the game for R. Gobert,,96-95,,
0:24.0,,,96-95,,C. Early enters the game for J. Smith
0:24.0,,,96-95,,Q. Acy enters the game for J. Smith
0:23.0,,,96-95,,Personal foul by C. Anthony (drawn by D. Favors)
0:23.0,D. Favors makes free throw 1 of 2,1,97-95,,
0:23.0,,,97-95,,S. Dalembert enters the game for C. Early
0:23.0,,,97-95,,J. Smith enters the game for C. Anthony
0:23.0,D. Favors makes free throw 2 of 2,1,98-95,,
0:23.0,,,98-95,,New York full timeout
0:23.0,,,98-95,,J. Smith enters the game for S. Dalembert
0:23.0,,,98-95,,C. Anthony enters the game for Q. Acy
0:17.0,,,98-97,2,C. Anthony makes 2-pt shot from 1 ft
0:17.0,Utah full timeout,,98-97,,
0:17.0,,,98-97,,Q. Acy enters the game for C. Anthony
0:17.0,,,98-97,,T. Wear enters the game for J. Smith
0:17.0,,,98-97,,C. Early enters the game for J. Smith
0:16.0,,,98-97,,Personal take foul by C. Early (drawn by G. Hayward)
0:16.0,G. Hayward makes free throw 1 of 2,1,99-97,,
0:16.0,,,99-97,,C. Anthony enters the game for C. Early
0:16.0,,,99-97,,J. Smith enters the game for Q. Acy
0:16.0,G. Hayward makes free throw 2 of 2,1,100-97,,
0:02.0,,,100-100,3,C. Anthony makes 3-pt shot from 25 ft
0:02.0,Utah full timeout,,100-100,,
0:02.0,,,100-100,,Q. Acy enters the game for S. Larkin
0:02.0,,,100-100,,S. Dalembert enters the game for T. Wear
0:00.0,T. Burke makes 2-pt shot from 18 ft,2,102-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
