time,New York,pts.away,score,pts.home,Golden State
4:02.0,,,87-123,,Loose ball foul by L. Barbosa (drawn by Q. Acy)
3:45.0,T. Wear makes 2-pt shot from 14 ft (assist by C. Aldrich),2,89-123,,
3:27.0,Personal foul by Q. Acy (drawn by L. Barbosa),,89-123,,
3:27.0,,,89-124,1,L. Barbosa makes free throw 1 of 2
3:27.0,,,89-125,1,L. Barbosa makes free throw 2 of 2
3:13.0,Turnover by C. Early (bad pass; steal by J. Holiday),,89-125,,
3:00.0,,,89-125,,J. Holiday misses 2-pt shot from 5 ft (block by C. Aldrich)
2:59.0,,,89-125,,Offensive rebound by Team
2:59.0,,,89-125,,Golden State full timeout
2:51.0,,,89-125,,L. Barbosa misses 3-pt shot from 25 ft
2:48.0,Defensive rebound by C. Aldrich,,89-125,,
2:33.0,Q. Acy misses 2-pt shot from 2 ft,,89-125,,
2:31.0,Offensive rebound by T. Wear,,89-125,,
2:31.0,T. Wear misses 2-pt shot at rim,,89-125,,
2:29.0,,,89-125,,Defensive rebound by B. Rush
2:14.0,,,89-125,,J. Holiday misses 3-pt shot from 26 ft
2:13.0,Defensive rebound by Q. Acy,,89-125,,
2:01.0,Q. Acy makes 3-pt shot from 25 ft (assist by S. Larkin),3,92-125,,
1:38.0,,,92-125,,F. Ezeli misses 2-pt shot from 2 ft (block by T. Wear)
1:38.0,Defensive rebound by Team,,92-125,,
1:38.0,Jump ball: F. Ezeli vs. T. Wear (C. Early gains possession),,,,Jump ball: F. Ezeli vs. T. Wear (C. Early gains possession)
1:28.0,C. Early makes 2-pt shot at rim,2,94-125,,
1:14.0,,,94-125,,J. Holiday misses 3-pt shot from 23 ft
1:13.0,,,94-125,,Offensive rebound by L. Barbosa
1:07.0,,,94-125,,D. Lee misses 2-pt shot from 12 ft
1:06.0,Defensive rebound by T. Wear,,94-125,,
0:54.0,C. Early misses 3-pt shot from 26 ft,,94-125,,
0:52.0,,,94-125,,Defensive rebound by B. Rush
0:41.0,,,94-125,,F. Ezeli misses 2-pt shot from 14 ft
0:39.0,Defensive rebound by C. Aldrich,,94-125,,
0:21.0,C. Early misses 2-pt shot from 21 ft (block by J. Holiday),,94-125,,
0:20.0,Offensive rebound by Team,,94-125,,
0:17.0,T. Wear misses 2-pt shot from 16 ft (block by B. Rush),,94-125,,
0:15.0,,,94-125,,Defensive rebound by J. Holiday
0:00.0,End of 4th quarter,,,,End of 4th quarter
