time,Brooklyn,pts.away,score,pts.home,Memphis
2:32.0,B. Lopez enters the game for J. Jordan,,77-90,,
2:32.0,A. Anderson makes free throw 1 of 2,1,78-90,,
2:32.0,A. Anderson misses free throw 2 of 2,,78-90,,
2:31.0,,,78-90,,Defensive rebound by K. Koufos
2:30.0,,,78-90,,Turnover by K. Koufos (step out of bounds)
2:23.0,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Williams),2,80-90,,
1:59.0,,,80-90,,M. Conley misses 3-pt shot from 25 ft
1:58.0,Defensive rebound by M. Plumlee,,80-90,,
1:56.0,,,80-90,,Personal foul by K. Koufos (drawn by M. Plumlee)
1:56.0,,,80-90,,M. Gasol enters the game for K. Koufos
1:44.0,Shooting foul by M. Gasol (drawn by A. Anderson),,80-90,,
1:44.0,A. Anderson makes free throw 1 of 2,1,81-90,,
1:44.0,,,81-90,,C. Lee enters the game for T. Allen
1:44.0,A. Anderson makes free throw 2 of 2,1,82-90,,
1:27.0,Personal foul by B. Lopez (drawn by M. Gasol),,82-90,,
1:27.0,,,82-90,,M. Gasol misses free throw 1 of 2
1:27.0,,,82-90,,Offensive rebound by Team
1:27.0,,,82-90,,T. Allen enters the game for C. Lee
1:27.0,,,82-91,1,M. Gasol makes free throw 2 of 2
1:17.0,D. Williams makes 2-pt shot at rim,2,84-91,,
0:52.0,,,84-91,,M. Conley misses 2-pt shot from 12 ft
0:51.0,,,84-91,,Offensive rebound by M. Gasol
0:36.0,,,84-93,2,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Conley)
0:36.0,Brooklyn full timeout,,84-93,,
0:26.0,M. Plumlee makes 2-pt shot from 11 ft (assist by J. Johnson),2,86-93,,
0:19.0,Personal take foul by J. Johnson (drawn by J. Green),,86-93,,
0:19.0,,,86-94,1,J. Green makes free throw 1 of 2
0:19.0,,,86-95,1,J. Green makes free throw 2 of 2
0:19.0,Brooklyn full timeout,,86-95,,
0:19.0,B. Bogdanovic enters the game for M. Plumlee,,86-95,,
0:14.0,B. Lopez misses 3-pt shot from 25 ft,,86-95,,
0:13.0,,,86-95,,Defensive rebound by Z. Randolph
0:00.0,End of 4th quarter,,,,End of 4th quarter
