time,Cleveland,pts.away,score,pts.home,San Antonio
0:07.0,,,107-110,,T. Parker misses 2-pt shot from 18 ft
0:06.0,,,107-110,,Offensive rebound by K. Leonard
0:04.0,Personal foul by J. Jones (drawn by K. Leonard),,107-110,,
0:04.0,,,107-110,,K. Leonard misses free throw 1 of 2
0:04.0,,,107-110,,Offensive rebound by Team
0:04.0,T. Mozgov enters the game for J. Jones,,107-110,,
0:04.0,,,107-110,,T. Splitter enters the game for M. Belinelli
0:04.0,,,107-110,,K. Leonard misses free throw 2 of 2
0:04.0,Defensive rebound by K. Irving,,107-110,,
0:03.0,Cleveland full timeout,,107-110,,
0:03.0,J. Jones enters the game for T. Mozgov,,107-110,,
0:03.0,,,107-110,,M. Ginobili enters the game for T. Duncan
0:03.0,,,107-110,,C. Joseph enters the game for T. Splitter
0:00.0,K. Irving makes 3-pt shot from 25 ft (assist by L. James),3,110-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:58.0,Jump ball: T. Duncan vs. T. Thompson (T. Parker gains possession),,,,Jump ball: T. Duncan vs. T. Thompson (T. Parker gains possession)
4:42.0,,,110-112,2,K. Leonard makes 2-pt shot from 8 ft
4:28.0,,,110-112,,Personal foul by K. Leonard (drawn by I. Shumpert)
4:13.0,K. Irving misses 2-pt shot from 18 ft,,110-112,,
4:12.0,,,110-112,,Defensive rebound by T. Duncan
4:06.0,Violation by L. James (kicked ball),,110-112,,
3:53.0,,,110-112,,Shooting foul by J. Jones (drawn by B. Diaw)
3:53.0,,,110-112,,B. Diaw misses free throw 1 of 2
3:53.0,,,110-112,,Offensive rebound by Team
3:53.0,K. Love enters the game for J. Jones,,110-112,,
3:53.0,,,110-113,1,B. Diaw makes free throw 2 of 2
3:37.0,I. Shumpert misses 2-pt shot from 16 ft,,110-113,,
3:35.0,Offensive rebound by T. Thompson,,110-113,,
3:29.0,K. Irving makes 3-pt shot from 24 ft,3,113-113,,
3:06.0,,,113-113,,T. Duncan misses 2-pt shot from 6 ft
3:05.0,,,113-113,,Offensive rebound by Team
2:47.0,,,113-113,,T. Duncan misses 2-pt shot from 10 ft
2:45.0,Defensive rebound by Team,,113-113,,
2:34.0,K. Irving makes 2-pt shot from 12 ft,2,115-113,,
2:34.0,Shooting foul by T. Parker (drawn by K. Irving),,115-113,,
2:34.0,K. Irving makes free throw 1 of 1,1,116-113,,
2:18.0,,,116-116,3,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard)
1:54.0,L. James makes 3-pt shot from 24 ft (assist by K. Love),3,119-116,,
1:43.0,,,119-118,2,T. Parker makes 2-pt shot from 1 ft (assist by T. Duncan)
1:43.0,,,119-118,,Shooting foul by I. Shumpert (drawn by T. Parker)
1:43.0,,,119-118,,T. Parker misses free throw 1 of 1
1:42.0,Defensive rebound by K. Love,,119-118,,
1:20.0,K. Irving makes 3-pt shot from 24 ft (assist by L. James),3,122-118,,
1:04.0,,,122-120,2,T. Parker makes 2-pt shot from 17 ft
0:45.0,,,122-120,,Personal foul by K. Leonard (drawn by K. Irving)
0:32.0,L. James makes 3-pt shot from 25 ft,3,125-120,,
0:32.0,,,125-120,,San Antonio full timeout
0:32.0,,,125-120,,M. Belinelli enters the game for K. Leonard
0:32.0,J. Smith enters the game for K. Love,,125-120,,
0:23.0,,,125-120,,D. Green misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by Team,,125-120,,
0:19.0,,,125-120,,Personal take foul by B. Diaw (drawn by K. Irving)
0:19.0,K. Irving makes free throw 1 of 2,1,126-120,,
0:19.0,K. Irving makes free throw 2 of 2,1,127-120,,
0:19.0,,,127-120,,San Antonio full timeout
0:13.0,,,127-120,,M. Belinelli misses 3-pt shot from 24 ft
0:11.0,,,127-120,,Offensive rebound by B. Diaw
0:11.0,,,127-122,2,B. Diaw makes 2-pt shot from 1 ft
0:11.0,Cleveland full timeout,,127-122,,
0:11.0,K. Love enters the game for T. Thompson,,127-122,,
0:11.0,J. Jones enters the game for I. Shumpert,,127-122,,
0:11.0,,,127-122,,Personal take foul by D. Green (drawn by L. James)
0:11.0,L. James makes free throw 1 of 2,1,128-122,,
0:11.0,T. Thompson enters the game for K. Love,,128-122,,
0:11.0,I. Shumpert enters the game for J. Jones,,128-122,,
0:11.0,L. James misses free throw 2 of 2,,128-122,,
0:10.0,,,128-122,,Defensive rebound by T. Duncan
0:03.0,Personal foul by J. Smith (drawn by D. Green),,128-122,,
0:03.0,,,128-123,1,D. Green makes free throw 1 of 3
0:03.0,,,128-124,1,D. Green makes free throw 2 of 3
0:03.0,K. Love enters the game for I. Shumpert,,128-124,,
0:03.0,T. Mozgov enters the game for T. Thompson,,128-124,,
0:03.0,,,128-125,1,D. Green makes free throw 3 of 3
0:00.0,End of 1st overtime,,,,End of 1st overtime
