time,Indiana,pts.away,score,pts.home,New York
3:42.0,,,99-80,,Defensive rebound by Q. Acy
3:29.0,,,99-80,,J. Smith misses 2-pt shot from 11 ft
3:27.0,Defensive rebound by L. Scola,,99-80,,
3:19.0,Turnover by D. Sloan (lost ball; steal by Q. Acy),,99-80,,
3:11.0,,,99-80,,S. Larkin misses 3-pt shot from 24 ft
3:10.0,,,99-80,,Offensive rebound by Team
3:10.0,Loose ball foul by D. Rudez (drawn by J. Smith),,99-80,,
3:10.0,,,99-80,,C. Aldrich enters the game for J. Smith
3:03.0,,,99-80,,Q. Acy misses 2-pt shot from 13 ft
3:01.0,Defensive rebound by L. Scola,,99-80,,
2:51.0,Offensive foul by S. Hill,,99-80,,
2:51.0,Turnover by S. Hill (offensive foul),,99-80,,
2:51.0,Official timeout,,99-80,,
2:39.0,,,99-80,,C. Aldrich misses 2-pt shot from 5 ft
2:37.0,Defensive rebound by S. Hill,,99-80,,
2:21.0,L. Scola makes 2-pt shot from 18 ft (assist by D. Sloan),2,101-80,,
2:10.0,,,101-80,,T. Hardaway misses 2-pt shot from 4 ft
2:08.0,Defensive rebound by L. Scola,,101-80,,
2:03.0,D. Rudez misses 3-pt shot from 24 ft,,101-80,,
2:02.0,,,101-80,,Defensive rebound by Team
2:02.0,Loose ball foul by L. Scola (drawn by C. Aldrich),,101-80,,
2:02.0,,,101-81,1,C. Aldrich makes free throw 1 of 2
2:02.0,,,101-82,1,C. Aldrich makes free throw 2 of 2
1:44.0,D. Sloan misses 3-pt shot from 24 ft,,101-82,,
1:43.0,,,101-82,,Defensive rebound by Team
1:29.0,,,101-82,,T. Hardaway misses 3-pt shot from 26 ft
1:27.0,,,101-82,,Offensive rebound by Q. Acy
1:21.0,,,101-82,,S. Larkin misses 2-pt shot from 2 ft
1:19.0,Defensive rebound by L. Scola,,101-82,,
1:14.0,Turnover by D. Sloan (bad pass; steal by S. Larkin),,101-82,,
1:09.0,,,101-82,,Turnover by T. Hardaway (lost ball)
0:53.0,D. Rudez misses 3-pt shot from 25 ft,,101-82,,
0:51.0,,,101-82,,Defensive rebound by Team
0:37.0,,,101-82,,Shooting foul by D. Rudez (drawn by T. Hardaway)
0:37.0,,,101-83,1,T. Hardaway makes free throw 1 of 2
0:37.0,Violation by D. Rudez (lane),,101-83,,
0:37.0,,,101-84,1,T. Hardaway makes free throw 2 of 2
0:23.0,,,101-84,,Personal foul by S. Larkin (drawn by D. Sloan)
0:23.0,D. Sloan misses free throw 1 of 2,,101-84,,
0:23.0,Offensive rebound by Team,,101-84,,
0:23.0,D. Sloan makes free throw 2 of 2,1,102-84,,
0:11.0,,,102-86,2,Q. Acy makes 2-pt shot from 8 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
