time,Philadelphia,pts.away,score,pts.home,Washington
3:01.0,I. Smith makes 2-pt shot from 5 ft,2,87-106,,
2:45.0,,,87-106,,Turnover by J. Wall (lost ball; steal by I. Smith)
2:41.0,I. Smith misses 2-pt shot from 3 ft,,87-106,,
2:39.0,Offensive rebound by T. Robinson,,87-106,,
2:38.0,T. Robinson makes 2-pt shot at rim,2,89-106,,
2:12.0,,,89-106,,O. Porter misses 3-pt shot from 23 ft
2:10.0,,,89-106,,Offensive rebound by M. Gortat
1:52.0,,,89-106,,J. Wall misses 2-pt shot from 5 ft
1:51.0,Defensive rebound by R. Covington,,89-106,,
1:41.0,I. Smith makes 2-pt shot from 3 ft (assist by R. Covington),2,91-106,,
1:31.0,,,91-106,,Turnover by O. Porter (bad pass; steal by I. Smith)
1:24.0,,,91-106,,W. Bynum enters the game for J. Wall
1:24.0,,,91-106,,D. Blair enters the game for M. Gortat
1:24.0,,,91-106,,M. Webster enters the game for B. Beal
1:11.0,T. Robinson misses 2-pt shot from 2 ft (block by K. Humphries),,91-106,,
1:10.0,,,91-106,,Defensive rebound by D. Blair
0:54.0,,,91-106,,K. Humphries misses 2-pt shot from 3 ft
0:53.0,Defensive rebound by T. Robinson,,91-106,,
0:47.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,93-106,,
0:31.0,,,93-106,,Turnover by W. Bynum (lost ball; steal by N. Noel)
0:25.0,H. Thompson misses 3-pt shot from 26 ft,,93-106,,
0:24.0,,,93-106,,Defensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
