time,Miami,pts.away,score,pts.home,Houston
2:26.0,,,77-113,,K. Papanikolaou misses 2-pt shot from 3 ft
2:25.0,,,77-113,,Offensive rebound by K. Papanikolaou
2:20.0,,,77-113,,C. Brewer misses 3-pt shot from 24 ft
2:19.0,,,77-113,,Offensive rebound by K. Papanikolaou
2:16.0,,,77-113,,J. Terry misses 3-pt shot from 25 ft
2:15.0,Defensive rebound by H. Whiteside,,77-113,,
1:56.0,Turnover by J. Ennis (bad pass; steal by K. Papanikolaou),,77-113,,
1:41.0,,,77-113,,J. Dorsey misses 2-pt shot at rim (block by H. Whiteside)
1:40.0,Defensive rebound by U. Haslem,,77-113,,
1:20.0,Turnover by H. Whiteside (bad pass),,77-113,,
1:11.0,,,77-113,,K. Papanikolaou misses 3-pt shot from 24 ft
1:10.0,Defensive rebound by A. Dawkins,,77-113,,
1:01.0,H. Whiteside makes 2-pt shot at rim (assist by J. Ennis),2,79-113,,
0:45.0,,,79-113,,K. Papanikolaou misses 2-pt shot from 5 ft
0:43.0,,,79-113,,Offensive rebound by J. Dorsey
0:27.0,,,79-113,,Shooting foul by N. Cole (drawn by I. Canaan)
0:27.0,,,79-113,,I. Canaan misses free throw 1 of 3
0:27.0,,,79-113,,Offensive rebound by Team
0:27.0,,,79-114,1,I. Canaan makes free throw 2 of 3
0:27.0,,,79-115,1,I. Canaan makes free throw 3 of 3
0:12.0,J. Ennis misses 3-pt shot from 28 ft,,79-115,,
0:11.0,,,79-115,,Defensive rebound by I. Canaan
0:00.0,End of 4th quarter,,,,End of 4th quarter
