time,Dallas,pts.away,score,pts.home,Atlanta
2:03.0,,,81-100,,Personal take foul by S. Mack (drawn by R. Felton)
2:03.0,,,81-100,,P. Antic enters the game for K. Bazemore
1:43.0,R. Felton misses 2-pt shot from 18 ft,,81-100,,
1:43.0,Offensive rebound by D. Powell,,81-100,,
1:43.0,D. Powell makes 2-pt shot at rim,2,83-100,,
1:26.0,Personal foul by A. Aminu (drawn by J. Jenkins),,83-100,,
1:26.0,,,83-101,1,J. Jenkins makes free throw 1 of 2
1:26.0,,,83-102,1,J. Jenkins makes free throw 2 of 2
1:02.0,A. Aminu misses 3-pt shot from 24 ft,,83-102,,
1:01.0,,,83-102,,Defensive rebound by J. Jenkins
0:45.0,,,83-102,,P. Antic misses 3-pt shot from 25 ft
0:42.0,Defensive rebound by D. Powell,,83-102,,
0:34.0,Shooting foul by P. Antic (drawn by R. Felton),,83-102,,
0:34.0,R. Felton makes free throw 1 of 2,1,84-102,,
0:34.0,R. Felton makes free throw 2 of 2,1,85-102,,
0:13.0,,,85-104,2,S. Mack makes 2-pt shot from 2 ft
0:06.0,Shooting foul by P. Antic (drawn by G. Smith),,85-104,,
0:06.0,G. Smith makes 2-pt shot from 2 ft (assist by R. Felton),2,87-104,,
0:06.0,G. Smith misses free throw 1 of 1,,87-104,,
0:05.0,Offensive rebound by B. James,,87-104,,
0:00.0,R. Felton misses 3-pt shot from 24 ft,,87-104,,
0:00.0,Offensive rebound by Team,,87-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
