time,Denver,pts.away,score,pts.home,Philadelphia
8:09.0,,,82-93,1,R. Covington makes free throw 1 of 2
8:09.0,,,82-94,1,R. Covington makes free throw 2 of 2
8:01.0,Turnover by J. Nelson (bad pass; steal by M. Carter-Williams),,82-94,,
7:58.0,,,82-94,,Shooting foul by D. Gallinari (drawn by R. Covington)
7:58.0,,,82-96,2,R. Covington makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
7:58.0,,,82-97,1,R. Covington makes free throw 1 of 1
7:44.0,Turnover by J. Nelson (bad pass; steal by R. Covington),,82-97,,
7:38.0,,,82-97,,R. Covington misses 2-pt shot from 5 ft
7:36.0,Defensive rebound by J. Nelson,,82-97,,
7:29.0,D. Gallinari misses 3-pt shot from 24 ft,,82-97,,
7:28.0,,,82-97,,Defensive rebound by N. Noel
7:08.0,T. Lawson enters the game for A. Gee,,82-97,,
7:08.0,A. Afflalo enters the game for J. Nelson,,82-97,,
7:08.0,W. Chandler enters the game for G. Harris,,82-97,,
7:08.0,,,82-97,,Philadelphia full timeout
7:08.0,D. Arthur enters the game for J. Hickson,,82-97,,
7:06.0,,,82-97,,R. Covington misses 2-pt shot from 20 ft
7:04.0,Defensive rebound by A. Afflalo,,82-97,,
6:51.0,T. Lawson misses 2-pt shot from 2 ft (block by N. Noel),,82-97,,
6:49.0,,,82-97,,Defensive rebound by M. Carter-Williams
6:30.0,,,82-97,,M. Carter-Williams misses 2-pt shot from 5 ft
6:28.0,Defensive rebound by W. Chandler,,82-97,,
6:22.0,,,82-97,,Personal foul by R. Covington (drawn by T. Lawson)
6:07.0,Turnover by A. Afflalo (lost ball; steal by N. Noel),,82-97,,
6:03.0,,,82-97,,Turnover by H. Thompson (lost ball)
5:48.0,W. Chandler misses 2-pt shot from 7 ft,,82-97,,
5:46.0,,,82-97,,Defensive rebound by N. Noel
5:38.0,Personal foul by A. Afflalo (drawn by N. Noel),,82-97,,
5:29.0,,,82-99,2,M. Carter-Williams makes 2-pt shot from 18 ft (assist by R. Covington)
5:10.0,Shooting foul by H. Thompson (drawn by D. Gallinari),,82-99,,
5:10.0,D. Gallinari makes free throw 1 of 2,1,83-99,,
5:10.0,D. Gallinari makes free throw 2 of 2,1,84-99,,
4:57.0,,,84-99,,R. Covington misses 3-pt shot from 25 ft
4:56.0,Defensive rebound by W. Chandler,,84-99,,
4:41.0,G. Harris enters the game for D. Arthur,,84-99,,
4:34.0,D. Gallinari makes 3-pt shot from 25 ft,3,87-99,,
4:21.0,,,87-99,,Turnover by R. Covington (bad pass)
4:09.0,W. Chandler makes 2-pt shot at rim (assist by G. Harris),2,89-99,,
3:44.0,,,89-99,,Turnover by M. Carter-Williams (lost ball; steal by D. Gallinari)
3:37.0,Turnover by D. Gallinari (lost ball; steal by L. Mbah a Moute),,89-99,,
3:26.0,Personal foul by G. Harris (drawn by M. Carter-Williams),,89-99,,
3:26.0,Denver full timeout,,89-99,,
3:26.0,,,89-99,,J. Grant enters the game for N. Noel
3:19.0,,,89-99,,H. Thompson misses 2-pt shot from 20 ft
3:18.0,,,89-99,,Offensive rebound by Team
3:01.0,,,89-99,,J. Grant misses 3-pt shot from 26 ft
3:00.0,Defensive rebound by D. Gallinari,,89-99,,
2:52.0,Turnover by A. Afflalo (lost ball; steal by R. Covington),,89-99,,
2:49.0,J. Nelson enters the game for A. Afflalo,,89-99,,
2:49.0,,,89-100,1,J. Grant makes flagrant free throw 1 of 2
2:49.0,,,89-101,1,J. Grant makes flagrant free throw 2 of 2
2:38.0,,,89-101,,M. Carter-Williams misses 2-pt shot from 19 ft
2:37.0,Defensive rebound by W. Chandler,,89-101,,
2:28.0,J. Nelson misses 3-pt shot from 24 ft,,89-101,,
2:26.0,,,89-101,,Defensive rebound by R. Covington
2:06.0,,,89-101,,M. Carter-Williams misses 3-pt shot from 26 ft
2:05.0,Defensive rebound by D. Gallinari,,89-101,,
1:58.0,D. Gallinari makes 2-pt shot from 1 ft,2,91-101,,
1:51.0,,,91-101,,M. Carter-Williams misses 2-pt shot from 5 ft
1:49.0,Defensive rebound by J. Nelson,,91-101,,
1:44.0,G. Harris misses 2-pt shot from 9 ft (block by H. Thompson),,91-101,,
1:44.0,Offensive rebound by Team,,91-101,,
1:44.0,Denver full timeout,,91-101,,
1:42.0,D. Gallinari makes 2-pt shot from 16 ft (assist by W. Chandler),2,93-101,,
1:25.0,,,93-101,,H. Thompson misses 2-pt shot from 20 ft
1:23.0,Defensive rebound by Team,,93-101,,
1:22.0,Denver full timeout,,93-101,,
1:18.0,J. Nelson misses 2-pt shot from 23 ft,,93-101,,
1:15.0,Offensive rebound by G. Harris,,93-101,,
1:05.0,W. Chandler misses 3-pt shot from 26 ft,,93-101,,
1:03.0,,,93-101,,Defensive rebound by L. Mbah a Moute
0:55.0,,,93-101,,Turnover by M. Carter-Williams (bad pass; steal by J. Nelson)
0:47.0,J. Nelson misses 2-pt shot from 3 ft,,93-101,,
0:45.0,,,93-101,,Defensive rebound by M. Carter-Williams
0:31.0,Personal foul by J. Nelson (drawn by M. Carter-Williams),,93-101,,
0:31.0,,,93-101,,M. Carter-Williams misses free throw 1 of 2
0:31.0,,,93-101,,Offensive rebound by Team
0:31.0,A. Gee enters the game for J. Nelson,,93-101,,
0:31.0,,,93-101,,J. Sampson enters the game for L. Mbah a Moute
0:31.0,,,93-101,,M. Carter-Williams misses free throw 2 of 2
0:31.0,Defensive rebound by W. Chandler,,93-101,,
0:26.0,T. Lawson makes 2-pt shot from 1 ft (assist by W. Chandler),2,95-101,,
0:26.0,,,95-101,,Philadelphia full timeout
0:26.0,,,95-101,,H. Sims enters the game for J. Grant
0:26.0,,,95-101,,L. Drew enters the game for J. Sampson
0:23.0,Personal foul by G. Harris (drawn by R. Covington),,95-101,,
0:23.0,,,95-102,1,R. Covington makes free throw 1 of 2
0:23.0,,,95-103,1,R. Covington makes free throw 2 of 2
0:23.0,Denver full timeout,,95-103,,
0:23.0,,,95-103,,J. Sampson enters the game for R. Covington
0:23.0,,,95-103,,J. Grant enters the game for H. Thompson
0:23.0,,,95-103,,K. McDaniels enters the game for H. Sims
0:23.0,,,95-103,,L. Mbah a Moute enters the game for L. Drew
0:13.0,W. Chandler makes 3-pt shot from 27 ft (assist by T. Lawson),3,98-103,,
0:11.0,Personal foul by T. Lawson (drawn by M. Carter-Williams),,98-103,,
0:11.0,,,98-104,1,M. Carter-Williams makes free throw 1 of 2
0:11.0,,,98-105,1,M. Carter-Williams makes free throw 2 of 2
0:06.0,G. Harris misses 3-pt shot from 28 ft,,98-105,,
0:04.0,,,98-105,,Defensive rebound by M. Carter-Williams
0:00.0,End of 4th quarter,,,,End of 4th quarter
