time,Milwaukee,pts.away,score,pts.home,Utah
3:20.0,M. Carter-Williams makes free throw 1 of 2,1,68-76,,
3:20.0,M. Carter-Williams makes free throw 2 of 2,1,69-76,,
3:05.0,,,69-76,,T. Burke misses 3-pt shot from 24 ft
3:04.0,,,69-76,,Offensive rebound by D. Favors
3:01.0,,,69-76,,Turnover by D. Favors (lost ball)
2:46.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,71-76,,
2:26.0,,,71-76,,Turnover by R. Hood (bad pass; steal by J. Henson)
2:22.0,K. Middleton misses 2-pt shot from 1 ft,,71-76,,
2:20.0,,,71-76,,Defensive rebound by R. Hood
2:02.0,,,71-76,,Shooting foul by G. Antetokounmpo (drawn by G. Hayward)
2:02.0,Milwaukee full timeout,,71-76,,
2:02.0,,,71-77,1,G. Hayward makes free throw 1 of 2
2:02.0,,,71-78,1,G. Hayward makes free throw 2 of 2
1:49.0,K. Middleton misses 3-pt shot from 24 ft,,71-78,,
1:47.0,Offensive rebound by O. Mayo,,71-78,,
1:44.0,M. Carter-Williams makes 2-pt shot from 2 ft (assist by O. Mayo),2,73-78,,
1:21.0,,,73-78,,R. Hood misses 2-pt shot from 3 ft
1:20.0,Defensive rebound by O. Mayo,,73-78,,
1:14.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,75-78,,
0:58.0,,,75-78,,T. Burke misses 2-pt shot from 2 ft
0:57.0,,,75-78,,Offensive rebound by D. Favors
0:56.0,,,75-80,2,D. Favors makes 2-pt shot from 2 ft
0:56.0,Milwaukee full timeout,,75-80,,
0:56.0,E. Ilyasova enters the game for J. Henson,,75-80,,
0:44.0,M. Carter-Williams misses 2-pt shot from 4 ft (block by D. Favors),,75-80,,
0:43.0,,,75-80,,Defensive rebound by R. Hood
0:23.0,,,75-80,,Turnover by T. Booker (bad pass; steal by M. Carter-Williams)
0:14.0,O. Mayo misses 3-pt shot from 24 ft,,75-80,,
0:14.0,,,75-80,,Defensive rebound by D. Favors
0:09.0,Personal foul by G. Antetokounmpo (drawn by G. Hayward),,75-80,,
0:09.0,,,75-81,1,G. Hayward makes free throw 1 of 2
0:09.0,,,75-82,1,G. Hayward makes free throw 2 of 2
0:01.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,75-82,,
0:00.0,Offensive rebound by Team,,75-82,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
