time,Dallas,pts.away,score,pts.home,LA Clippers
4:10.0,,,87-109,,Turnover by J. Crawford (traveling)
4:01.0,R. Felton misses 2-pt shot from 3 ft (block by S. Hawes),,87-109,,
3:58.0,,,87-109,,Defensive rebound by S. Hawes
3:45.0,,,87-112,3,J. Crawford makes 3-pt shot from 25 ft (assist by S. Hawes)
3:35.0,D. Powell makes 3-pt shot from 25 ft (assist by R. Felton),3,90-112,,
3:19.0,,,90-112,,C. Douglas-Roberts enters the game for J. Crawford
3:15.0,,,90-114,2,R. Bullock makes 2-pt shot from 2 ft (assist by J. Farmar)
3:00.0,D. Powell makes 3-pt shot from 24 ft (assist by R. Felton),3,93-114,,
2:48.0,,,93-114,,Shooting foul by D. Powell (drawn by S. Hawes)
2:48.0,Dallas full timeout,,93-114,,
2:48.0,C. Villanueva enters the game for D. Harris,,93-114,,
2:48.0,,,93-114,,S. Hawes misses free throw 1 of 2
2:48.0,,,93-114,,Offensive rebound by Team
2:48.0,,,93-115,1,S. Hawes makes free throw 2 of 2
2:24.0,R. Felton misses 2-pt shot from 6 ft,,93-115,,
2:23.0,,,93-115,,Defensive rebound by G. Davis
2:06.0,,,93-117,2,J. Farmar makes 2-pt shot from 15 ft
1:55.0,C. Villanueva makes 3-pt shot from 24 ft (assist by R. Felton),3,96-117,,
1:38.0,,,96-120,3,S. Hawes makes 3-pt shot from 26 ft (assist by C. Douglas-Roberts)
1:30.0,Shooting foul by J. Farmar (drawn by D. Powell),,96-120,,
1:30.0,,,96-120,,E. Udoh enters the game for J. Farmar
1:30.0,D. Powell makes free throw 1 of 2,1,97-120,,
1:30.0,D. Powell makes free throw 2 of 2,1,98-120,,
1:07.0,,,98-120,,R. Bullock misses 3-pt shot from 25 ft
1:05.0,Defensive rebound by C. Villanueva,,98-120,,
0:54.0,R. Felton makes 2-pt shot from 22 ft,2,100-120,,
0:29.0,,,100-120,,R. Bullock misses 3-pt shot from 30 ft
0:28.0,,,100-120,,Offensive rebound by E. Udoh
0:02.0,,,100-120,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
