time,Washington,pts.away,score,pts.home,Milwaukee
7:14.0,,,58-54,,Z. Pachulia misses 2-pt shot from 17 ft
7:12.0,,,58-54,,Offensive rebound by E. Ilyasova
7:12.0,,,58-54,,E. Ilyasova misses 2-pt shot at rim
7:11.0,Defensive rebound by J. Wall,,58-54,,
7:08.0,J. Wall misses 2-pt shot from 7 ft,,58-54,,
7:06.0,Offensive rebound by D. Gooden,,58-54,,
7:02.0,P. Pierce makes 3-pt shot from 24 ft (assist by G. Temple),3,61-54,,
6:36.0,,,61-54,,B. Knight misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by G. Temple,,61-54,,
6:29.0,Shooting foul by O. Mayo (drawn by J. Wall),,61-54,,
6:29.0,J. Wall makes free throw 1 of 2,1,62-54,,
6:29.0,J. Wall makes free throw 2 of 2,1,63-54,,
6:15.0,Personal foul by P. Pierce (drawn by G. Antetokounmpo),,63-54,,
6:01.0,,,63-56,2,O. Mayo makes 2-pt shot from 14 ft
5:46.0,M. Gortat misses 2-pt shot at rim,,63-56,,
5:45.0,,,63-56,,Defensive rebound by Z. Pachulia
5:38.0,,,63-56,,B. Knight misses 3-pt shot from 23 ft
5:37.0,Defensive rebound by M. Gortat,,63-56,,
5:19.0,J. Wall makes 2-pt shot from 15 ft,2,65-56,,
5:03.0,,,65-58,2,Z. Pachulia makes 2-pt shot from 12 ft (assist by O. Mayo)
4:36.0,G. Temple misses 3-pt shot from 30 ft,,65-58,,
4:35.0,,,65-58,,Defensive rebound by E. Ilyasova
4:21.0,,,65-60,2,B. Knight makes 2-pt shot at rim (assist by E. Ilyasova)
4:21.0,Washington full timeout,,65-60,,
4:21.0,B. Beal enters the game for P. Pierce,,65-60,,
4:04.0,M. Gortat misses 2-pt shot at rim (block by Z. Pachulia),,65-60,,
4:01.0,,,65-60,,Defensive rebound by G. Antetokounmpo
3:57.0,,,65-62,2,B. Knight makes 2-pt shot from 11 ft (assist by G. Antetokounmpo)
3:38.0,B. Beal misses 2-pt shot from 15 ft,,65-62,,
3:37.0,Offensive rebound by M. Gortat,,65-62,,
3:37.0,M. Gortat makes 2-pt shot at rim,2,67-62,,
3:25.0,,,67-62,,Turnover by B. Knight (bad pass; steal by J. Wall)
3:21.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,69-62,,
3:08.0,Personal foul by B. Beal (drawn by G. Antetokounmpo),,69-62,,
3:08.0,,,69-63,1,G. Antetokounmpo makes free throw 1 of 2
3:08.0,K. Humphries enters the game for D. Gooden,,69-63,,
3:08.0,,,69-64,1,G. Antetokounmpo makes free throw 2 of 2
3:00.0,,,69-64,,Personal foul by O. Mayo (drawn by B. Beal)
3:00.0,B. Beal makes free throw 1 of 2,1,70-64,,
3:00.0,B. Beal makes free throw 2 of 2,1,71-64,,
2:46.0,,,71-66,2,O. Mayo makes 2-pt shot from 3 ft (assist by B. Knight)
2:33.0,,,71-66,,Personal block foul by Z. Pachulia (drawn by G. Temple)
2:33.0,G. Temple misses free throw 1 of 2,,71-66,,
2:33.0,Offensive rebound by Team,,71-66,,
2:33.0,,,71-66,,J. Bayless enters the game for E. Ilyasova
2:33.0,G. Temple makes free throw 2 of 2,1,72-66,,
2:19.0,,,72-68,2,O. Mayo makes 2-pt shot from 12 ft
2:01.0,G. Temple misses 3-pt shot from 25 ft,,72-68,,
2:00.0,,,72-68,,Defensive rebound by B. Knight
1:54.0,,,72-68,,B. Knight misses 2-pt shot from 14 ft
1:53.0,Defensive rebound by K. Humphries,,72-68,,
1:46.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,74-68,,
1:22.0,,,74-68,,G. Antetokounmpo misses 2-pt shot from 3 ft (block by K. Humphries)
1:22.0,,,74-68,,Offensive rebound by Team
1:22.0,R. Butler enters the game for G. Temple,,74-68,,
1:19.0,,,74-68,,O. Mayo misses 2-pt shot from 16 ft
1:18.0,Defensive rebound by K. Humphries,,74-68,,
1:11.0,B. Beal misses 3-pt shot from 27 ft,,74-68,,
1:10.0,,,74-68,,Defensive rebound by Z. Pachulia
1:00.0,,,74-68,,Z. Pachulia misses 2-pt shot at rim
1:00.0,Defensive rebound by K. Humphries,,74-68,,
0:44.0,J. Wall misses 2-pt shot from 11 ft,,74-68,,
0:43.0,,,74-68,,Defensive rebound by G. Antetokounmpo
0:40.0,Shooting block foul by K. Humphries (drawn by G. Antetokounmpo),,74-68,,
0:40.0,,,74-69,1,G. Antetokounmpo makes free throw 1 of 2
0:40.0,,,74-70,1,G. Antetokounmpo makes free throw 2 of 2
0:25.0,Turnover by B. Beal (lost ball; steal by O. Mayo),,74-70,,
0:15.0,,,74-70,,Z. Pachulia misses 2-pt shot from 10 ft
0:13.0,Defensive rebound by K. Humphries,,74-70,,
0:04.0,J. Wall misses 2-pt shot from 14 ft,,74-70,,
0:02.0,,,74-70,,Defensive rebound by G. Antetokounmpo
0:00.0,,,74-70,,G. Antetokounmpo misses 2-pt shot from 12 ft (block by M. Gortat)
0:00.0,,,74-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,K. Seraphin makes 2-pt shot at rim (assist by B. Beal),2,76-70,,
11:44.0,Shooting foul by J. Bayless (drawn by K. Seraphin),,76-70,,
11:44.0,K. Seraphin makes free throw 1 of 1,1,77-70,,
11:28.0,,,77-70,,O. Mayo misses 2-pt shot from 17 ft
11:27.0,Defensive rebound by A. Miller,,77-70,,
11:21.0,K. Humphries makes 2-pt shot at rim (assist by K. Seraphin),2,79-70,,
11:01.0,,,79-70,,Shooting foul by R. Butler (drawn by G. Antetokounmpo)
11:01.0,,,79-71,1,G. Antetokounmpo makes free throw 1 of 2
11:01.0,,,79-72,1,G. Antetokounmpo makes free throw 2 of 2
10:38.0,A. Miller misses 2-pt shot from 10 ft (block by O. Mayo),,79-72,,
10:38.0,Offensive rebound by Team,,79-72,,
10:36.0,Turnover by Team (shot clock),,79-72,,
10:22.0,,,79-72,,J. Bayless misses 2-pt shot from 17 ft
10:21.0,,,79-72,,Offensive rebound by J. Parker
10:15.0,,,79-74,2,G. Antetokounmpo makes 2-pt shot at rim (assist by Z. Pachulia)
