time,Atlanta,pts.away,score,pts.home,Brooklyn
5:43.0,Official timeout,,28-38,,
5:43.0,,,28-38,,B. Bogdanovic enters the game for J. Jack
5:43.0,P. Antic enters the game for M. Scott,,28-38,,
5:43.0,P. Millsap enters the game for A. Horford,,28-38,,
5:43.0,,,28-39,1,J. Johnson makes free throw 1 of 2
5:43.0,,,28-39,,J. Johnson misses free throw 2 of 2
5:42.0,Defensive rebound by P. Antic,,28-39,,
5:27.0,P. Antic makes 3-pt shot from 25 ft (assist by P. Millsap),3,31-39,,
5:05.0,,,31-39,,B. Bogdanovic misses 2-pt shot from 11 ft
5:04.0,Defensive rebound by P. Millsap,,31-39,,
4:44.0,P. Millsap makes 2-pt shot from 11 ft (assist by D. Schroder),2,33-39,,
4:33.0,,,33-39,,B. Lopez misses 2-pt shot from 11 ft
4:32.0,Defensive rebound by D. Carroll,,33-39,,
4:15.0,P. Millsap misses 2-pt shot from 13 ft,,33-39,,
4:14.0,,,33-39,,Defensive rebound by B. Lopez
4:07.0,,,33-39,,Shooting foul by P. Antic (drawn by B. Lopez)
4:07.0,,,33-40,1,B. Lopez makes free throw 1 of 2
4:07.0,,,33-41,1,B. Lopez makes free throw 2 of 2
3:57.0,Turnover by D. Schroder (lost ball),,33-41,,
3:39.0,,,33-41,,Turnover by T. Young (lost ball; steal by P. Millsap)
3:35.0,,,33-41,,Violation by T. Young (def goaltending)
3:35.0,J. Teague makes 2-pt shot from 2 ft (assist by P. Millsap),2,35-41,,
3:18.0,,,35-43,2,T. Young makes 2-pt shot from 4 ft (assist by J. Johnson)
3:13.0,Turnover by J. Teague (offensive foul),,35-43,,
3:13.0,Offensive charge foul by J. Teague,,35-43,,
3:13.0,Violation by Team (delay of game),,35-43,,
2:58.0,,,35-43,,T. Young misses 2-pt shot from 2 ft
2:57.0,Defensive rebound by Team,,35-43,,
2:57.0,Atlanta full timeout,,35-43,,
2:57.0,K. Korver enters the game for D. Schroder,,35-43,,
2:57.0,A. Horford enters the game for P. Antic,,35-43,,
2:38.0,P. Millsap makes 3-pt shot from 23 ft (assist by K. Korver),3,38-43,,
2:19.0,Personal foul by K. Korver (drawn by B. Lopez),,38-43,,
2:06.0,,,38-43,,B. Lopez misses 2-pt shot from 2 ft (block by P. Millsap)
2:05.0,Defensive rebound by P. Millsap,,38-43,,
2:04.0,,,38-43,,Personal foul by B. Lopez (drawn by P. Millsap)
2:04.0,,,38-43,,A. Anderson enters the game for B. Bogdanovic
1:53.0,J. Teague misses 3-pt shot from 26 ft,,38-43,,
1:52.0,,,38-43,,Defensive rebound by Team
1:52.0,Loose ball foul by D. Carroll (drawn by A. Anderson),,38-43,,
1:52.0,K. Bazemore enters the game for D. Carroll,,38-43,,
1:52.0,,,38-43,,J. Jack enters the game for D. Williams
1:31.0,,,38-43,,J. Johnson misses 2-pt shot from 9 ft
1:30.0,Defensive rebound by A. Horford,,38-43,,
1:21.0,Turnover by J. Teague (lost ball),,38-43,,
1:03.0,,,38-45,2,T. Young makes 2-pt shot from 17 ft
0:48.0,J. Teague misses 3-pt shot from 25 ft,,38-45,,
0:47.0,Offensive rebound by P. Millsap,,38-45,,
0:46.0,P. Millsap misses 2-pt shot from 4 ft,,38-45,,
