time,Portland,pts.away,score,pts.home,Boston
1:30.0,,,92-88,3,J. Sullinger makes 3-pt shot from 24 ft (assist by R. Rondo)
1:12.0,L. Aldridge misses 2-pt shot from 20 ft,,92-88,,
1:11.0,,,92-88,,Defensive rebound by R. Rondo
0:59.0,,,92-88,,Boston full timeout
0:50.0,,,92-88,,J. Green misses 3-pt shot from 28 ft
0:49.0,Defensive rebound by W. Matthews,,92-88,,
0:27.0,W. Matthews misses 3-pt shot from 25 ft,,92-88,,
0:26.0,,,92-88,,Defensive rebound by Team
0:26.0,Loose ball foul by R. Lopez (drawn by R. Rondo),,92-88,,
0:26.0,,,92-88,,Boston full timeout
0:19.0,,,92-88,,J. Sullinger misses 3-pt shot from 25 ft
0:18.0,Defensive rebound by R. Lopez,,92-88,,
0:12.0,W. Matthews makes 2-pt shot at rim (assist by D. Lillard),2,94-88,,
0:07.0,,,94-88,,J. Green misses 3-pt shot from 25 ft
0:06.0,Defensive rebound by D. Lillard,,94-88,,
0:04.0,,,94-88,,Personal foul by R. Rondo (drawn by D. Lillard)
0:00.0,End of 4th quarter,,,,End of 4th quarter
