time,Brooklyn,pts.away,score,pts.home,Oklahoma City
1:24.0,,,93-88,,R. Jackson misses 2-pt shot from 4 ft
1:22.0,Defensive rebound by J. Jack,,93-88,,
1:02.0,Offensive foul by J. Johnson,,93-88,,
1:02.0,Turnover by J. Johnson (offensive foul),,93-88,,
1:02.0,,,93-88,,Oklahoma City full timeout
1:02.0,A. Anderson enters the game for J. Jack,,93-88,,
0:59.0,,,93-88,,A. Roberson misses 3-pt shot from 25 ft (block by B. Lopez)
0:57.0,,,93-88,,Offensive rebound by A. Morrow
0:46.0,,,93-88,,Shooting foul by B. Lopez (drawn by R. Jackson)
0:46.0,,,93-89,1,R. Jackson makes free throw 1 of 2
0:46.0,,,93-90,1,R. Jackson makes free throw 2 of 2
0:46.0,Brooklyn full timeout,,93-90,,
0:46.0,J. Jack enters the game for A. Anderson,,93-90,,
0:26.0,J. Johnson misses 2-pt shot from 6 ft,,93-90,,
0:25.0,,,93-90,,Defensive rebound by S. Ibaka
0:13.0,,,93-90,,R. Jackson misses 2-pt shot from 1 ft
0:11.0,,,93-90,,Offensive rebound by Team
0:11.0,A. Anderson enters the game for J. Jack,,93-90,,
0:11.0,,,93-90,,J. Lamb enters the game for A. Roberson
0:11.0,K. Garnett enters the game for B. Lopez,,93-90,,
0:06.0,,,93-92,2,R. Jackson makes 2-pt shot from 3 ft
0:05.0,,,93-92,,Personal take foul by J. Lamb (drawn by J. Johnson)
0:05.0,J. Johnson makes free throw 1 of 2,1,94-92,,
0:05.0,,,94-92,,N. Collison enters the game for A. Morrow
0:05.0,J. Johnson misses free throw 2 of 2,,94-92,,
0:05.0,,,94-92,,Defensive rebound by R. Jackson
0:05.0,,,94-92,,Oklahoma City full timeout
0:05.0,,,94-92,,A. Morrow enters the game for N. Collison
0:00.0,,,94-92,,R. Jackson misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by Team,,94-92,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
