time,Houston,pts.away,score,pts.home,Charlotte
3:01.0,J. Smith makes 2-pt shot from 2 ft,2,96-85,,
2:42.0,,,96-85,,J. Taylor misses 3-pt shot from 25 ft (block by J. Harden)
2:40.0,Defensive rebound by T. Jones,,96-85,,
2:22.0,Shooting foul by N. Vonleh (drawn by J. Harden),,96-85,,
2:22.0,,,96-85,,Charlotte full timeout
2:22.0,,,96-85,,B. Biyombo enters the game for J. Maxiell
2:22.0,J. Harden misses free throw 1 of 2,,96-85,,
2:22.0,Offensive rebound by Team,,96-85,,
2:22.0,J. Harden makes free throw 2 of 2,1,97-85,,
2:09.0,,,97-88,3,T. Daniels makes 3-pt shot from 26 ft (assist by B. Roberts)
1:50.0,J. Terry makes 3-pt shot from 25 ft (assist by J. Harden),3,100-88,,
1:32.0,,,100-88,,Turnover by T. Daniels (bad pass; steal by T. Ariza)
1:30.0,Turnover by T. Ariza (bad pass),,100-88,,
1:18.0,,,100-88,,B. Roberts misses 3-pt shot from 25 ft
1:17.0,Defensive rebound by T. Ariza,,100-88,,
1:08.0,T. Jones misses 2-pt shot from 2 ft,,100-88,,
1:07.0,,,100-88,,Defensive rebound by N. Vonleh
0:57.0,,,100-88,,T. Daniels misses 2-pt shot from 1 ft (block by T. Ariza)
0:54.0,,,100-88,,Offensive rebound by B. Biyombo
0:54.0,,,100-88,,B. Biyombo misses 2-pt shot at rim (block by T. Jones)
0:52.0,Defensive rebound by T. Ariza,,100-88,,
0:30.0,J. Harden misses 3-pt shot from 25 ft,,100-88,,
0:30.0,Offensive rebound by Team,,100-88,,
0:30.0,Turnover by Team (shot clock),,100-88,,
0:21.0,,,100-88,,Shooting foul by T. Jones (drawn by B. Roberts)
0:21.0,,,100-89,1,B. Roberts makes free throw 1 of 2
0:21.0,,,100-90,1,B. Roberts makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
