time,Washington,pts.away,score,pts.home,Indiana
2:01.0,,,91-85,2,D. Sloan makes 2-pt shot from 10 ft
1:46.0,J. Wall makes 2-pt shot from 18 ft,2,93-85,,
1:33.0,Personal foul by J. Wall (drawn by D. Sloan),,93-85,,
1:29.0,,,93-85,,C. Copeland misses 3-pt shot from 27 ft
1:28.0,Defensive rebound by P. Pierce,,93-85,,
1:12.0,J. Wall misses 2-pt shot from 11 ft,,93-85,,
1:11.0,,,93-85,,Defensive rebound by C. Copeland
1:05.0,,,93-88,3,D. Sloan makes 3-pt shot from 25 ft
0:41.0,P. Pierce misses 2-pt shot from 12 ft,,93-88,,
0:40.0,,,93-88,,Defensive rebound by S. Hill
0:39.0,,,93-88,,Indiana full timeout
0:39.0,,,93-88,,D. Rudez enters the game for I. Mahinmi
0:39.0,O. Porter enters the game for M. Gortat,,93-88,,
0:30.0,,,93-88,,Turnover by C. Copeland (lost ball; steal by N. Hilario)
0:22.0,,,93-88,,Personal take foul by D. Sloan (drawn by P. Pierce)
0:22.0,P. Pierce makes free throw 1 of 2,1,94-88,,
0:22.0,P. Pierce makes free throw 2 of 2,1,95-88,,
0:22.0,,,95-88,,Indiana full timeout
0:12.0,,,95-88,,D. Sloan misses 3-pt shot from 22 ft
0:11.0,Defensive rebound by P. Pierce,,95-88,,
0:11.0,,,95-88,,Personal take foul by C. Copeland (drawn by P. Pierce)
0:11.0,P. Pierce makes free throw 1 of 2,1,96-88,,
0:11.0,P. Pierce makes free throw 2 of 2,1,97-88,,
0:07.0,Shooting block foul by N. Hilario (drawn by L. Scola),,97-88,,
0:07.0,,,97-89,1,L. Scola makes free throw 1 of 2
0:07.0,,,97-90,1,L. Scola makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
