time,Memphis,pts.away,score,pts.home,Miami
0:27.0,,,97-93,,D. Wade misses 3-pt shot from 25 ft
0:26.0,,,97-93,,Offensive rebound by D. Granger
0:23.0,,,97-95,2,C. Andersen makes 2-pt shot at rim (assist by M. Chalmers)
0:21.0,,,97-95,,Personal foul by M. Chalmers (drawn by M. Conley)
0:21.0,M. Conley makes free throw 1 of 2,1,98-95,,
0:21.0,,,98-95,,U. Haslem enters the game for D. Granger
0:21.0,M. Conley makes free throw 2 of 2,1,99-95,,
0:21.0,,,99-95,,Miami full timeout
0:21.0,,,99-95,,D. Granger enters the game for U. Haslem
0:14.0,,,99-95,,M. Chalmers misses 2-pt shot from 2 ft (block by M. Gasol)
0:13.0,Defensive rebound by Team,,99-95,,
0:13.0,Memphis full timeout,,99-95,,
0:13.0,V. Carter enters the game for T. Allen,,99-95,,
0:12.0,,,99-95,,Personal foul by L. Deng (drawn by C. Lee)
0:12.0,C. Lee makes free throw 1 of 2,1,100-95,,
0:12.0,T. Allen enters the game for V. Carter,,100-95,,
0:12.0,C. Lee makes free throw 2 of 2,1,101-95,,
0:12.0,,,101-95,,Miami full timeout
0:07.0,,,101-95,,D. Granger misses 3-pt shot from 28 ft
0:06.0,Defensive rebound by T. Allen,,101-95,,
0:06.0,,,101-95,,Personal foul by L. Deng (drawn by T. Allen)
0:06.0,T. Allen makes free throw 1 of 2,1,102-95,,
0:06.0,T. Allen makes free throw 2 of 2,1,103-95,,
0:00.0,,,103-95,,M. Chalmers misses 3-pt shot from 24 ft
0:00.0,,,103-95,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
