time,Boston,pts.away,score,pts.home,Golden State
5:26.0,,,88-99,,A. Bogut misses 2-pt shot from 1 ft
5:24.0,,,88-99,,Offensive rebound by A. Bogut
5:24.0,,,88-101,2,A. Bogut makes 2-pt shot at rim
4:58.0,A. Bradley misses 3-pt shot from 26 ft,,88-101,,
4:57.0,,,88-101,,Defensive rebound by A. Bogut
4:45.0,,,88-101,,S. Curry misses 3-pt shot from 27 ft
4:43.0,Defensive rebound by B. Bass,,88-101,,
4:34.0,Shooting foul by K. Thompson (drawn by E. Turner),,88-101,,
4:34.0,E. Turner makes free throw 1 of 2,1,89-101,,
4:34.0,E. Turner makes free throw 2 of 2,1,90-101,,
4:24.0,,,90-101,,K. Thompson misses 2-pt shot from 16 ft
4:22.0,Defensive rebound by J. Sullinger,,90-101,,
4:18.0,Offensive foul by J. Sullinger,,90-101,,
4:18.0,Turnover by J. Sullinger (offensive foul),,90-101,,
4:03.0,,,90-101,,Turnover by A. Bogut (bad pass)
3:49.0,Shooting foul by D. Green (drawn by J. Sullinger),,90-101,,
3:49.0,J. Sullinger makes free throw 1 of 2,1,91-101,,
3:49.0,J. Sullinger makes free throw 2 of 2,1,92-101,,
3:34.0,,,92-103,2,K. Thompson makes 2-pt shot from 11 ft
3:16.0,J. Sullinger makes 2-pt shot from 18 ft (assist by E. Turner),2,94-103,,
3:06.0,,,94-103,,S. Curry misses 2-pt shot from 18 ft
3:05.0,Defensive rebound by B. Bass,,94-103,,
2:56.0,E. Turner misses 2-pt shot from 3 ft,,94-103,,
2:55.0,,,94-103,,Defensive rebound by D. Green
2:53.0,,,94-103,,Shooting foul by A. Bradley (drawn by S. Curry)
2:53.0,Boston full timeout,,94-103,,
2:53.0,,,94-104,1,S. Curry makes free throw 1 of 2
2:53.0,,,94-105,1,S. Curry makes free throw 2 of 2
2:40.0,J. Sullinger misses 2-pt shot from 19 ft,,94-105,,
2:38.0,,,94-105,,Defensive rebound by D. Green
2:24.0,,,94-107,2,S. Curry makes 2-pt shot from 1 ft (assist by A. Bogut)
2:03.0,B. Bass makes 2-pt shot at rim (assist by E. Turner),2,96-107,,
2:03.0,Shooting foul by A. Iguodala (drawn by B. Bass),,96-107,,
2:03.0,J. Crowder enters the game for J. Young,,96-107,,
2:03.0,B. Bass makes free throw 1 of 1,1,97-107,,
1:45.0,,,97-107,,S. Curry misses 2-pt shot from 4 ft
1:44.0,Defensive rebound by B. Bass,,97-107,,
1:40.0,Shooting foul by D. Green (drawn by J. Sullinger),,97-107,,
1:40.0,J. Sullinger makes free throw 1 of 2,1,98-107,,
1:40.0,J. Sullinger makes free throw 2 of 2,1,99-107,,
1:28.0,,,99-109,2,K. Thompson makes 2-pt shot from 11 ft (assist by S. Curry)
1:28.0,Boston full timeout,,99-109,,
1:28.0,,,99-109,,H. Barnes enters the game for A. Bogut
1:21.0,Turnover by E. Turner (lost ball; steal by D. Green),,99-109,,
1:05.0,,,99-109,,S. Curry misses 2-pt shot from 2 ft (block by B. Bass)
1:02.0,Defensive rebound by J. Crowder,,99-109,,
0:57.0,J. Crowder misses 3-pt shot from 25 ft,,99-109,,
0:56.0,Offensive rebound by A. Bradley,,99-109,,
0:53.0,E. Turner makes 3-pt shot from 27 ft (assist by A. Bradley),3,102-109,,
0:43.0,Personal foul by E. Turner (drawn by K. Thompson),,102-109,,
0:36.0,,,102-112,3,K. Thompson makes 3-pt shot from 27 ft (assist by D. Green)
0:30.0,E. Turner makes 2-pt shot from 15 ft,2,104-112,,
0:26.0,,,104-112,,Turnover by D. Green (bad pass)
0:19.0,A. Bradley makes 3-pt shot from 25 ft,3,107-112,,
0:09.0,,,107-112,,Turnover by H. Barnes (bad pass)
0:09.0,Boston full timeout,,107-112,,
0:09.0,T. Prince enters the game for B. Bass,,107-112,,
0:09.0,Boston full timeout,,107-112,,
0:07.0,A. Bradley misses 3-pt shot from 25 ft,,107-112,,
0:06.0,Offensive rebound by J. Sullinger,,107-112,,
0:05.0,J. Sullinger makes 2-pt shot from 1 ft,2,109-112,,
0:04.0,,,109-112,,Golden State full timeout
0:04.0,B. Bass enters the game for J. Sullinger,,109-112,,
0:03.0,Personal foul by E. Turner (drawn by K. Thompson),,109-112,,
0:03.0,,,109-113,1,K. Thompson makes free throw 1 of 2
0:03.0,J. Sullinger enters the game for J. Crowder,,109-113,,
0:03.0,T. Zeller enters the game for B. Bass,,109-113,,
0:03.0,G. Wallace enters the game for A. Bradley,,109-113,,
0:03.0,J. Young enters the game for E. Turner,,109-113,,
0:03.0,M. Thornton enters the game for T. Prince,,109-113,,
0:03.0,,,109-114,1,K. Thompson makes free throw 2 of 2
0:02.0,Shooting foul by D. Green (drawn by J. Sullinger),,109-114,,
0:02.0,J. Sullinger makes free throw 1 of 2,1,110-114,,
0:02.0,E. Turner enters the game for G. Wallace,,110-114,,
0:02.0,T. Prince enters the game for M. Thornton,,110-114,,
0:02.0,J. Crowder enters the game for T. Zeller,,110-114,,
0:02.0,A. Bradley enters the game for J. Young,,110-114,,
0:02.0,,,110-114,,A. Bogut enters the game for H. Barnes
0:02.0,J. Sullinger makes free throw 2 of 2,1,111-114,,
0:02.0,,,111-114,,Golden State full timeout
0:02.0,B. Bass enters the game for J. Sullinger,,111-114,,
0:02.0,,,111-114,,H. Barnes enters the game for A. Bogut
0:00.0,End of 4th quarter,,,,End of 4th quarter
