time,LA Lakers,pts.away,score,pts.home,Indiana
10:32.0,,,62-93,2,D. Sloan makes 2-pt shot from 2 ft
10:09.0,W. Ellington makes 2-pt shot from 5 ft,2,64-93,,
9:53.0,,,64-96,3,D. Sloan makes 3-pt shot from 26 ft (assist by L. Scola)
9:33.0,W. Ellington misses 3-pt shot from 24 ft,,64-96,,
9:32.0,,,64-96,,Defensive rebound by D. Rudez
9:16.0,,,64-96,,D. Rudez misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by N. Young,,64-96,,
9:10.0,N. Young makes 2-pt shot from 2 ft,2,66-96,,
8:56.0,,,66-96,,Turnover by D. Sloan (bad pass; steal by N. Young)
8:50.0,N. Young makes 3-pt shot from 27 ft,3,69-96,,
8:36.0,Personal foul by N. Young (drawn by C. Miles),,69-96,,
8:36.0,Official timeout,,69-96,,
8:22.0,,,69-96,,C. Miles misses 3-pt shot from 25 ft
8:20.0,Defensive rebound by C. Boozer,,69-96,,
8:14.0,N. Young misses 2-pt shot from 3 ft,,69-96,,
8:13.0,,,69-96,,Defensive rebound by L. Allen
8:06.0,,,69-96,,C. Miles misses 3-pt shot from 24 ft
8:06.0,Defensive rebound by R. Sacre,,69-96,,
7:49.0,,,69-96,,Personal foul by D. Rudez (drawn by W. Ellington)
7:41.0,C. Boozer makes 2-pt shot from 16 ft (assist by J. Lin),2,71-96,,
7:20.0,,,71-96,,D. Sloan misses 2-pt shot from 17 ft
7:19.0,Defensive rebound by W. Ellington,,71-96,,
7:07.0,Shooting foul by C. Miles (drawn by N. Young),,71-96,,
7:07.0,N. Young makes free throw 1 of 2,1,72-96,,
7:07.0,N. Young makes free throw 2 of 2,1,73-96,,
6:47.0,,,73-96,,C. Miles misses 3-pt shot from 22 ft
6:46.0,Defensive rebound by R. Sacre,,73-96,,
6:46.0,,,73-96,,Loose ball foul by L. Scola (drawn by R. Sacre)
6:30.0,J. Lin misses 2-pt shot from 3 ft,,73-96,,
6:29.0,,,73-96,,Defensive rebound by D. Sloan
6:08.0,,,73-96,,C. Miles misses 3-pt shot from 25 ft
6:05.0,,,73-96,,Offensive rebound by L. Allen
5:51.0,,,73-96,,D. Sloan misses 2-pt shot from 1 ft
5:51.0,Defensive rebound by Team,,73-96,,
5:51.0,,,73-96,,Loose ball foul by L. Allen (drawn by J. Lin)
5:51.0,,,73-96,,Indiana full timeout
5:51.0,J. Clarkson enters the game for J. Lin,,73-96,,
5:36.0,N. Young makes 2-pt shot from 21 ft (assist by J. Clarkson),2,75-96,,
5:07.0,,,75-98,2,C. Miles makes 2-pt shot from 17 ft (assist by L. Allen)
4:53.0,C. Boozer makes 2-pt shot at rim (assist by N. Young),2,77-98,,
4:35.0,,,77-100,2,D. Sloan makes 2-pt shot from 3 ft
4:23.0,Turnover by J. Clarkson (lost ball; steal by L. Scola),,77-100,,
4:09.0,,,77-100,,L. Allen misses 2-pt shot from 16 ft
4:08.0,Defensive rebound by W. Ellington,,77-100,,
3:57.0,,,77-100,,Shooting block foul by D. Rudez (drawn by C. Boozer)
3:57.0,C. Boozer makes free throw 1 of 2,1,78-100,,
3:57.0,,,78-100,,C. Copeland enters the game for L. Scola
