time,Phoenix,pts.away,score,pts.home,Dallas
2:28.0,M. Morris makes 2-pt shot from 6 ft (assist by G. Dragic),2,111-101,,
2:13.0,,,111-101,,M. Ellis misses 3-pt shot from 27 ft
2:12.0,Defensive rebound by M. Morris,,111-101,,
1:55.0,M. Morris misses 3-pt shot from 23 ft,,111-101,,
1:54.0,,,111-101,,Defensive rebound by D. Harris
1:47.0,,,111-101,,D. Harris misses 3-pt shot from 26 ft
1:45.0,,,111-101,,Offensive rebound by C. Parsons
1:43.0,,,111-103,2,D. Harris makes 2-pt shot from 1 ft (assist by C. Parsons)
1:22.0,G. Dragic makes 2-pt shot from 8 ft,2,113-103,,
1:22.0,,,113-103,,Dallas full timeout
1:13.0,,,113-103,,D. Harris misses 2-pt shot from 5 ft
1:12.0,,,113-103,,Offensive rebound by T. Chandler
1:12.0,Personal foul by P. Tucker (drawn by T. Chandler),,113-103,,
1:12.0,,,113-104,1,T. Chandler makes free throw 1 of 2
1:12.0,,,113-104,,A. Aminu enters the game for D. Nowitzki
1:12.0,,,113-105,1,T. Chandler makes free throw 2 of 2
0:57.0,M. Morris makes 3-pt shot from 24 ft (assist by M. Morris),3,116-105,,
0:57.0,,,116-105,,Dallas full timeout
0:57.0,,,116-105,,B. Wright enters the game for T. Chandler
0:56.0,Personal foul by M. Morris (drawn by A. Aminu),,116-105,,
0:56.0,,,116-106,1,A. Aminu makes free throw 1 of 2
0:56.0,,,116-106,,J. Crowder enters the game for C. Parsons
0:56.0,,,116-106,,A. Aminu misses free throw 2 of 2
0:55.0,Defensive rebound by M. Morris,,116-106,,
0:48.0,,,116-106,,Personal foul by D. Harris (drawn by G. Dragic)
0:48.0,G. Dragic makes free throw 1 of 2,1,117-106,,
0:48.0,,,117-106,,J. Barea enters the game for M. Ellis
0:48.0,,,117-106,,G. Smith enters the game for B. Wright
0:48.0,G. Dragic makes free throw 2 of 2,1,118-106,,
0:48.0,,,118-106,,Dallas full timeout
0:48.0,,,118-106,,C. Villanueva enters the game for D. Harris
0:48.0,A. Tolliver enters the game for E. Bledsoe,,118-106,,
0:40.0,,,118-106,,C. Villanueva misses 3-pt shot from 25 ft
0:39.0,Defensive rebound by P. Tucker,,118-106,,
0:17.0,P. Tucker misses 2-pt shot from 16 ft,,118-106,,
0:16.0,,,118-106,,Defensive rebound by C. Villanueva
0:07.0,,,118-106,,A. Aminu misses 3-pt shot from 24 ft
0:06.0,Defensive rebound by A. Tolliver,,118-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
