time,Miami,pts.away,score,pts.home,Dallas
3:01.0,,,101-85,,Defensive rebound by J. Nelson
2:51.0,,,101-85,,J. Nelson misses 3-pt shot from 25 ft
2:50.0,Defensive rebound by C. Bosh,,101-85,,
2:35.0,D. Wade misses 2-pt shot from 16 ft,,101-85,,
2:34.0,,,101-85,,Defensive rebound by B. Wright
2:28.0,,,101-87,2,C. Parsons makes 2-pt shot at rim (assist by J. Nelson)
2:08.0,Turnover by C. Bosh (lost ball),,101-87,,
1:58.0,,,101-87,,Turnover by J. Nelson (bad pass)
1:44.0,Turnover by C. Bosh (lost ball; steal by C. Parsons),,101-87,,
1:40.0,,,101-89,2,J. Crowder makes 2-pt shot at rim (assist by M. Ellis)
1:30.0,D. Wade makes 2-pt shot from 1 ft (assist by L. Deng),2,103-89,,
1:22.0,Personal foul by S. Napier (drawn by J. Nelson),,103-89,,
1:22.0,,,103-89,,J. Nelson misses free throw 1 of 2
1:22.0,,,103-89,,Offensive rebound by Team
1:22.0,,,103-89,,J. Barea enters the game for M. Ellis
1:22.0,,,103-90,1,J. Nelson makes free throw 2 of 2
0:59.0,M. Chalmers misses 3-pt shot from 25 ft,,103-90,,
0:58.0,Offensive rebound by Team,,103-90,,
0:58.0,Turnover by Team (shot clock),,103-90,,
0:58.0,,,103-90,,Dallas full timeout
0:56.0,,,103-93,3,J. Barea makes 3-pt shot from 25 ft (assist by J. Crowder)
0:42.0,C. Bosh makes 2-pt shot from 18 ft (assist by D. Wade),2,105-93,,
0:35.0,,,105-93,,Shooting foul by S. Napier (drawn by J. Crowder)
0:35.0,,,105-94,1,J. Crowder makes free throw 1 of 3
0:35.0,,,105-95,1,J. Crowder makes free throw 2 of 3
0:35.0,,,105-96,1,J. Crowder makes free throw 3 of 3
0:13.0,L. Deng misses 3-pt shot from 24 ft (block by C. Parsons),,105-96,,
0:13.0,Offensive rebound by Team,,105-96,,
0:10.0,L. Deng misses 3-pt shot from 25 ft,,105-96,,
0:08.0,Offensive rebound by D. Wade,,105-96,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
