time,Dallas,pts.away,score,pts.home,Miami
4:56.0,,,82-62,,Turnover by M. Chalmers (bad pass)
4:41.0,D. Harris misses 2-pt shot from 4 ft,,82-62,,
4:40.0,,,82-62,,Defensive rebound by H. Whiteside
4:32.0,,,82-62,,Turnover by M. Chalmers (bad pass; steal by A. Aminu)
4:10.0,C. Villanueva makes 3-pt shot from 23 ft (assist by J. Barea),3,85-62,,
3:59.0,,,85-62,,M. Chalmers misses 2-pt shot from 15 ft
3:58.0,Defensive rebound by T. Chandler,,85-62,,
3:43.0,C. Villanueva misses 3-pt shot from 24 ft,,85-62,,
3:42.0,,,85-62,,Defensive rebound by H. Whiteside
3:41.0,Personal foul by T. Chandler (drawn by M. Chalmers),,85-62,,
3:41.0,,,85-62,,S. Williams enters the game for C. Bosh
3:41.0,,,85-62,,S. Napier enters the game for M. Chalmers
3:41.0,G. Smith enters the game for T. Chandler,,85-62,,
3:27.0,,,85-62,,Turnover by H. Whiteside (lost ball; steal by A. Aminu)
3:03.0,J. Barea makes 3-pt shot from 25 ft,3,88-62,,
2:39.0,,,88-64,2,T. Johnson makes 2-pt shot from 1 ft (assist by S. Napier)
2:19.0,C. Villanueva misses 3-pt shot from 25 ft,,88-64,,
2:18.0,Offensive rebound by D. Harris,,88-64,,
1:59.0,J. Barea misses 2-pt shot from 16 ft,,88-64,,
1:58.0,,,88-64,,Defensive rebound by H. Whiteside
1:51.0,,,88-67,3,S. Napier makes 3-pt shot from 25 ft
1:39.0,,,88-67,,Personal foul by T. Johnson (drawn by J. Barea)
1:39.0,,,88-67,,J. Hamilton enters the game for H. Whiteside
1:29.0,D. Harris makes 3-pt shot from 25 ft (assist by J. Barea),3,91-67,,
1:14.0,,,91-69,2,S. Napier makes 2-pt shot from 1 ft
0:54.0,G. Smith makes 2-pt shot from 1 ft (assist by J. Barea),2,93-69,,
0:47.0,,,93-69,,S. Napier misses 2-pt shot from 18 ft
0:46.0,,,93-69,,Offensive rebound by J. Hamilton
0:42.0,,,93-72,3,J. Ennis makes 3-pt shot from 25 ft (assist by J. Hamilton)
0:22.0,J. Barea misses 3-pt shot from 25 ft,,93-72,,
0:21.0,Offensive rebound by A. Aminu,,93-72,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
