time,Orlando,pts.away,score,pts.home,Atlanta
11:41.0,T. Harris makes free throw 1 of 2,1,41-40,,
11:41.0,T. Harris makes free throw 2 of 2,1,42-40,,
11:32.0,,,42-40,,K. Korver misses 3-pt shot from 25 ft
11:32.0,,,42-40,,Offensive rebound by Team
11:32.0,Loose ball foul by T. Harris (drawn by D. Carroll),,42-40,,
11:27.0,,,42-40,,J. Teague misses 2-pt shot from 10 ft
11:25.0,Defensive rebound by K. O'Quinn,,42-40,,
11:18.0,Shooting foul by D. Carroll (drawn by V. Oladipo),,42-40,,
11:18.0,V. Oladipo makes free throw 1 of 2,1,43-40,,
11:18.0,V. Oladipo misses free throw 2 of 2,,43-40,,
11:17.0,,,43-40,,Defensive rebound by D. Carroll
11:01.0,,,43-40,,J. Teague misses 2-pt shot from 10 ft
10:59.0,,,43-40,,Offensive rebound by J. Teague
10:57.0,Personal foul by C. Frye (drawn by J. Teague),,43-40,,
10:44.0,,,43-40,,D. Carroll misses 3-pt shot from 24 ft
10:42.0,Defensive rebound by T. Harris,,43-40,,
10:28.0,E. Fournier makes 2-pt shot from 18 ft,2,45-40,,
10:15.0,,,45-40,,A. Horford misses 2-pt shot from 20 ft
10:12.0,,,45-40,,Offensive rebound by Team
10:05.0,,,45-43,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
9:53.0,E. Fournier makes 3-pt shot from 24 ft (assist by K. O'Quinn),3,48-43,,
9:42.0,,,48-43,,A. Horford misses 2-pt shot from 21 ft
9:41.0,Defensive rebound by V. Oladipo,,48-43,,
9:37.0,,,48-43,,Personal block foul by J. Teague (drawn by V. Oladipo)
9:28.0,T. Harris misses 3-pt shot from 23 ft,,48-43,,
9:27.0,,,48-43,,Defensive rebound by K. Korver
9:10.0,,,48-43,,P. Millsap misses 2-pt shot from 2 ft
9:09.0,Defensive rebound by K. O'Quinn,,48-43,,
8:57.0,T. Harris makes 2-pt shot at rim (assist by E. Fournier),2,50-43,,
8:57.0,,,50-43,,Atlanta full timeout
8:43.0,,,50-43,,P. Millsap misses 2-pt shot from 18 ft
8:42.0,Defensive rebound by T. Harris,,50-43,,
8:31.0,E. Fournier makes 2-pt shot from 2 ft (assist by C. Frye),2,52-43,,
8:13.0,,,52-43,,J. Teague misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by E. Fournier,,52-43,,
8:02.0,E. Fournier misses 3-pt shot from 23 ft,,52-43,,
8:01.0,,,52-43,,Defensive rebound by P. Millsap
7:57.0,,,52-43,,Shooting foul by K. O'Quinn (drawn by P. Millsap)
7:57.0,,,52-44,1,P. Millsap makes free throw 1 of 2
7:57.0,,,52-45,1,P. Millsap makes free throw 2 of 2
7:39.0,C. Frye misses 3-pt shot from 24 ft,,52-45,,
7:38.0,,,52-45,,Defensive rebound by J. Teague
7:21.0,,,52-45,,J. Teague misses 3-pt shot from 24 ft
7:19.0,Defensive rebound by T. Harris,,52-45,,
7:08.0,V. Oladipo makes 2-pt shot from 18 ft,2,54-45,,
6:56.0,,,54-45,,Turnover by A. Horford (dbl dribble)
6:33.0,V. Oladipo misses 2-pt shot from 4 ft,,54-45,,
6:31.0,Offensive rebound by K. O'Quinn,,54-45,,
6:31.0,K. O'Quinn makes 2-pt shot at rim,2,56-45,,
6:31.0,Shooting foul by A. Horford (drawn by K. O'Quinn),,56-45,,
6:31.0,,,56-45,,D. Schroder enters the game for J. Teague
6:31.0,K. O'Quinn makes free throw 1 of 1,1,57-45,,
6:17.0,Personal foul by E. Fournier (drawn by K. Korver),,57-45,,
6:17.0,,,57-45,,E. Brand enters the game for A. Horford
6:05.0,,,57-48,3,P. Millsap makes 3-pt shot from 24 ft (assist by D. Schroder)
5:38.0,T. Harris misses 2-pt shot from 16 ft,,57-48,,
5:37.0,,,57-48,,Defensive rebound by P. Millsap
5:18.0,,,57-48,,Shooting foul by T. Harris (drawn by D. Schroder)
5:18.0,,,57-48,,D. Schroder misses free throw 1 of 2
