time,Miami,pts.away,score,pts.home,Golden State
8:39.0,,,72-86,,A. Bogut enters the game for M. Speights
8:39.0,,,72-86,,K. Thompson enters the game for L. Barbosa
8:39.0,,,72-86,,J. Holiday misses free throw 1 of 1
8:37.0,Defensive rebound by N. Cole,,72-86,,
8:34.0,Miami full timeout,,72-86,,
8:21.0,Turnover by N. Cole (lost ball),,72-86,,
8:01.0,,,72-86,,D. Lee misses 2-pt shot from 2 ft
8:00.0,Defensive rebound by S. Williams,,72-86,,
7:45.0,,,72-86,,Personal foul by J. Holiday (drawn by S. Williams)
7:45.0,C. Bosh enters the game for D. Granger,,72-86,,
7:34.0,N. Cole misses 2-pt shot from 16 ft,,72-86,,
7:33.0,,,72-86,,Defensive rebound by A. Bogut
7:24.0,Personal foul by S. Williams (drawn by K. Thompson),,72-86,,
7:24.0,,,72-86,,D. Green enters the game for D. Lee
7:24.0,M. Chalmers enters the game for N. Cole,,72-86,,
7:24.0,S. Napier enters the game for J. Ennis,,72-86,,
7:16.0,,,72-88,2,K. Thompson makes 2-pt shot from 18 ft (assist by A. Iguodala)
6:48.0,L. Deng enters the game for C. Andersen,,72-88,,
6:48.0,Shooting foul by A. Bogut (drawn by S. Napier),,72-88,,
6:48.0,S. Napier makes free throw 1 of 2,1,73-88,,
6:48.0,,,73-88,,S. Curry enters the game for J. Holiday
6:48.0,S. Napier makes free throw 2 of 2,1,74-88,,
6:35.0,,,74-91,3,K. Thompson makes 3-pt shot from 27 ft (assist by D. Green)
6:22.0,Turnover by L. Deng (offensive foul),,74-91,,
6:22.0,Offensive foul by L. Deng,,74-91,,
6:13.0,,,74-91,,Shooting foul by M. Chalmers (drawn by D. Green)
6:13.0,,,74-91,,D. Green misses free throw 1 of 2
6:13.0,,,74-91,,Offensive rebound by Team
6:13.0,,,74-92,1,D. Green makes free throw 2 of 2
6:07.0,S. Napier makes 2-pt shot from 1 ft,2,76-92,,
5:53.0,,,76-92,,Shooting foul by S. Williams (drawn by S. Curry)
5:53.0,,,76-92,,S. Curry misses free throw 1 of 2
5:53.0,,,76-92,,Offensive rebound by Team
5:53.0,,,76-92,,S. Curry misses free throw 2 of 2
5:52.0,Defensive rebound by L. Deng,,76-92,,
5:33.0,L. Deng makes 2-pt shot from 7 ft (assist by M. Chalmers),2,78-92,,
5:17.0,,,78-92,,D. Green misses 2-pt shot from 11 ft
5:16.0,Defensive rebound by C. Bosh,,78-92,,
5:05.0,C. Bosh misses 3-pt shot from 27 ft,,78-92,,
5:04.0,,,78-92,,Defensive rebound by D. Green
4:47.0,,,78-92,,S. Curry misses 3-pt shot from 25 ft
4:46.0,Defensive rebound by C. Bosh,,78-92,,
4:35.0,M. Chalmers makes 2-pt shot from 1 ft,2,80-92,,
4:35.0,,,80-92,,Golden State full timeout
4:33.0,Personal take foul by C. Bosh (drawn by A. Bogut),,80-92,,
4:33.0,,,80-93,1,A. Bogut makes free throw 1 of 2
4:33.0,,,80-94,1,A. Bogut makes free throw 2 of 2
4:23.0,C. Bosh makes 2-pt shot from 12 ft (assist by S. Napier),2,82-94,,
4:16.0,Personal take foul by C. Bosh (drawn by A. Bogut),,82-94,,
4:16.0,,,82-95,1,A. Bogut makes free throw 1 of 2
4:16.0,,,82-96,1,A. Bogut makes free throw 2 of 2
3:55.0,C. Bosh misses 2-pt shot from 12 ft,,82-96,,
3:54.0,,,82-96,,Defensive rebound by A. Bogut
3:36.0,,,82-96,,Turnover by K. Thompson (bad pass; steal by S. Napier)
3:23.0,L. Deng misses 3-pt shot from 23 ft,,82-96,,
3:22.0,Offensive rebound by C. Bosh,,82-96,,
3:22.0,C. Bosh makes 2-pt shot at rim,2,84-96,,
3:20.0,,,84-96,,Golden State full timeout
3:20.0,,,84-96,,H. Barnes enters the game for A. Bogut
3:06.0,,,84-98,2,S. Curry makes 2-pt shot from 8 ft
3:06.0,,,84-98,,Shooting foul by S. Napier (drawn by S. Curry)
3:06.0,,,84-99,1,S. Curry makes free throw 1 of 1
2:48.0,L. Deng misses 2-pt shot from 11 ft,,84-99,,
2:46.0,Offensive rebound by L. Deng,,84-99,,
2:40.0,M. Chalmers misses 3-pt shot from 27 ft,,84-99,,
2:39.0,Offensive rebound by L. Deng,,84-99,,
