time,Oklahoma City,pts.away,score,pts.home,Orlando
8:27.0,,,107-80,,Turnover by A. Gordon (offensive foul)
8:15.0,N. Collison makes 2-pt shot from 2 ft (assist by K. Perkins),2,109-80,,
7:59.0,,,109-80,,E. Payton misses 2-pt shot from 7 ft
7:58.0,,,109-80,,Offensive rebound by A. Gordon
7:55.0,,,109-80,,Shooting foul by N. Collison (drawn by A. Gordon)
7:55.0,,,109-80,,A. Gordon misses free throw 1 of 2
7:55.0,,,109-80,,Offensive rebound by Team
7:55.0,,,109-81,1,A. Gordon makes free throw 2 of 2
7:36.0,N. Collison makes 2-pt shot from 2 ft (assist by D. Waiters),2,111-81,,
7:27.0,,,111-81,,C. Frye misses 3-pt shot from 25 ft
7:25.0,Defensive rebound by K. Perkins,,111-81,,
7:18.0,D. Waiters misses 3-pt shot from 24 ft,,111-81,,
7:17.0,,,111-81,,K. O'Quinn enters the game for D. Dedmon
7:17.0,Jump ball: A. Gordon vs. K. Perkins (R. Jackson gains possession),,,,Jump ball: A. Gordon vs. K. Perkins (R. Jackson gains possession)
7:17.0,Offensive rebound by Team,,111-81,,
6:59.0,K. Perkins makes 2-pt shot from 2 ft,2,113-81,,
6:39.0,,,113-83,2,K. O'Quinn makes 2-pt shot from 17 ft (assist by E. Payton)
6:23.0,N. Collison misses 2-pt shot from 21 ft,,113-83,,
6:23.0,,,113-83,,Defensive rebound by A. Gordon
6:18.0,,,113-85,2,V. Oladipo makes 2-pt shot from 3 ft (assist by A. Gordon)
6:11.0,Oklahoma City full timeout,,113-85,,
6:11.0,J. Lamb enters the game for D. Waiters,,113-85,,
6:11.0,P. Jones enters the game for K. Perkins,,113-85,,
6:11.0,I. Smith enters the game for R. Jackson,,113-85,,
6:01.0,P. Jones makes 2-pt shot from 3 ft (assist by N. Collison),2,115-85,,
5:45.0,,,115-87,2,A. Gordon makes 2-pt shot from 3 ft
5:45.0,,,115-87,,Shooting foul by N. Collison (drawn by A. Gordon)
5:45.0,,,115-87,,A. Gordon misses free throw 1 of 1
5:44.0,Defensive rebound by P. Jones,,115-87,,
5:23.0,J. Lamb misses 2-pt shot from 18 ft,,115-87,,
5:21.0,,,115-87,,Defensive rebound by K. O'Quinn
4:59.0,,,115-90,3,A. Gordon makes 3-pt shot from 24 ft
4:36.0,P. Jones misses 3-pt shot from 25 ft,,115-90,,
4:34.0,,,115-90,,Defensive rebound by K. O'Quinn
4:25.0,,,115-90,,E. Payton misses 2-pt shot from 6 ft
4:24.0,Defensive rebound by I. Smith,,115-90,,
4:14.0,N. Collison makes 2-pt shot from 23 ft (assist by I. Smith),2,117-90,,
3:46.0,,,117-92,2,E. Payton makes 2-pt shot from 2 ft (assist by V. Oladipo)
3:38.0,,,117-92,,Personal foul by E. Payton (drawn by I. Smith)
3:38.0,,,117-92,,M. Harkless enters the game for C. Frye
3:38.0,,,117-92,,D. Marble enters the game for E. Payton
3:38.0,,,117-92,,W. Green enters the game for V. Oladipo
3:34.0,A. Morrow misses 3-pt shot from 25 ft,,117-92,,
3:33.0,,,117-92,,Defensive rebound by A. Gordon
3:19.0,,,117-92,,A. Gordon misses 2-pt shot from 7 ft
3:18.0,Defensive rebound by P. Jones,,117-92,,
3:09.0,I. Smith misses 2-pt shot from 8 ft,,117-92,,
3:08.0,Offensive rebound by A. Morrow,,117-92,,
3:03.0,A. Morrow makes 2-pt shot from 1 ft,2,119-92,,
2:57.0,,,119-94,2,M. Harkless makes 2-pt shot at rim (assist by D. Marble)
2:42.0,J. Lamb makes 2-pt shot at rim,2,121-94,,
2:31.0,,,121-94,,Turnover by K. O'Quinn (bad pass; steal by J. Lamb)
2:22.0,P. Jones misses 2-pt shot from 2 ft,,121-94,,
2:21.0,Offensive rebound by Team,,121-94,,
2:21.0,Official timeout,,121-94,,
2:21.0,,,121-94,,D. Dedmon enters the game for A. Gordon
2:15.0,J. Lamb makes 3-pt shot from 23 ft (assist by I. Smith),3,124-94,,
1:59.0,,,124-94,,W. Green misses 2-pt shot at rim
1:54.0,Defensive rebound by N. Collison,,124-94,,
1:46.0,I. Smith misses 2-pt shot from 1 ft,,124-94,,
1:44.0,,,124-94,,Defensive rebound by Team
1:35.0,,,124-94,,D. Marble misses 2-pt shot from 2 ft
1:32.0,Defensive rebound by J. Lamb,,124-94,,
1:22.0,Turnover by J. Lamb (lost ball),,124-94,,
1:01.0,,,124-94,,Turnover by M. Harkless (bad pass; steal by A. Morrow)
0:49.0,A. Morrow misses 3-pt shot from 27 ft,,124-94,,
0:48.0,,,124-94,,Defensive rebound by D. Dedmon
0:33.0,,,124-94,,D. Dedmon misses 2-pt shot from 9 ft
0:32.0,Defensive rebound by J. Lamb,,124-94,,
0:22.0,A. Morrow misses 2-pt shot from 7 ft,,124-94,,
0:22.0,,,124-94,,Defensive rebound by K. O'Quinn
0:15.0,,,124-97,3,W. Green makes 3-pt shot from 23 ft (assist by D. Marble)
0:08.0,,,124-97,,Personal foul by D. Dedmon (drawn by J. Lamb)
0:04.0,J. Lamb makes 3-pt shot from 31 ft (assist by A. Morrow),3,127-97,,
0:01.0,,,127-99,2,W. Green makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
