time,Orlando,pts.away,score,pts.home,Sacramento
0:17.0,E. Fournier makes 2-pt shot at rim (assist by E. Payton),2,103-93,,
0:12.0,,,103-96,3,D. Collison makes 3-pt shot from 25 ft
0:11.0,Orlando full timeout,,103-96,,
0:11.0,C. Frye enters the game for D. Dedmon,,103-96,,
0:11.0,,,103-96,,R. McCallum enters the game for J. Thompson
0:11.0,,,103-96,,Personal take foul by B. McLemore (drawn by T. Harris)
0:11.0,T. Harris makes free throw 1 of 2,1,104-96,,
0:11.0,T. Harris makes free throw 2 of 2,1,105-96,,
0:05.0,,,105-96,,Turnover by D. Collison (step out of bounds)
0:00.0,End of 4th quarter,,,,End of 4th quarter
