time,Minnesota,pts.away,score,pts.home,Memphis
3:41.0,,,94-93,1,M. Gasol makes free throw 1 of 2
3:41.0,M. Williams enters the game for S. Muhammad,,94-93,,
3:41.0,,,94-94,1,M. Gasol makes free throw 2 of 2
3:31.0,R. Rubio misses 2-pt shot from 20 ft,,94-94,,
3:30.0,Offensive rebound by C. Brewer,,94-94,,
3:27.0,Turnover by C. Brewer (lost ball; steal by C. Lee),,94-94,,
3:15.0,,,94-94,,Turnover by M. Gasol (lost ball; steal by R. Rubio)
3:00.0,T. Young makes 2-pt shot from 12 ft,2,96-94,,
2:36.0,,,96-96,2,M. Conley makes 2-pt shot at rim
2:20.0,Turnover by R. Rubio (lost ball),,96-96,,
1:58.0,,,96-96,,M. Conley misses 3-pt shot from 25 ft
1:57.0,,,96-96,,Offensive rebound by Z. Randolph
1:57.0,,,96-98,2,Z. Randolph makes 2-pt shot at rim
1:45.0,R. Rubio misses 2-pt shot from 1 ft,,96-98,,
1:44.0,,,96-98,,Defensive rebound by M. Gasol
1:40.0,,,96-98,,M. Conley misses flagrant free throw 1 of 2
1:40.0,,,96-98,,Offensive rebound by Team
1:40.0,,,96-99,1,M. Conley makes flagrant free throw 2 of 2
1:23.0,,,96-101,2,M. Gasol makes 2-pt shot from 21 ft (assist by M. Conley)
1:02.0,M. Williams makes 3-pt shot from 26 ft (assist by R. Rubio),3,99-101,,
0:43.0,,,99-101,,Shooting foul by M. Williams (drawn by M. Gasol)
0:43.0,,,99-102,1,M. Gasol makes free throw 1 of 2
0:43.0,,,99-102,,Q. Pondexter enters the game for Z. Randolph
0:43.0,,,99-103,1,M. Gasol makes free throw 2 of 2
0:43.0,Minnesota full timeout,,99-103,,
0:32.0,Shooting foul by T. Allen (drawn by T. Young),,99-103,,
0:32.0,T. Young makes free throw 1 of 2,1,100-103,,
0:32.0,,,100-103,,Z. Randolph enters the game for Q. Pondexter
0:32.0,G. Dieng enters the game for N. Pekovic,,100-103,,
0:32.0,T. Young makes free throw 2 of 2,1,101-103,,
0:32.0,,,101-103,,Memphis full timeout
0:32.0,,,101-103,,V. Carter enters the game for T. Allen
0:07.0,,,101-103,,Shooting foul by R. Rubio (drawn by V. Carter)
0:07.0,,,101-104,1,V. Carter makes free throw 1 of 2
0:07.0,,,101-104,,T. Allen enters the game for Z. Randolph
0:07.0,,,101-105,1,V. Carter makes free throw 2 of 2
0:07.0,Minnesota full timeout,,101-105,,
0:07.0,C. Budinger enters the game for C. Brewer,,101-105,,
0:07.0,N. Pekovic enters the game for G. Dieng,,101-105,,
0:07.0,,,101-105,,Q. Pondexter enters the game for V. Carter
0:05.0,M. Williams misses 3-pt shot from 26 ft,,101-105,,
0:02.0,Offensive rebound by Team,,101-105,,
0:01.0,C. Budinger misses 2-pt shot from 18 ft,,101-105,,
0:00.0,Offensive rebound by Team,,101-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
