time,Chicago,pts.away,score,pts.home,Washington
0:58.0,A. Brooks misses 3-pt shot from 23 ft,,96-89,,
0:57.0,,,96-89,,Defensive rebound by P. Pierce
0:47.0,,,96-89,,P. Pierce misses 3-pt shot from 26 ft
0:46.0,,,96-89,,Offensive rebound by M. Gortat
0:41.0,,,96-89,,P. Pierce misses 2-pt shot from 2 ft
0:40.0,Defensive rebound by P. Gasol,,96-89,,
0:39.0,,,96-89,,Personal take foul by P. Pierce (drawn by P. Gasol)
0:39.0,P. Gasol makes free throw 1 of 2,1,97-89,,
0:39.0,P. Gasol makes free throw 2 of 2,1,98-89,,
0:39.0,,,98-89,,Washington full timeout
0:34.0,Personal foul by J. Butler (drawn by M. Gortat),,98-89,,
0:34.0,,,98-90,1,M. Gortat makes free throw 1 of 2
0:34.0,,,98-91,1,M. Gortat makes free throw 2 of 2
0:32.0,,,98-91,,Personal foul by B. Beal (drawn by A. Brooks)
0:32.0,A. Brooks makes free throw 1 of 2,1,99-91,,
0:32.0,A. Brooks misses free throw 2 of 2,,99-91,,
0:31.0,,,99-91,,Defensive rebound by M. Gortat
0:21.0,,,99-91,,M. Gortat misses 2-pt shot at rim (block by J. Noah)
0:19.0,Defensive rebound by P. Gasol,,99-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
