time,Charlotte,pts.away,score,pts.home,Houston
3:47.0,Shooting foul by T. Ariza (drawn by G. Henderson),,77-91,,
3:47.0,G. Henderson makes free throw 1 of 2,1,78-91,,
3:47.0,G. Henderson makes free throw 2 of 2,1,79-91,,
3:31.0,,,79-94,3,J. Harden makes 3-pt shot from 23 ft (assist by T. Ariza)
3:16.0,M. Kidd-Gilchrist misses 2-pt shot from 17 ft,,79-94,,
3:15.0,,,79-94,,Defensive rebound by D. Howard
3:03.0,Personal foul by G. Henderson (drawn by J. Harden),,79-94,,
2:54.0,,,79-96,2,J. Harden makes 2-pt shot from 16 ft
2:39.0,G. Henderson misses 3-pt shot from 25 ft,,79-96,,
2:38.0,,,79-96,,Defensive rebound by J. Terry
2:30.0,,,79-99,3,J. Harden makes 3-pt shot from 27 ft
2:29.0,Charlotte full timeout,,79-99,,
2:29.0,N. Vonleh enters the game for G. Henderson,,79-99,,
2:29.0,B. Roberts enters the game for K. Walker,,79-99,,
2:29.0,P. Hairston enters the game for G. Neal,,79-99,,
2:29.0,,,79-99,,D. Motiejunas enters the game for T. Ariza
2:29.0,,,79-99,,J. Dorsey enters the game for J. Smith
2:29.0,,,79-99,,I. Canaan enters the game for D. Howard
2:29.0,,,79-99,,N. Johnson enters the game for J. Harden
2:29.0,,,79-99,,K. Papanikolaou enters the game for J. Terry
2:15.0,P. Hairston misses 2-pt shot from 19 ft,,79-99,,
2:14.0,Offensive rebound by M. Kidd-Gilchrist,,79-99,,
2:12.0,Shooting foul by D. Motiejunas (drawn by M. Kidd-Gilchrist),,79-99,,
2:12.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,80-99,,
2:12.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,81-99,,
1:54.0,,,81-99,,K. Papanikolaou misses 2-pt shot from 5 ft (block by M. Kidd-Gilchrist)
1:52.0,Defensive rebound by M. Kidd-Gilchrist,,81-99,,
1:48.0,M. Kidd-Gilchrist makes 2-pt shot from 3 ft,2,83-99,,
1:35.0,,,83-99,,I. Canaan misses 3-pt shot from 24 ft
1:34.0,Defensive rebound by B. Biyombo,,83-99,,
1:22.0,B. Roberts misses 2-pt shot from 21 ft,,83-99,,
1:21.0,,,83-99,,Defensive rebound by J. Dorsey
1:07.0,,,83-99,,D. Motiejunas misses 3-pt shot from 22 ft
1:05.0,,,83-99,,Offensive rebound by I. Canaan
0:49.0,,,83-102,3,N. Johnson makes 3-pt shot from 25 ft (assist by D. Motiejunas)
0:40.0,P. Hairston misses 3-pt shot from 25 ft,,83-102,,
0:39.0,,,83-102,,Defensive rebound by I. Canaan
0:19.0,,,83-102,,I. Canaan misses 3-pt shot from 25 ft
0:17.0,Defensive rebound by N. Vonleh,,83-102,,
0:11.0,B. Roberts misses 3-pt shot from 25 ft,,83-102,,
0:10.0,Offensive rebound by B. Biyombo,,83-102,,
0:02.0,N. Vonleh misses 2-pt shot from 19 ft,,83-102,,
0:01.0,Offensive rebound by P. Hairston,,83-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
