time,Brooklyn,pts.away,score,pts.home,Golden State
5:16.0,Shooting foul by S. Curry (drawn by J. Jack),,88-96,,
5:16.0,J. Jack makes free throw 1 of 2,1,89-96,,
5:16.0,,,89-96,,L. Barbosa enters the game for S. Curry
5:16.0,J. Jack makes free throw 2 of 2,1,90-96,,
4:58.0,,,90-96,,K. Thompson misses 2-pt shot from 15 ft
4:57.0,,,90-96,,Offensive rebound by L. Barbosa
4:39.0,,,90-98,2,K. Thompson makes 2-pt shot from 1 ft
4:26.0,Turnover by J. Jack (lost ball; steal by A. Bogut),,90-98,,
4:25.0,Personal foul by J. Jack (drawn by D. Green),,90-98,,
4:25.0,J. Johnson enters the game for M. Teletovic,,90-98,,
4:25.0,D. Williams enters the game for B. Bogdanovic,,90-98,,
4:10.0,,,90-98,,D. Green misses 3-pt shot from 27 ft
4:08.0,Defensive rebound by D. Williams,,90-98,,
3:58.0,B. Lopez makes 2-pt shot from 1 ft (assist by A. Anderson),2,92-98,,
3:33.0,,,92-98,,K. Thompson misses 2-pt shot from 15 ft
3:32.0,Defensive rebound by A. Anderson,,92-98,,
3:18.0,B. Lopez misses 2-pt shot from 6 ft,,92-98,,
3:17.0,,,92-98,,Defensive rebound by D. Green
3:11.0,,,92-100,2,L. Barbosa makes 2-pt shot at rim (assist by A. Iguodala)
2:47.0,B. Lopez makes 2-pt shot from 16 ft,2,94-100,,
2:32.0,,,94-103,3,K. Thompson makes 3-pt shot from 27 ft (assist by A. Bogut)
2:06.0,A. Anderson misses 3-pt shot from 26 ft,,94-103,,
2:05.0,,,94-103,,Defensive rebound by K. Thompson
1:43.0,,,94-103,,A. Iguodala misses 3-pt shot from 25 ft
1:42.0,Defensive rebound by J. Jack,,94-103,,
1:31.0,J. Jack makes 2-pt shot from 17 ft,2,96-103,,
1:15.0,,,96-105,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
1:06.0,Turnover by D. Williams (lost ball; steal by K. Thompson),,96-105,,
1:06.0,,,96-105,,S. Curry enters the game for L. Barbosa
0:47.0,,,96-105,,K. Thompson misses 3-pt shot from 23 ft
0:46.0,Defensive rebound by Team,,96-105,,
0:45.0,Brooklyn full timeout,,96-105,,
0:45.0,,,96-105,,H. Barnes enters the game for A. Bogut
0:40.0,D. Williams misses 2-pt shot from 2 ft,,96-105,,
0:40.0,Offensive rebound by B. Lopez,,96-105,,
0:40.0,B. Lopez misses 2-pt shot from 1 ft,,96-105,,
0:39.0,,,96-105,,Defensive rebound by Team
0:35.0,Personal take foul by J. Jack (drawn by S. Curry),,96-105,,
0:16.0,,,96-105,,D. Green misses 2-pt shot from 1 ft
0:15.0,Defensive rebound by B. Lopez,,96-105,,
0:11.0,D. Williams makes 3-pt shot from 28 ft,3,99-105,,
0:10.0,Personal take foul by J. Johnson (drawn by S. Curry),,99-105,,
0:10.0,J. Gutierrez enters the game for B. Lopez,,99-105,,
0:10.0,C. Jefferson enters the game for D. Williams,,99-105,,
0:10.0,,,99-106,1,S. Curry makes free throw 1 of 2
0:10.0,,,99-107,1,S. Curry makes free throw 2 of 2
0:05.0,A. Anderson misses 3-pt shot from 24 ft,,99-107,,
0:03.0,Offensive rebound by C. Jefferson,,99-107,,
0:02.0,C. Jefferson misses 2-pt shot from 13 ft,,99-107,,
0:00.0,,,99-107,,Defensive rebound by D. Green
0:00.0,End of 4th quarter,,,,End of 4th quarter
