time,Denver,pts.away,score,pts.home,Charlotte
3:09.0,G. Harris makes free throw 2 of 2,1,76-102,,
2:48.0,,,76-104,2,J. Maxiell makes 2-pt shot from 8 ft (assist by J. Pargo)
2:26.0,N. Robinson misses 2-pt shot from 17 ft,,76-104,,
2:24.0,,,76-104,,Defensive rebound by M. Kidd-Gilchrist
2:14.0,,,76-104,,J. Taylor misses 3-pt shot from 23 ft
2:12.0,Defensive rebound by J. Nurkic,,76-104,,
1:59.0,A. Gee misses 2-pt shot from 16 ft,,76-104,,
1:58.0,,,76-104,,Defensive rebound by J. Maxiell
1:58.0,Personal foul by J. Nurkic (drawn by J. Maxiell),,76-104,,
1:52.0,Personal foul by J. Nurkic (drawn by J. Maxiell),,76-104,,
1:52.0,,,76-104,,J. Maxiell misses free throw 1 of 2
1:52.0,,,76-104,,Offensive rebound by Team
1:52.0,,,76-105,1,J. Maxiell makes free throw 2 of 2
1:35.0,,,76-105,,Violation by J. Taylor (def goaltending)
1:35.0,J. Nurkic makes 2-pt shot from 6 ft,2,78-105,,
1:21.0,,,78-105,,Shooting foul by N. Robinson (drawn by J. Taylor)
1:21.0,,,78-105,,J. Taylor misses free throw 1 of 2
1:21.0,,,78-105,,Offensive rebound by Team
1:21.0,,,78-105,,J. Taylor misses free throw 2 of 2
1:19.0,Defensive rebound by A. Gee,,78-105,,
0:58.0,N. Robinson makes 2-pt shot from 1 ft,2,80-105,,
0:52.0,,,80-108,3,B. Roberts makes 3-pt shot from 25 ft
0:35.0,Shooting foul by M. Kidd-Gilchrist (drawn by A. Gee),,80-108,,
0:35.0,A. Gee makes free throw 1 of 2,1,81-108,,
0:35.0,A. Gee makes free throw 2 of 2,1,82-108,,
0:21.0,,,82-110,2,J. Maxiell makes 2-pt shot from 6 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
