time,Memphis,pts.away,score,pts.home,Charlotte
2:36.0,,,64-66,1,A. Jefferson makes free throw 2 of 2
2:21.0,Z. Randolph makes 2-pt shot at rim (assist by M. Conley),2,66-66,,
2:02.0,,,66-68,2,A. Jefferson makes 2-pt shot from 9 ft
1:49.0,M. Conley makes 2-pt shot from 17 ft,2,68-68,,
1:28.0,,,68-68,,G. Neal misses 3-pt shot from 28 ft
1:24.0,Defensive rebound by T. Allen,,68-68,,
1:09.0,Turnover by M. Conley (bad pass; steal by K. Walker),,68-68,,
1:08.0,Personal foul by T. Allen (drawn by M. Kidd-Gilchrist),,68-68,,
1:08.0,,,68-68,,M. Kidd-Gilchrist misses free throw 1 of 2
1:08.0,,,68-68,,Offensive rebound by Team
1:08.0,,,68-69,1,M. Kidd-Gilchrist makes free throw 2 of 2
0:59.0,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley),2,70-69,,
0:59.0,Shooting foul by M. Williams (drawn by M. Gasol),,70-69,,
0:59.0,T. Prince enters the game for B. Udrih,,70-69,,
0:59.0,M. Gasol makes free throw 1 of 1,1,71-69,,
0:41.0,,,71-69,,Turnover by A. Jefferson (traveling)
0:41.0,B. Udrih enters the game for T. Prince,,71-69,,
0:18.0,Z. Randolph misses 2-pt shot from 8 ft,,71-69,,
0:17.0,,,71-69,,Defensive rebound by A. Jefferson
0:13.0,,,71-69,,Charlotte full timeout
0:13.0,Q. Pondexter enters the game for Z. Randolph,,71-69,,
0:13.0,T. Prince enters the game for B. Udrih,,71-69,,
0:09.0,,,71-69,,Charlotte full timeout
0:03.0,,,71-69,,K. Walker misses 2-pt shot from 16 ft
0:02.0,Defensive rebound by T. Prince,,71-69,,
0:02.0,Memphis full timeout,,71-69,,
0:02.0,Z. Randolph enters the game for T. Prince,,71-69,,
0:02.0,V. Carter enters the game for T. Allen,,71-69,,
0:02.0,B. Udrih enters the game for Q. Pondexter,,71-69,,
0:02.0,,,71-69,,C. Zeller enters the game for A. Jefferson
0:02.0,,,71-69,,G. Henderson enters the game for G. Neal
0:02.0,Memphis full timeout,,71-69,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
