time,Phoenix,pts.away,score,pts.home,New Orleans
5:12.0,E. Bledsoe misses free throw 1 of 2,,89-95,,
5:12.0,Offensive rebound by Team,,89-95,,
5:12.0,E. Bledsoe makes free throw 2 of 2,1,90-95,,
4:56.0,,,90-95,,D. Cunningham misses 2-pt shot from 20 ft
4:55.0,Defensive rebound by G. Dragic,,90-95,,
4:48.0,M. Morris makes 2-pt shot at rim (assist by G. Dragic),2,92-95,,
4:48.0,Shooting foul by J. Holiday (drawn by M. Morris),,92-95,,
4:48.0,M. Morris makes free throw 1 of 1,1,93-95,,
4:34.0,,,93-95,,T. Evans misses 2-pt shot from 2 ft
4:33.0,Defensive rebound by P. Tucker,,93-95,,
4:33.0,,,93-95,,Personal foul by T. Evans (drawn by P. Tucker)
4:33.0,P. Tucker makes free throw 1 of 2,1,94-95,,
4:33.0,P. Tucker makes free throw 2 of 2,1,95-95,,
4:18.0,,,95-98,3,J. Holiday makes 3-pt shot from 25 ft
4:01.0,Turnover by I. Thomas (traveling),,95-98,,
3:45.0,,,95-98,,R. Anderson misses 2-pt shot from 2 ft
3:44.0,Defensive rebound by P. Tucker,,95-98,,
3:30.0,M. Morris makes 2-pt shot from 9 ft,2,97-98,,
3:16.0,,,97-98,,Turnover by J. Holiday (lost ball; steal by I. Thomas)
3:13.0,,,97-98,,Shooting block foul by R. Anderson (drawn by G. Dragic)
3:13.0,G. Dragic makes free throw 1 of 2,1,98-98,,
3:13.0,G. Dragic misses free throw 2 of 2,,98-98,,
3:12.0,,,98-98,,Defensive rebound by A. Davis
2:52.0,,,98-98,,R. Anderson misses 3-pt shot from 25 ft
2:51.0,Defensive rebound by G. Dragic,,98-98,,
2:33.0,G. Dragic misses 3-pt shot from 25 ft,,98-98,,
2:32.0,,,98-98,,Defensive rebound by A. Davis
2:27.0,,,98-98,,New Orleans full timeout
2:27.0,Phoenix full timeout,,98-98,,
2:27.0,,,98-98,,J. Fredette enters the game for D. Cunningham
