time,Philadelphia,pts.away,score,pts.home,Memphis
5:02.0,,,77-94,,Turnover by J. Leuer (lost ball; steal by F. Aldemir)
4:56.0,Philadelphia full timeout,,77-94,,
4:56.0,M. Thomas enters the game for J. Sampson,,77-94,,
4:56.0,L. Drew enters the game for F. Aldemir,,77-94,,
4:43.0,Shooting foul by B. Udrih (drawn by J. Grant),,77-94,,
4:43.0,J. Grant makes free throw 1 of 2,1,78-94,,
4:43.0,J. Grant misses free throw 2 of 2,,78-94,,
4:40.0,,,78-94,,Defensive rebound by J. Leuer
4:27.0,Personal foul by H. Thompson (drawn by K. Koufos),,78-94,,
4:27.0,K. McDaniels enters the game for H. Thompson,,78-94,,
4:16.0,,,78-96,2,V. Carter makes 2-pt shot at rim
3:56.0,Turnover by M. Thomas (lost ball; steal by V. Carter),,78-96,,
3:43.0,Personal foul by M. Thomas (drawn by B. Udrih),,78-96,,
3:33.0,,,78-96,,B. Udrih misses 3-pt shot from 25 ft
3:32.0,Defensive rebound by J. Grant,,78-96,,
3:23.0,Turnover by M. Thomas (bad pass),,78-96,,
3:23.0,F. Aldemir enters the game for N. Noel,,78-96,,
3:15.0,,,78-96,,K. Koufos misses 2-pt shot from 9 ft
3:14.0,Defensive rebound by M. Thomas,,78-96,,
3:02.0,,,78-96,,Personal foul by N. Calathes (drawn by K. McDaniels)
3:02.0,K. McDaniels misses free throw 1 of 2,,78-96,,
3:02.0,Offensive rebound by Team,,78-96,,
3:02.0,K. McDaniels makes free throw 2 of 2,1,79-96,,
2:48.0,,,79-98,2,N. Calathes makes 2-pt shot from 2 ft (assist by B. Udrih)
2:33.0,Turnover by L. Drew (bad pass),,79-98,,
2:33.0,,,79-98,,Memphis full timeout
2:17.0,,,79-98,,J. Leuer misses 2-pt shot from 13 ft
2:16.0,Defensive rebound by K. McDaniels,,79-98,,
2:06.0,L. Drew makes 2-pt shot from 19 ft (assist by F. Aldemir),2,81-98,,
1:51.0,,,81-98,,B. Udrih misses 2-pt shot from 4 ft
1:49.0,Defensive rebound by F. Aldemir,,81-98,,
1:29.0,L. Drew misses 2-pt shot from 20 ft,,81-98,,
1:28.0,,,81-98,,Defensive rebound by N. Calathes
1:11.0,,,81-98,,Turnover by J. Leuer (bad pass; steal by K. McDaniels)
1:05.0,Turnover by K. McDaniels (lost ball; steal by N. Calathes),,81-98,,
1:02.0,,,81-98,,Shooting foul by J. Grant (drawn by K. Koufos)
1:02.0,,,81-98,,K. Koufos misses free throw 1 of 2
1:02.0,,,81-98,,Offensive rebound by Team
1:02.0,,,81-99,1,K. Koufos makes free throw 2 of 2
0:50.0,K. McDaniels misses 2-pt shot from 6 ft,,81-99,,
0:49.0,Offensive rebound by M. Thomas,,81-99,,
0:44.0,K. McDaniels misses 3-pt shot from 23 ft,,81-99,,
0:42.0,,,81-99,,Defensive rebound by V. Carter
0:24.0,,,81-101,2,N. Calathes makes 2-pt shot from 7 ft
0:08.0,J. Grant makes 2-pt shot at rim,2,83-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
