time,Oklahoma City,pts.away,score,pts.home,Chicago
1:47.0,Jump ball: P. Gasol vs. S. Ibaka (N. Mirotic gains possession),,,,Jump ball: P. Gasol vs. S. Ibaka (N. Mirotic gains possession)
1:41.0,,,100-99,,P. Gasol misses 2-pt shot from 19 ft
1:40.0,Defensive rebound by R. Westbrook,,100-99,,
1:34.0,R. Westbrook misses 2-pt shot from 22 ft,,100-99,,
1:33.0,,,100-99,,Defensive rebound by P. Gasol
1:10.0,,,100-99,,A. Brooks misses 2-pt shot from 2 ft
1:09.0,Defensive rebound by R. Westbrook,,100-99,,
1:07.0,,,100-99,,Personal foul by E. Moore (drawn by R. Westbrook)
1:07.0,R. Westbrook makes free throw 1 of 2,1,101-99,,
1:07.0,R. Westbrook misses free throw 2 of 2,,101-99,,
1:06.0,Offensive rebound by E. Kanter,,101-99,,
1:06.0,E. Kanter makes 2-pt shot from 2 ft,2,103-99,,
1:06.0,,,103-99,,Chicago full timeout
1:00.0,,,103-102,3,N. Mirotic makes 3-pt shot from 25 ft (assist by M. Dunleavy)
0:38.0,R. Westbrook makes 2-pt shot from 21 ft,2,105-102,,
0:37.0,,,105-102,,Chicago full timeout
0:29.0,Personal foul by S. Ibaka (drawn by N. Mirotic),,105-102,,
0:29.0,,,105-103,1,N. Mirotic makes free throw 1 of 2
0:29.0,,,105-103,,J. Noah enters the game for P. Gasol
0:29.0,,,105-103,,T. Snell enters the game for A. Brooks
0:29.0,,,105-104,1,N. Mirotic makes free throw 2 of 2
0:29.0,Oklahoma City full timeout,,105-104,,
0:29.0,D. Augustin enters the game for A. Roberson,,105-104,,
0:05.0,R. Westbrook misses 2-pt shot from 22 ft,,105-104,,
0:05.0,Offensive rebound by E. Kanter,,105-104,,
0:05.0,Turnover by Team (shot clock),,105-104,,
0:05.0,,,105-104,,Chicago full timeout
0:05.0,P. Jones enters the game for E. Kanter,,105-104,,
0:05.0,A. Roberson enters the game for D. Augustin,,105-104,,
0:05.0,,,105-104,,P. Gasol enters the game for J. Noah
0:02.0,,,105-107,3,E. Moore makes 3-pt shot from 22 ft (assist by P. Gasol)
0:02.0,Oklahoma City full timeout,,105-107,,
0:02.0,A. Morrow enters the game for A. Roberson,,105-107,,
0:02.0,D. Augustin enters the game for P. Jones,,105-107,,
0:02.0,,,105-107,,J. Noah enters the game for P. Gasol
0:01.0,Turnover by R. Westbrook (step out of bounds),,105-107,,
0:00.0,Personal foul by R. Westbrook (drawn by N. Mirotic),,105-107,,
0:00.0,,,105-108,1,N. Mirotic makes free throw 1 of 2
0:00.0,,,105-108,,N. Mirotic misses free throw 2 of 2
0:00.0,Defensive rebound by S. Ibaka,,105-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
