time,Atlanta,pts.away,score,pts.home,Charlotte
5:24.0,T. Sefolosha enters the game for P. Antic,,34-34,,
5:22.0,Personal block foul by J. Teague (drawn by K. Walker),,34-34,,
5:12.0,,,34-34,,K. Walker misses 2-pt shot from 15 ft
5:11.0,,,34-34,,Offensive rebound by A. Jefferson
5:11.0,,,34-36,2,A. Jefferson makes 2-pt shot from 1 ft
4:59.0,A. Horford makes 2-pt shot from 15 ft (assist by J. Teague),2,36-36,,
4:41.0,,,36-38,2,A. Jefferson makes 2-pt shot from 1 ft
4:27.0,A. Horford makes 2-pt shot from 2 ft,2,38-38,,
4:27.0,Shooting foul by M. Kidd-Gilchrist (drawn by A. Horford),,38-38,,
4:27.0,A. Horford misses free throw 1 of 1,,38-38,,
4:26.0,,,38-38,,Defensive rebound by A. Jefferson
4:08.0,,,38-38,,A. Jefferson misses 2-pt shot from 9 ft
4:07.0,Defensive rebound by A. Horford,,38-38,,
3:57.0,A. Horford makes 2-pt shot from 18 ft (assist by J. Teague),2,40-38,,
3:40.0,,,40-40,2,M. Kidd-Gilchrist makes 2-pt shot from 13 ft (assist by L. Stephenson)
3:32.0,Turnover by J. Teague (bad pass; steal by K. Walker),,40-40,,
3:25.0,,,40-42,2,K. Walker makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist)
3:03.0,D. Carroll misses 3-pt shot from 23 ft,,40-42,,
3:02.0,,,40-42,,Defensive rebound by M. Kidd-Gilchrist
2:47.0,,,40-44,2,L. Stephenson makes 2-pt shot from 1 ft
2:47.0,,,40-44,,Shooting foul by T. Sefolosha (drawn by L. Stephenson)
2:47.0,,,40-44,,Charlotte full timeout
2:47.0,K. Korver enters the game for T. Sefolosha,,40-44,,
2:47.0,,,40-45,1,L. Stephenson makes free throw 1 of 1
2:35.0,,,40-45,,Personal foul by K. Walker (drawn by J. Teague)
2:35.0,,,40-45,,G. Neal enters the game for M. Kidd-Gilchrist
2:24.0,J. Teague makes 2-pt shot from 1 ft,2,42-45,,
2:08.0,,,42-45,,L. Stephenson misses 2-pt shot from 9 ft
2:07.0,Defensive rebound by A. Horford,,42-45,,
