time,Philadelphia,pts.away,score,pts.home,Phoenix
5:20.0,,,89-100,,M. Morris misses 3-pt shot from 23 ft
5:19.0,Defensive rebound by L. Mbah a Moute,,89-100,,
5:09.0,,,89-100,,Personal block foul by I. Thomas (drawn by T. Wroten)
5:03.0,T. Wroten misses 3-pt shot from 25 ft,,89-100,,
5:02.0,,,89-100,,Defensive rebound by M. Morris
4:50.0,,,89-102,2,M. Morris makes 2-pt shot from 9 ft
4:31.0,Turnover by T. Wroten (lost ball; steal by M. Morris),,89-102,,
4:27.0,Personal foul by J. Grant (drawn by I. Thomas),,89-102,,
4:06.0,,,89-102,,Turnover by I. Thomas (lost ball; steal by R. Covington)
4:06.0,,,89-102,,Personal foul by I. Thomas (drawn by R. Covington)
3:48.0,T. Wroten misses 3-pt shot from 23 ft,,89-102,,
3:47.0,,,89-102,,Defensive rebound by I. Thomas
3:42.0,,,89-104,2,I. Thomas makes 2-pt shot at rim (assist by G. Dragic)
3:20.0,T. Wroten makes 2-pt shot at rim (assist by R. Covington),2,91-104,,
3:08.0,,,91-107,3,E. Bledsoe makes 3-pt shot from 23 ft (assist by I. Thomas)
2:41.0,Shooting foul by M. Morris (drawn by J. Grant),,91-107,,
2:41.0,Official timeout,,91-107,,
2:41.0,,,91-107,,Z. Dragic enters the game for I. Thomas
2:41.0,J. Grant makes free throw 1 of 2,1,92-107,,
2:41.0,J. Grant makes free throw 2 of 2,1,93-107,,
2:30.0,,,93-107,,Z. Dragic misses 3-pt shot from 23 ft
2:29.0,Defensive rebound by R. Covington,,93-107,,
2:16.0,R. Covington misses 2-pt shot from 9 ft,,93-107,,
2:14.0,,,93-107,,Defensive rebound by Z. Dragic
2:11.0,,,93-109,2,G. Dragic makes 2-pt shot at rim (assist by Z. Dragic)
2:10.0,Philadelphia full timeout,,93-109,,
2:10.0,,,93-109,,Phoenix full timeout
2:10.0,K. McDaniels enters the game for R. Covington,,93-109,,
2:10.0,F. Aldemir enters the game for L. Mbah a Moute,,93-109,,
2:10.0,J. Sampson enters the game for M. Carter-Williams,,93-109,,
2:10.0,M. Thomas enters the game for T. Wroten,,93-109,,
2:10.0,,,93-109,,S. Randolph enters the game for M. Morris
2:10.0,,,93-109,,T. Warren enters the game for E. Bledsoe
2:10.0,,,93-109,,A. Goodwin enters the game for M. Morris
1:51.0,F. Aldemir misses 2-pt shot from 20 ft,,93-109,,
1:50.0,Offensive rebound by J. Grant,,93-109,,
1:45.0,J. Sampson misses 3-pt shot from 24 ft,,93-109,,
1:45.0,Offensive rebound by Team,,93-109,,
1:45.0,,,93-109,,Loose ball foul by Z. Dragic (drawn by M. Thomas)
1:45.0,M. Thomas makes free throw 1 of 2,1,94-109,,
1:45.0,M. Thomas misses free throw 2 of 2,,94-109,,
1:44.0,,,94-109,,Defensive rebound by G. Dragic
1:27.0,,,94-109,,Turnover by S. Randolph (lost ball; steal by M. Thomas)
1:14.0,J. Sampson makes 2-pt shot from 4 ft,2,96-109,,
0:59.0,,,96-109,,A. Goodwin misses 2-pt shot from 2 ft (block by F. Aldemir)
0:59.0,,,96-109,,Offensive rebound by Team
0:49.0,,,96-109,,Z. Dragic misses 2-pt shot from 2 ft
0:48.0,Defensive rebound by M. Thomas,,96-109,,
0:39.0,Turnover by J. Sampson (lost ball; steal by G. Dragic),,96-109,,
0:36.0,,,96-111,2,Z. Dragic makes 2-pt shot from 1 ft (assist by G. Dragic)
0:36.0,,,96-111,,Shooting foul by J. Grant (drawn by Z. Dragic)
0:36.0,,,96-112,1,Z. Dragic makes free throw 1 of 1
0:15.0,,,96-112,,Personal foul by A. Goodwin (drawn by J. Sampson)
0:15.0,J. Sampson misses free throw 1 of 2,,96-112,,
0:15.0,Offensive rebound by Team,,96-112,,
0:15.0,J. Sampson misses free throw 2 of 2,,96-112,,
0:15.0,,,96-112,,Defensive rebound by G. Dragic
0:00.0,End of 4th quarter,,,,End of 4th quarter
