time,San Antonio,pts.away,score,pts.home,Minnesota
4:36.0,,,105-80,,A. Wiggins misses 2-pt shot from 1 ft
4:35.0,Defensive rebound by A. Daye,,105-80,,
4:18.0,A. Baynes makes 2-pt shot from 2 ft (assist by D. Green),2,107-80,,
4:16.0,,,107-80,,Minnesota full timeout
4:16.0,,,107-80,,G. Robinson enters the game for A. Wiggins
4:06.0,,,107-80,,C. Budinger misses 2-pt shot from 19 ft
4:04.0,,,107-80,,Offensive rebound by R. Hummel
4:01.0,,,107-80,,C. Budinger misses 2-pt shot from 3 ft (block by A. Baynes)
3:59.0,Defensive rebound by A. Baynes,,107-80,,
3:40.0,A. Baynes makes 2-pt shot from 1 ft (assist by J. Ayres),2,109-80,,
3:13.0,,,109-80,,R. Hummel misses 3-pt shot from 26 ft (block by D. Green)
3:13.0,,,109-80,,Offensive rebound by Team
3:13.0,,,109-80,,Turnover by Team (shot clock)
2:55.0,D. Green makes 3-pt shot from 23 ft,3,112-80,,
2:42.0,,,112-80,,Shooting foul by A. Baynes (drawn by A. Bennett)
2:42.0,,,112-80,,A. Bennett misses free throw 1 of 2
2:42.0,,,112-80,,Offensive rebound by Team
2:42.0,,,112-81,1,A. Bennett makes free throw 2 of 2
2:29.0,J. Ayres makes 2-pt shot from 1 ft (assist by K. Anderson),2,114-81,,
2:18.0,,,114-83,2,C. Budinger makes 2-pt shot from 14 ft
2:04.0,A. Daye makes 3-pt shot from 26 ft,3,117-83,,
1:52.0,,,117-86,3,Z. LaVine makes 3-pt shot from 24 ft
1:38.0,Offensive charge foul by A. Baynes,,117-86,,
1:38.0,Turnover by A. Baynes (offensive foul),,117-86,,
1:26.0,,,117-88,2,R. Hummel makes 2-pt shot from 18 ft (assist by G. Robinson)
1:09.0,A. Baynes misses 2-pt shot from 14 ft,,117-88,,
1:07.0,Offensive rebound by D. Green,,117-88,,
0:49.0,K. Anderson misses 2-pt shot from 5 ft,,117-88,,
0:48.0,Offensive rebound by A. Baynes,,117-88,,
0:48.0,A. Baynes makes 2-pt shot at rim,2,119-88,,
0:36.0,,,119-88,,R. Hummel misses 3-pt shot from 22 ft
0:35.0,,,119-88,,Offensive rebound by G. Robinson
0:34.0,,,119-90,2,G. Robinson makes 2-pt shot at rim
0:22.0,J. Ayres makes 2-pt shot at rim (assist by A. Baynes),2,121-90,,
0:09.0,,,121-92,2,G. Robinson makes 2-pt shot from 14 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
