time,Phoenix,pts.away,score,pts.home,Philadelphia
6:13.0,,,107-78,,Offensive rebound by B. Davies
6:12.0,,,107-80,2,B. Davies makes 2-pt shot from 1 ft
6:04.0,Turnover by T. Warren (bad pass; steal by M. Carter-Williams),,107-80,,
6:00.0,,,107-82,2,M. Carter-Williams makes 2-pt shot from 2 ft
6:00.0,,,107-82,,Shooting foul by T. Warren (drawn by M. Carter-Williams)
6:00.0,,,107-82,,M. Carter-Williams misses free throw 1 of 1
5:59.0,Defensive rebound by A. Len,,107-82,,
5:41.0,A. Tolliver makes 3-pt shot from 25 ft (assist by A. Len),3,110-82,,
5:33.0,,,110-82,,Philadelphia full timeout
5:33.0,Official timeout,,110-82,,
5:33.0,,,110-82,,N. Noel enters the game for D. Gordon
5:33.0,,,110-82,,A. Shved enters the game for H. Thompson
5:26.0,,,110-82,,Turnover by M. Carter-Williams (bad pass; steal by A. Len)
5:12.0,T. Warren misses 2-pt shot from 17 ft,,110-82,,
5:10.0,,,110-82,,Defensive rebound by N. Noel
4:56.0,,,110-85,3,A. Shved makes 3-pt shot from 27 ft (assist by N. Noel)
4:38.0,A. Tolliver makes 3-pt shot from 24 ft (assist by I. Thomas),3,113-85,,
4:13.0,,,113-87,2,K. McDaniels makes 2-pt shot from 2 ft (assist by N. Noel)
4:02.0,I. Thomas misses 2-pt shot from 17 ft,,113-87,,
4:00.0,Offensive rebound by A. Len,,113-87,,
3:58.0,A. Len makes 2-pt shot from 10 ft,2,115-87,,
3:42.0,,,115-87,,A. Shved misses 3-pt shot from 23 ft
3:41.0,Defensive rebound by A. Tolliver,,115-87,,
3:29.0,A. Goodwin makes 3-pt shot from 25 ft (assist by I. Thomas),3,118-87,,
3:13.0,Personal foul by A. Goodwin (drawn by M. Carter-Williams),,118-87,,
3:13.0,,,118-88,1,M. Carter-Williams makes free throw 1 of 2
3:13.0,M. Plumlee enters the game for A. Len,,118-88,,
3:13.0,,,118-88,,D. Gordon enters the game for N. Noel
3:13.0,,,118-89,1,M. Carter-Williams makes free throw 2 of 2
2:58.0,A. Tolliver misses 3-pt shot from 25 ft,,118-89,,
2:57.0,,,118-89,,Defensive rebound by M. Carter-Williams
2:48.0,,,118-89,,Turnover by M. Carter-Williams (bad pass; steal by A. Goodwin)
2:45.0,A. Goodwin misses 2-pt shot from 1 ft,,118-89,,
2:43.0,Offensive rebound by I. Thomas,,118-89,,
2:40.0,I. Thomas makes 2-pt shot from 12 ft,2,120-89,,
2:40.0,,,120-89,,Philadelphia full timeout
2:40.0,,,120-89,,R. Covington enters the game for M. Carter-Williams
2:32.0,,,120-89,,Shooting foul by A. Goodwin (drawn by K. McDaniels)
2:32.0,,,120-90,1,K. McDaniels makes free throw 1 of 2
2:32.0,,,120-91,1,K. McDaniels makes free throw 2 of 2
2:22.0,A. Goodwin makes 2-pt shot at rim (assist by I. Thomas),2,122-91,,
2:09.0,Personal foul by A. Goodwin (drawn by B. Davies),,122-91,,
2:09.0,,,122-92,1,B. Davies makes free throw 1 of 2
2:09.0,S. Randolph enters the game for I. Thomas,,122-92,,
2:09.0,,,122-92,,B. Davies misses free throw 2 of 2
2:08.0,Defensive rebound by M. Plumlee,,122-92,,
1:55.0,Phoenix full timeout,,122-92,,
1:50.0,T. Warren misses 2-pt shot from 13 ft,,122-92,,
1:48.0,,,122-92,,Defensive rebound by K. McDaniels
1:34.0,,,122-94,2,K. McDaniels makes 2-pt shot from 16 ft
1:15.0,Turnover by T. Warren (bad pass; steal by R. Covington),,122-94,,
1:07.0,,,122-94,,R. Covington misses 2-pt shot from 8 ft
1:06.0,Defensive rebound by M. Plumlee,,122-94,,
0:50.0,A. Tolliver misses 3-pt shot from 24 ft,,122-94,,
0:47.0,,,122-94,,Defensive rebound by B. Davies
0:44.0,,,122-94,,Philadelphia full timeout
0:34.0,,,122-94,,D. Gordon misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by Team,,122-94,,
0:13.0,Turnover by A. Goodwin (bad pass; steal by R. Covington),,122-94,,
0:09.0,,,122-96,2,R. Covington makes 2-pt shot from 1 ft (assist by A. Shved)
0:00.0,End of 4th quarter,,,,End of 4th quarter
