time,Minnesota,pts.away,score,pts.home,Cleveland
5:52.0,,,93-109,,Shooting foul by Z. LaVine (drawn by D. Waiters)
5:52.0,,,93-110,1,D. Waiters makes free throw 1 of 2
5:52.0,G. Dieng enters the game for J. Adrien,,93-110,,
5:52.0,,,93-111,1,D. Waiters makes free throw 2 of 2
5:43.0,Turnover by Z. LaVine (bad pass; steal by D. Waiters),,93-111,,
5:39.0,,,93-111,,Turnover by D. Waiters (bad pass; steal by Z. LaVine)
5:36.0,S. Muhammad misses 2-pt shot from 1 ft (block by L. James),,93-111,,
5:36.0,Offensive rebound by Team,,93-111,,
5:36.0,A. Bennett enters the game for T. Young,,93-111,,
5:36.0,,,93-111,,K. Irving enters the game for D. Waiters
5:32.0,S. Muhammad misses 2-pt shot from 19 ft,,93-111,,
5:31.0,,,93-111,,Defensive rebound by K. Love
5:14.0,,,93-111,,K. Irving misses 2-pt shot from 9 ft
5:13.0,,,93-111,,Offensive rebound by K. Love
5:13.0,,,93-113,2,K. Love makes 2-pt shot at rim
5:13.0,,,93-113,,Shooting foul by A. Bennett (drawn by K. Love)
5:13.0,T. Daniels enters the game for S. Muhammad,,93-113,,
5:13.0,,,93-114,1,K. Love makes free throw 1 of 1
4:56.0,Z. LaVine misses 3-pt shot from 27 ft,,93-114,,
4:54.0,,,93-114,,Defensive rebound by K. Love
4:32.0,,,93-116,2,T. Thompson makes 2-pt shot from 1 ft
4:32.0,Minnesota full timeout,,93-116,,
4:32.0,R. Hummel enters the game for A. Bennett,,93-116,,
4:32.0,,,93-116,,D. Waiters enters the game for L. James
4:20.0,Z. LaVine makes 2-pt shot from 16 ft (assist by R. Hummel),2,95-116,,
4:06.0,Personal foul by G. Dieng (drawn by S. Marion),,95-116,,
4:06.0,,,95-116,,S. Marion misses free throw 1 of 2
4:06.0,,,95-116,,Offensive rebound by Team
4:06.0,,,95-116,,B. Haywood enters the game for T. Thompson
4:06.0,,,95-117,1,S. Marion makes free throw 2 of 2
3:48.0,A. Wiggins misses 2-pt shot from 19 ft,,95-117,,
3:47.0,,,95-117,,Defensive rebound by D. Waiters
3:37.0,,,95-117,,D. Waiters misses 2-pt shot at rim (block by G. Dieng)
3:36.0,Defensive rebound by Team,,95-117,,
3:36.0,,,95-117,,Loose ball foul by D. Waiters (drawn by G. Dieng)
3:36.0,G. Dieng makes free throw 1 of 2,1,96-117,,
3:36.0,,,96-117,,J. Jones enters the game for K. Love
3:36.0,G. Robinson enters the game for A. Wiggins,,96-117,,
3:36.0,G. Dieng makes free throw 2 of 2,1,97-117,,
3:12.0,,,97-117,,S. Marion misses 2-pt shot from 8 ft
3:12.0,Defensive rebound by G. Dieng,,97-117,,
3:12.0,,,97-117,,Personal foul by B. Haywood (drawn by G. Dieng)
3:12.0,G. Dieng makes free throw 1 of 2,1,98-117,,
3:12.0,,,98-117,,M. Dellavedova enters the game for K. Irving
3:12.0,,,98-117,,J. Harris enters the game for S. Marion
3:12.0,G. Dieng makes free throw 2 of 2,1,99-117,,
2:55.0,,,99-120,3,J. Jones makes 3-pt shot from 25 ft (assist by M. Dellavedova)
2:44.0,,,99-120,,Personal foul by J. Harris (drawn by G. Robinson)
2:44.0,G. Robinson makes free throw 1 of 2,1,100-120,,
2:44.0,J. Adrien enters the game for G. Dieng,,100-120,,
2:44.0,,,100-120,,A. Price enters the game for D. Waiters
2:44.0,G. Robinson misses free throw 2 of 2,,100-120,,
2:43.0,,,100-120,,Defensive rebound by A. Price
2:27.0,,,100-120,,J. Jones misses 3-pt shot from 26 ft
2:26.0,,,100-120,,Offensive rebound by M. Dellavedova
2:15.0,,,100-122,2,B. Haywood makes 2-pt shot from 11 ft (assist by J. Jones)
1:58.0,Turnover by G. Robinson (lost ball),,100-122,,
1:37.0,,,100-125,3,J. Harris makes 3-pt shot from 24 ft (assist by J. Jones)
1:27.0,T. Daniels misses 3-pt shot from 25 ft,,100-125,,
1:26.0,,,100-125,,Defensive rebound by J. Jones
1:01.0,,,100-125,,Turnover by M. Dellavedova (lost ball; steal by Z. LaVine)
0:56.0,R. Hummel makes 2-pt shot from 19 ft (assist by J. Adrien),2,102-125,,
0:39.0,,,102-125,,Turnover by B. Haywood (3 sec)
0:26.0,R. Hummel makes 2-pt shot at rim (assist by Z. LaVine),2,104-125,,
0:04.0,,,104-125,,M. Dellavedova misses 2-pt shot from 8 ft
0:02.0,Defensive rebound by R. Hummel,,104-125,,
0:00.0,Z. LaVine misses 2-pt shot from 1 ft,,104-125,,
0:00.0,Offensive rebound by Team,,104-125,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
