time,New Orleans,pts.away,score,pts.home,Atlanta
0:18.0,,,89-97,1,D. Carroll makes free throw 1 of 2
0:18.0,,,89-98,1,D. Carroll makes free throw 2 of 2
0:18.0,New Orleans full timeout,,89-98,,
0:13.0,A. Davis misses 2-pt shot at rim,,89-98,,
0:12.0,,,89-98,,Defensive rebound by D. Carroll
0:12.0,Personal take foul by R. Anderson (drawn by D. Carroll),,89-98,,
0:12.0,,,89-99,1,D. Carroll makes free throw 1 of 2
0:12.0,,,89-99,,M. Scott enters the game for P. Millsap
0:12.0,,,89-99,,D. Schroder enters the game for A. Horford
0:12.0,,,89-99,,P. Antic enters the game for K. Korver
0:12.0,,,89-99,,K. Bazemore enters the game for J. Teague
0:12.0,,,89-100,1,D. Carroll makes free throw 2 of 2
0:04.0,Shooting foul by D. Carroll (drawn by R. Anderson),,89-100,,
0:04.0,R. Anderson makes free throw 1 of 2,1,90-100,,
0:04.0,R. Anderson makes free throw 2 of 2,1,91-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
