time,Brooklyn,pts.away,score,pts.home,Milwaukee
4:12.0,Turnover by M. Plumlee (bad pass; steal by O. Mayo),,64-89,,
4:09.0,,,64-89,,Shooting foul by M. Brown (drawn by K. Middleton)
4:09.0,,,64-90,1,K. Middleton makes free throw 1 of 2
4:09.0,,,64-90,,J. Gutierrez enters the game for O. Mayo
4:09.0,,,64-91,1,K. Middleton makes free throw 2 of 2
3:56.0,M. Brown misses 2-pt shot from 3 ft (block by M. Plumlee),,64-91,,
3:53.0,,,64-91,,Defensive rebound by K. Middleton
3:43.0,,,64-91,,M. Plumlee misses 2-pt shot at rim
3:42.0,Defensive rebound by E. Clark,,64-91,,
3:36.0,Offensive charge foul by E. Clark,,64-91,,
3:36.0,Turnover by E. Clark (offensive foul),,64-91,,
3:36.0,,,64-91,,J. O'Bryant enters the game for K. Middleton
3:12.0,,,64-93,2,J. Gutierrez makes 2-pt shot from 19 ft (assist by T. Ennis)
2:51.0,M. Brown misses 2-pt shot from 7 ft,,64-93,,
2:49.0,,,64-93,,Defensive rebound by J. O'Bryant
2:29.0,,,64-93,,J. O'Bryant misses 2-pt shot from 16 ft
2:27.0,Defensive rebound by M. Plumlee,,64-93,,
2:16.0,M. Plumlee makes 2-pt shot at rim (assist by D. Morris),2,66-93,,
1:58.0,,,66-95,2,J. O'Bryant makes 2-pt shot from 18 ft (assist by J. Gutierrez)
1:47.0,M. Plumlee misses 2-pt shot at rim (block by M. Plumlee),,66-95,,
1:46.0,Offensive rebound by C. Jefferson,,66-95,,
1:45.0,C. Jefferson makes 2-pt shot at rim,2,68-95,,
1:22.0,,,68-95,,J. Dudley misses 3-pt shot from 26 ft
1:21.0,Defensive rebound by Team,,68-95,,
1:21.0,Brooklyn full timeout,,68-95,,
1:06.0,C. Jefferson makes 2-pt shot from 12 ft (assist by D. Morris),2,70-95,,
0:47.0,,,70-95,,J. O'Bryant misses 2-pt shot from 4 ft (block by C. Jefferson)
0:43.0,Defensive rebound by C. Jefferson,,70-95,,
0:42.0,Shooting foul by J. Gutierrez (drawn by M. Plumlee),,70-95,,
0:42.0,M. Plumlee misses free throw 1 of 2,,70-95,,
0:42.0,Offensive rebound by Team,,70-95,,
0:42.0,M. Plumlee makes free throw 2 of 2,1,71-95,,
0:30.0,,,71-95,,Turnover by J. O'Bryant (bad pass)
0:20.0,Turnover by D. Morris (bad pass; steal by J. Gutierrez),,71-95,,
0:15.0,,,71-95,,Shooting foul by E. Clark (drawn by J. O'Bryant)
0:15.0,,,71-96,1,J. O'Bryant makes free throw 1 of 2
0:15.0,,,71-96,,J. O'Bryant misses free throw 2 of 2
0:15.0,Defensive rebound by C. Jefferson,,71-96,,
0:00.0,,,71-96,,Violation by M. Plumlee (def goaltending)
0:00.0,M. Brown makes 2-pt shot from 1 ft (assist by D. Morris),2,73-96,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
