time,Chicago,pts.away,score,pts.home,Portland
1:42.0,,,84-103,1,T. Robinson makes free throw 1 of 2
1:42.0,,,84-103,,T. Robinson misses free throw 2 of 2
1:42.0,Defensive rebound by D. McDermott,,84-103,,
1:29.0,Turnover by D. McDermott (lost ball; steal by D. Wright),,84-103,,
1:23.0,,,84-103,,Shooting foul by C. Bairstow (drawn by T. Robinson)
1:23.0,,,84-104,1,T. Robinson makes free throw 1 of 2
1:23.0,,,84-105,1,T. Robinson makes free throw 2 of 2
1:14.0,N. Mirotic misses 3-pt shot from 26 ft,,84-105,,
1:13.0,,,84-105,,Defensive rebound by D. Wright
0:58.0,,,84-105,,Turnover by W. Barton (bad pass; steal by T. Snell)
0:54.0,Shooting foul by A. Crabbe (drawn by T. Snell),,84-105,,
0:54.0,T. Snell makes free throw 1 of 2,1,85-105,,
0:54.0,T. Snell makes free throw 2 of 2,1,86-105,,
0:37.0,,,86-105,,T. Robinson misses 2-pt shot from 14 ft
0:35.0,Defensive rebound by D. McDermott,,86-105,,
0:24.0,E. Moore misses 2-pt shot from 12 ft,,86-105,,
0:21.0,Offensive rebound by Team,,86-105,,
0:15.0,D. McDermott misses 3-pt shot from 26 ft,,86-105,,
0:14.0,Offensive rebound by C. Bairstow,,86-105,,
0:13.0,Shooting foul by D. Wright (drawn by C. Bairstow),,86-105,,
0:13.0,C. Bairstow misses free throw 1 of 2,,86-105,,
0:13.0,Offensive rebound by Team,,86-105,,
0:13.0,C. Bairstow makes free throw 2 of 2,1,87-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
