time,Detroit,pts.away,score,pts.home,Minnesota
1:05.0,A. Drummond misses 2-pt shot from 9 ft,,88-91,,
1:04.0,,,88-91,,Defensive rebound by M. Williams
1:04.0,Personal foul by D. Augustin (drawn by M. Williams),,88-91,,
1:04.0,,,88-91,,K. Martin enters the game for C. Brewer
0:52.0,,,88-93,2,M. Williams makes 2-pt shot from 3 ft
0:52.0,Detroit full timeout,,88-93,,
0:44.0,,,88-93,,Personal take foul by N. Pekovic (drawn by A. Drummond)
0:44.0,A. Drummond makes free throw 1 of 2,1,89-93,,
0:44.0,A. Drummond misses free throw 2 of 2,,89-93,,
0:44.0,Offensive rebound by C. Butler,,89-93,,
0:40.0,D. Augustin misses 3-pt shot from 24 ft,,89-93,,
0:39.0,,,89-93,,Defensive rebound by K. Martin
0:39.0,Personal take foul by C. Butler (drawn by K. Martin),,89-93,,
0:39.0,,,89-94,1,K. Martin makes free throw 1 of 2
0:39.0,,,89-95,1,K. Martin makes free throw 2 of 2
0:31.0,D. Augustin misses 2-pt shot from 7 ft,,89-95,,
0:31.0,Offensive rebound by Team,,89-95,,
0:31.0,,,89-95,,Loose ball foul by R. Rubio (drawn by A. Drummond)
0:31.0,A. Drummond misses free throw 1 of 2,,89-95,,
0:31.0,Offensive rebound by Team,,89-95,,
0:31.0,,,89-95,,C. Brewer enters the game for K. Martin
0:31.0,A. Drummond misses free throw 2 of 2,,89-95,,
0:30.0,,,89-95,,Defensive rebound by Team
0:30.0,,,89-95,,K. Martin enters the game for C. Brewer
0:27.0,Personal foul by J. Smith (drawn by M. Williams),,89-95,,
0:27.0,,,89-96,1,M. Williams makes free throw 1 of 2
0:27.0,,,89-96,,M. Williams misses free throw 2 of 2
0:27.0,Defensive rebound by A. Drummond,,89-96,,
0:27.0,Detroit full timeout,,89-96,,
0:24.0,C. Butler misses 3-pt shot from 25 ft,,89-96,,
0:24.0,,,89-96,,Defensive rebound by Team
0:22.0,Personal take foul by J. Smith (drawn by R. Rubio),,89-96,,
0:22.0,,,89-96,,R. Rubio misses free throw 1 of 2
0:22.0,,,89-96,,Offensive rebound by Team
0:22.0,,,89-97,1,R. Rubio makes free throw 2 of 2
0:04.0,C. Butler makes 2-pt shot from 15 ft (assist by J. Smith),2,91-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
