time,Dallas,pts.away,score,pts.home,Detroit
4:46.0,,,100-90,2,A. Drummond makes 2-pt shot at rim
4:46.0,Dallas full timeout,,100-90,,
4:23.0,M. Ellis misses 2-pt shot from 18 ft,,100-90,,
4:22.0,,,100-90,,Defensive rebound by A. Drummond
4:03.0,,,100-90,,K. Singler misses 2-pt shot from 4 ft
4:03.0,,,100-90,,Offensive rebound by A. Drummond
4:03.0,,,100-92,2,A. Drummond makes 2-pt shot from 1 ft
3:51.0,Shooting foul by A. Drummond (drawn by T. Chandler),,100-92,,
3:51.0,T. Chandler misses free throw 1 of 2,,100-92,,
3:51.0,Offensive rebound by Team,,100-92,,
3:51.0,D. Nowitzki enters the game for J. Crowder,,100-92,,
3:51.0,T. Chandler makes free throw 2 of 2,1,101-92,,
3:35.0,,,101-95,3,D. Augustin makes 3-pt shot from 26 ft
3:25.0,,,101-95,,Personal foul by J. Jerebko (drawn by D. Nowitzki)
3:25.0,D. Nowitzki makes free throw 1 of 2,1,102-95,,
3:25.0,D. Harris enters the game for J. Nelson,,102-95,,
3:25.0,D. Nowitzki makes free throw 2 of 2,1,103-95,,
3:07.0,,,103-97,2,J. Jerebko makes 2-pt shot from 4 ft (assist by K. Singler)
2:49.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by D. Harris),2,105-97,,
2:31.0,,,105-100,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by K. Singler)
2:07.0,C. Parsons makes 3-pt shot from 22 ft (assist by D. Harris),3,108-100,,
1:49.0,,,108-100,,Turnover by K. Singler (lost ball)
1:49.0,Jump ball: C. Parsons vs. K. Singler (D. Harris gains possession),,,,Jump ball: C. Parsons vs. K. Singler (D. Harris gains possession)
1:33.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by M. Ellis),3,111-100,,
1:33.0,,,111-100,,Detroit full timeout
1:33.0,A. Aminu enters the game for D. Nowitzki,,111-100,,
1:31.0,,,111-102,2,J. Jerebko makes 2-pt shot from 6 ft (assist by K. Singler)
1:21.0,,,111-102,,Personal foul by A. Drummond (drawn by T. Chandler)
1:21.0,T. Chandler makes free throw 1 of 2,1,112-102,,
1:21.0,T. Chandler misses free throw 2 of 2,,112-102,,
1:19.0,,,112-102,,Defensive rebound by A. Drummond
1:05.0,,,112-102,,K. Caldwell-Pope misses 3-pt shot from 26 ft
1:04.0,Defensive rebound by M. Ellis,,112-102,,
0:58.0,,,112-102,,Personal foul by A. Drummond (drawn by A. Aminu)
0:58.0,A. Aminu misses free throw 1 of 2,,112-102,,
0:58.0,Offensive rebound by Team,,112-102,,
0:58.0,B. Wright enters the game for T. Chandler,,112-102,,
0:58.0,A. Aminu makes free throw 2 of 2,1,113-102,,
0:50.0,,,113-104,2,J. Jerebko makes 2-pt shot at rim (assist by D. Augustin)
0:42.0,B. Wright makes 2-pt shot at rim (assist by A. Aminu),2,115-104,,
0:42.0,Shooting foul by A. Drummond (drawn by B. Wright),,115-104,,
0:42.0,B. Wright misses free throw 1 of 1,,115-104,,
0:41.0,,,115-104,,Defensive rebound by K. Singler
0:33.0,,,115-104,,K. Singler misses 3-pt shot from 26 ft
0:32.0,Defensive rebound by D. Harris,,115-104,,
0:29.0,,,115-104,,Personal foul by A. Drummond (drawn by D. Harris)
0:29.0,,,115-104,,C. Butler enters the game for A. Drummond
0:29.0,D. Harris makes free throw 1 of 2,1,116-104,,
0:29.0,R. Jefferson enters the game for C. Parsons,,116-104,,
0:29.0,J. Crowder enters the game for M. Ellis,,116-104,,
0:29.0,D. Harris makes free throw 2 of 2,1,117-104,,
0:18.0,,,117-106,2,J. Jerebko makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
